tree,n_missing_total,n_missing_1980_on,n_outliers_total
HOR02A_raw,504,42,3
HOR02B_raw,504,42,0
HOR03A_raw,512,42,0
HOR03B_raw,502,42,0
HOR04A_raw,504,42,3
HOR04B_raw,506,42,2
HOR05A_raw,504,42,3
HOR05B_raw,504,42,1
HOR06A_raw,508,42,5
HOR06B_raw,508,42,3
HOR07A_raw,568,45,1
HOR07B_raw,497,42,0
HOR08A_raw,518,45,1
HOR08B_raw,500,42,1
HOR09A_raw,253,42,5
HOR09B_raw,254,42,7
HOR09C_raw,509,42,1
HOR09D_raw,496,42,1
HOR10B_raw,505,42,0
HOR11A_raw,513,42,1
HOR11B_raw,504,42,2
HOR13A_raw,506,42,2
HOR14A_raw,416,42,2
HOR14B_raw,353,42,0
HOR14C_raw,175,42,3
HOR15A_raw,495,42,0
HOR17A_raw,506,42,5
HOR18A_raw,506,42,5
HOR20A_raw,505,42,3
HOR20B_raw,505,42,5
HOR21A_raw,555,42,1
HOR21B_raw,535,42,1
HOR22A_raw,480,42,1
HOR22B_raw,559,45,3
HOR23A_raw,457,42,0
HOR23B_raw,462,42,1
HOR23Y_raw,648,45,0
HOR24A_raw,496,42,2
HOR25A_raw,502,42,1
HOR26A_raw,510,42,0
HOR26B_raw,512,42,0
HOR27A_raw,514,42,2
HOR27B_raw,505,42,3
HOR28A_raw,505,42,3
HOR30A_raw,400,42,1
HOR31A_raw,122,42,13
HOR31B_raw,93,42,18
HOR31C_raw,142,42,12
HOR32A_raw,509,42,6
HOR32B_raw,489,42,4
HOR33A_raw,481,42,3
HOR33B_raw,495,42,3
HOR36A_raw,292,42,7
HOR36B_raw,340,42,7
HOR37A_raw,365,42,9
HOR37B_raw,376,45,8
HOR38A_raw,532,42,0
HOR39A_raw,538,42,0
HOR40A_raw,476,42,1
HOR40B_raw,502,42,2
HOR41A_raw,456,42,3
HOR42A_raw,373,42,1
HOR42B_raw,482,42,3
HOR42X_raw,539,45,3
HOR43A_raw,504,42,2
HOR43B_raw,322,45,6
