"","Sample tree ID","Sample tree species","Neighbor tree species","Neighbor tree DBH (cm)","Distance to neighbor tree (m)"
"1","BNF0702130905ES","Picea engelmannii","Picea engelmannii",22.9,0.6
"2","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",27.8,6
"3","BNF0702130905ES","Picea engelmannii","Picea engelmannii",13.6,5.2
"4","BNF0702130905ES","Picea engelmannii","Picea engelmannii",15.8,4.5
"5","BNF0702130905ES","Picea engelmannii","Picea engelmannii",14.9,4.8
"6","BNF0702130905ES","Picea engelmannii","Picea engelmannii",16,5.5
"7","BNF0702130905ES","Picea engelmannii","Picea engelmannii",16.1,8.2
"8","BNF0702130905ES","Picea engelmannii","Picea engelmannii",27.7,9.1
"9","BNF0702130905ES","Picea engelmannii","Picea engelmannii",33.5,10.7
"10","BNF0702130905ES","Picea engelmannii","Picea engelmannii",12.3,10.7
"11","BNF0702130905ES","Picea engelmannii","Picea engelmannii",17.2,13.4
"12","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",24.2,14.8
"13","BNF0702130905ES","Picea engelmannii","Picea engelmannii",20.1,13.1
"14","BNF0702130905ES","Picea engelmannii","Picea engelmannii",15.4,12.9
"15","BNF0702130905ES","Picea engelmannii","Picea engelmannii",28.3,12.7
"16","BNF0702130905ES","Picea engelmannii","Picea engelmannii",14.5,12.1
"17","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",37.5,11.3
"18","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",23.3,9.1
"19","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",35,5.7
"20","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",38.7,4.9
"21","BNF0702130905ES","Picea engelmannii","Picea engelmannii",13.5,3.9
"22","BNF0702130905ES","Picea engelmannii","Picea engelmannii",20.8,5.8
"23","BNF0702130905ES","Picea engelmannii","Picea engelmannii",12.1,8
"24","BNF0702130905ES","Picea engelmannii","Picea engelmannii",24.8,9.1
"25","BNF0702130905ES","Picea engelmannii","Picea engelmannii",20.3,8.8
"26","BNF0702130905ES","Picea engelmannii","Picea engelmannii",17.3,7
"27","BNF0702130905ES","Picea engelmannii","Picea engelmannii",26.4,9.9
"28","BNF0702130905ES","Picea engelmannii","Picea engelmannii",25.6,10.9
"29","BNF0702130905ES","Picea engelmannii","Picea engelmannii",23.8,11.6
"30","BNF0702130905ES","Picea engelmannii","Pinus flexilis",22.6,13.1
"31","BNF0702130905ES","Picea engelmannii","Picea engelmannii",26.4,14
"32","BNF0702130905ES","Picea engelmannii","Pinus flexilis",17.5,12.4
"33","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",12.4,14.1
"34","BNF0702130905ES","Picea engelmannii","Pinus flexilis",14.3,14
"35","BNF0702130905ES","Picea engelmannii","Pinus flexilis",13.4,14
"36","BNF0702130905ES","Picea engelmannii","Picea engelmannii",11,13.5
"37","BNF0702130905ES","Picea engelmannii","Picea engelmannii",15.2,12.4
"38","BNF0702130905ES","Picea engelmannii","Picea engelmannii",16.2,14.1
"39","BNF0702130905ES","Picea engelmannii","Picea engelmannii",10.6,13.1
"40","BNF0702130905ES","Picea engelmannii","Picea engelmannii",49.5,12.6
"41","BNF0702130905ES","Picea engelmannii","Picea engelmannii",26.5,13.8
"42","BNF0702130905ES","Picea engelmannii","Picea engelmannii",15.9,9.8
"43","BNF0702130905ES","Picea engelmannii","Picea engelmannii",10.2,9.1
"44","BNF0702130905ES","Picea engelmannii","Picea engelmannii",11.3,8.8
"45","BNF0702130905ES","Picea engelmannii","Picea engelmannii",12.4,8.8
"46","BNF0702130905ES","Picea engelmannii","Picea engelmannii",13.3,8.3
"47","BNF0702130905ES","Picea engelmannii","Picea engelmannii",27.2,7.5
"48","BNF0702130905ES","Picea engelmannii","Picea engelmannii",13,7.3
"49","BNF0702130905ES","Picea engelmannii","Picea engelmannii",15.1,7.9
"50","BNF0702130905ES","Picea engelmannii","Picea engelmannii",13.1,7.9
"51","BNF0702130905ES","Picea engelmannii","Picea engelmannii",14,7.8
"52","BNF0702130905ES","Picea engelmannii","Picea engelmannii",15.2,10.6
"53","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",31,11.5
"54","BNF0702130905ES","Picea engelmannii","Picea engelmannii",13.2,14.8
"55","BNF0702130905ES","Picea engelmannii","Picea engelmannii",19.5,13.6
"56","BNF0702130905ES","Picea engelmannii","Picea engelmannii",14.8,9.9
"57","BNF0702130905ES","Picea engelmannii","Picea engelmannii",12.8,7.9
"58","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",30.8,7.7
"59","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",24.5,10.5
"60","BNF0702130905ES","Picea engelmannii","Picea engelmannii",17.7,9.7
"61","BNF0702130905ES","Picea engelmannii","Picea engelmannii",18.1,9.1
"63","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",44.5,7.2
"64","BNF0702130905ES","Picea engelmannii","Picea engelmannii",26.8,5.2
"65","BNF0702130905ES","Picea engelmannii","Picea engelmannii",13.5,3.6
"66","BNF0702130905ES","Picea engelmannii","Picea engelmannii",25.1,5.7
"67","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",24,5.3
"68","BNF0702130905ES","Picea engelmannii","Picea engelmannii",22.7,5
"69","BNF0702130905ES","Picea engelmannii","Picea engelmannii",17.8,3.7
"70","BNF0702130905ES","Picea engelmannii","Picea engelmannii",27,5.6
"71","BNF0702130905ES","Picea engelmannii","Picea engelmannii",10.6,6.5
"72","BNF0702130905ES","Picea engelmannii","Picea engelmannii",26.6,6.8
"73","BNF0702130905ES","Picea engelmannii","Picea engelmannii",28.3,7.1
"74","BNF0702130905ES","Picea engelmannii","Picea engelmannii",23.6,10.4
"75","BNF0702130905ES","Picea engelmannii","Picea engelmannii",32.3,11.1
"76","BNF0702130905ES","Picea engelmannii","Pinus flexilis",13.4,13
"77","BNF0702130905ES","Picea engelmannii","Picea engelmannii",25,13.6
"78","BNF0702130905ES","Picea engelmannii","Picea engelmannii",39.7,13.3
"79","BNF0702130905ES","Picea engelmannii","Picea engelmannii",12.4,13.8
"80","BNF0702130905ES","Picea engelmannii","Picea engelmannii",21.7,13.5
"81","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",38,13
"82","BNF0702130905ES","Picea engelmannii","Picea engelmannii",26.3,14.7
"83","BNF0702130905ES","Picea engelmannii","Picea engelmannii",24.6,11.7
"84","BNF0702130905ES","Picea engelmannii","Picea engelmannii",27,15
"85","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",12.6,12.8
"86","BNF0702130905ES","Picea engelmannii","Picea engelmannii",24.2,12
"87","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",13.4,13.7
"88","BNF0702130905ES","Picea engelmannii","Picea engelmannii",12.3,13.3
"89","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",30,13.7
"90","BNF0702130905ES","Picea engelmannii","Pseudotsuga menziesii",19.7,13
"91","BNF0702130905ES","Picea engelmannii","Picea engelmannii",26.5,14.6
"92","BNF0702130905ES","Picea engelmannii","Picea engelmannii",24.6,14.9
"93","BNF0702130905ES","Picea engelmannii","Picea engelmannii",19.7,14.7
"94","BNF0702130905ES","Picea engelmannii","Picea engelmannii",15.2,14.8
"95","BNF0702130905ES","Picea engelmannii","Picea engelmannii",33,7.5
"96","BNF0702130905ES","Picea engelmannii","Picea engelmannii",36,7.2
"97","BNF0702130905ES","Picea engelmannii","Picea engelmannii",23.7,5.7
