age_CE,BIG008A_raw,BIG008B_raw,BIG013B_raw,BIG013C_raw,BIG019E_raw,BIG019W_raw,BIG024A_raw,BIG024B_raw,BIG030A_raw,BIG030B_raw,BIG042A_raw,BIG042B_raw,BIG008A_raw_outlier_flag,BIG008B_raw_outlier_flag,BIG013B_raw_outlier_flag,BIG013C_raw_outlier_flag,BIG019E_raw_outlier_flag,BIG019W_raw_outlier_flag,BIG024A_raw_outlier_flag,BIG024B_raw_outlier_flag,BIG030A_raw_outlier_flag,BIG030B_raw_outlier_flag,BIG042A_raw_outlier_flag,BIG042B_raw_outlier_flag
1884,NA,NA,NA,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1885,NA,NA,NA,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1886,NA,NA,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1887,NA,NA,NA,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1888,NA,NA,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1889,2.24,1.51,NA,2.62,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1890,1.44,1.12,NA,2.33,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1891,1.86,1.29,NA,2.03,NA,1.13,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA
1892,1.17,0.76,NA,1.79,NA,1.13,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA
1893,1.17,0.89,NA,2.32,NA,1.76,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA
1894,1.03,0.58,NA,1.75,NA,1.43,NA,NA,NA,NA,0.78,1.16,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1895,0.65,0.72,NA,1.79,NA,1.42,NA,NA,NA,NA,0.93,1.15,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1896,0.64,0.71,NA,1.82,NA,1.44,NA,NA,NA,NA,0.83,1.12,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1897,0.61,0.64,NA,1.73,NA,1.46,NA,NA,NA,NA,1.28,1.63,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1898,1.63,1.71,NA,2.7,NA,2.04,NA,NA,NA,NA,1.43,1.94,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1899,1.74,1.48,NA,2.2,NA,1.84,NA,NA,NA,NA,1.6,2.36,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1900,1,0.82,NA,1.27,NA,1.29,NA,NA,NA,NA,1.03,1.79,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1901,0.96,0.96,NA,1.87,NA,1.53,NA,NA,NA,NA,1.03,1.84,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1902,0.82,1.07,1.51,1.53,NA,1.24,NA,NA,NA,NA,0.91,1.62,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1903,1.59,1.43,2.5,2.67,NA,1.85,NA,NA,NA,NA,0.95,1.66,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1904,0.87,0.74,1.98,1.97,NA,1.27,NA,NA,NA,NA,0.75,1.15,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1905,0.74,0.6,1.93,2.1,NA,1.3,NA,NA,NA,NA,0.79,1,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1906,1.21,1.1,1.88,1.82,NA,1.51,NA,NA,NA,NA,1.18,1.17,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1907,1.76,1.6,2.05,2.38,NA,1.96,NA,NA,NA,NA,1.96,1.68,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1908,1.45,1.12,2.7,2.79,NA,2.08,NA,NA,NA,NA,2.07,1.37,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1909,1.26,1.45,1.71,1.93,NA,1.58,NA,NA,NA,NA,2.1,1.29,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1910,0.83,0.63,2.17,1.86,NA,1.38,NA,NA,NA,NA,1.85,1.05,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1911,1.21,1.34,2.27,2.06,NA,1.78,NA,NA,NA,NA,2.03,1.41,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1912,1.32,1.33,2.3,2.01,NA,1.7,NA,NA,NA,NA,2.32,1.73,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
