tree,n_missing_total,n_missing_1980_on,n_outliers_total
RRR05A_raw,906,34,1
RRR05B_raw,751,34,8
RRR05C_raw,625,32,4
RRR06A_raw,913,34,1
RRR06B_raw,946,32,2
RRR07A_raw,996,34,0
RRR07B_raw,1114,43,0
RRR15A_raw,783,45,4
RRR15B_raw,729,45,4
RRR15C_raw,793,45,1
RRR15D_raw,836,32,3
RRR15E_raw,1052,45,2
RRR19A_raw,961,45,3
RRR19B_raw,1067,45,3
RRR22A_raw,1064,32,2
RRR24A_raw,1122,37,1
RRR24B_raw,1122,37,3
RRR26A_raw,1037,45,3
RRR26B_raw,993,45,4
RRR27A_raw,896,45,7
RRR27B_raw,1113,45,1
RRR28A_raw,1136,45,3
RRR28B_raw,1045,45,0
RRR30A1_raw,1156,32,0
