"Tree size, competitive environment, regeneration abundance, and 10yr Basal Area Increment data for:",,
Anderegg & HilleRisLambers (2019) Local range boundaries versus large-scale tradeoffs: Climatic and competitive constraints on tree growth. Ecology Letters,,
"For methods details, see citation above and associated SI. Code performing analyses with this data are is available in the associated SI.",,
,,
,,
All trees were cored and competitive environment and regeneration recorded in July-Sept of 2013,,
,,
,,
Column,Description,units
Transect,"Transect name (CO, MT, WA)",
Species,4 letter species code,"ABLA = Abies lasiocarpa, TSHE= Tsuga heterophylla, PIPO= Pinus ponderosa, POTR= Populus tremuloides, PSME=Pseudotsuga menziesii"
Elev,Elevation Band,"L= low range margin, M=mid elevation range center, H= high range margin"
Tree,Tree ID based on Tree pair# and competitive treatment ,"##C, ##N (WA & MT) ##H, ##L (CO)"
Comp,Competitive classification,"H or C= high/Competitive, L or N= low/not competitive; each tree pair has one H and one L (H&L was used in CO, but switched to C/N in WA and MT)"
Tag,Tree tag ,Species-Band-PairComp
####,growth year ring width (measured to 0.001mm using WinDendro). NA indicates missingness because of core breakage or other damage (not biologically missing rings),
