"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885","1884","1883","1882","1881","1880","1879","1878","1877","1876","1875","1874","1873","1872","1871","1870","1869","1868","1867","1866","1865","1864","1863","1862","1861","1860","1859","1858","1857","1856","1855","1854","1853","1852","1851","1850","1849","1848","1847","1846","1845"
"59","CO","POTR","H","01H","POTR-H-01H",0.097,0.397,0.353,0.244,0.111,0.2755,0.303,0.312,0.2285,0.229,0.1695,0.1875,0.3125,0.2525,0.334,0.412,0.379,0.5095,0.858,0.6285,0.468,0.427,0.5305,0.6695,0.3465,0.5495,0.508,0.511,0.6715,0.944,0.799,0.507,0.6655,0.8865,0.7835,0.6965,0.7365,0.944,0.814,1.089,1.427,1.0415,0.897,1.127,1.4275,1.57,2.144,2.169,1.655,2.313,2.5,1.6785,2.1335,1.466,0.7625,0.9315,1.046,0.8235,0.7505,1.16,0.976,0.9225,0.8725,0.693,0.836,1.1265,1.1715,1.062,1.0235,0.7695,0.8045,0.8205,0.9125,1.022,1.7435,1.749,1.2655,1.827,2.0175,1.696,2.147,1.6475,1.843,1.853,2.1795,2.337,2.411,2.344,1.894,2.423,2.054,2.4695,2.57,2.7205,2.533,2.601,2.1045,1.938,1.9135,2.3685,2.4515,3.7755,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","CO","POTR","H","01L","POTR-H-01L",0.184,1.8365,1.724,1.441,1.144,0.704,1.3905,1.6775,1.9835,1.77,2.496,2.244,2.5715,2.346,1.8605,2.3975,2.2015,2.2995,2.3375,2.55,2.3815,2.7005,2.773,3.0615,2.5935,1.862,1.962,0.8595,0.8165,1.017,0.8465,0.641,0.8395,1.0915,0.9795,0.923,0.811,0.843,0.722,0.8635,0.779,0.446,0.6065,0.7975,0.8215,0.886,0.8985,0.8615,0.74,0.9865,0.706,0.567,1.1925,0.706,0.3575,0.5605,0.523,0.346,0.354,0.3135,0.309,0.2875,0.3125,0.1515,0.217,0.4545,0.507,0.48,0.2785,0.346,0.2765,0.342,0.487,0.8485,0.8225,1.305,1.6725,1.7,1.3925,0.9445,1.268,0.9755,1.021,1.0395,1.5325,1.7095,1.917,1.671,1.402,1.222,1.2645,1.583,1.6345,1.8805,2.0025,2.302,2.0725,2.063,4.449,1.994,2.036,2.303,2.832,2.232,2.34,2.831,3.228,3.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CO","POTR","H","10H","POTR-H-10H",0.148,2.015,2.1595,1.9585,1.465,1.1895,1.6335,2.3955,2.297,1.3445,1.2005,0.604,1.3995,1.3965,1.1375,1.902,1.6395,2.0155,1.9975,1.688,1.873,1.642,2.014,2.3055,1.92,2.1,2.009,1.519,1.2965,1.132,1.062,1.5955,1.36,1.338,1.6135,1.575,1.5655,1.524,1.255,1.4205,1.529,1.6515,1.476,1.608,1.521,1.5625,1.803,1.124,1.3675,1.556,1.49,1.32,1.5795,1.2945,1.202,1.502,1.3995,1.1695,1.344,1.7695,1.529,1.1515,1.4895,1.5705,1.2525,1.215,1.2225,0.8925,0.3795,0.411,0.514,1.075,1.3305,1.5395,1.4445,1.5795,1.4545,1.4565,1.818,1.8215,1.4245,1.3365,1.9255,1.8425,2.051,2.002,2.203,2.059,1.7205,2.0015,1.206,2.1155,1.836,2.5695,2.16,2.1765,2.558,2.001,2.247,1.8465,1.578,1.933,1.6395,2.727,2.779,2.691,2.6005,2.6305,2.642,1.9945,2.566,1.7555,2.7205,2.6715,2.9465,4.0425,2.398,2.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","CO","POTR","H","10L","POTR-H-10L",0.138,1.692,1.716,1.3595,0.908,0.708,1.0425,1.703,1.894,1.2965,1.8845,1.489,1.629,0.9965,0.6575,1.253,0.988,1.3945,1.2865,1.7345,2.2155,2.0755,1.6245,1.9225,2.1975,1.18,0.8245,0.6815,0.8955,0.7345,0.7765,0.5285,0.6275,0.631,0.5985,0.537,0.48,0.5585,0.3985,0.4705,0.608,0.2945,0.351,0.559,0.461,0.7085,0.641,0.3555,0.3725,0.807,0.392,0.711,0.492,0.3895,0.4045,0.652,0.56,0.5545,0.5745,0.5595,0.6985,0.5135,0.725,0.5435,0.4945,0.525,0.633,0.416,0.4995,0.3065,0.294,0.3685,0.485,0.49,0.5245,0.7685,0.7935,0.8255,0.9495,0.407,0.6035,0.6235,0.9755,0.8925,0.8525,0.635,0.9325,0.672,0.5925,1.0065,0.7435,0.8155,0.864,0.9395,1.0965,0.986,1.147,0.7865,0.847,0.6285,0.6965,0.9565,0.7585,0.941,1.232,1.277,0.9585,0.9105,0.9795,0.8815,1.134,0.8445,1.3845,1.4635,1.629,1.6305,1.1885,1.6235,1.4405,1.2605,1.3525,1.4275,1.13,1.4,1.3745,1.4945,1.6805,1.554,1.182,1.433,1.2675,1.2795,1.467,1.166,1.104,1.5895,1.9455,1.6525,1.244,1.5035,1.1775,0.9325,1.557,1.089,1.5875,1.2795,1.2805,1.0645,0.802,1.331,1.7715,2.095,2.0345,1.9075,1.998,1.6175,1.39,1.748,1.3685,1.875,2.199,0.117,NA,NA,NA,NA,NA,NA,NA
"63","CO","POTR","H","11H","POTR-H-11H",0.647,1.997,2.0425,1.272,1.0085,0.9205,1.134,1.376,1.541,1.223,1.41,0.488,1.0005,0.906,0.7705,0.777,0.963,1.508,1.6735,1.6565,1.5735,0.853,0.933,1.1445,1.2915,1.2395,1.155,1.135,1.268,1.516,1.3005,0.9465,0.8705,1.4075,1.839,2.0815,1.346,1.6115,1.3615,1.0285,0.749,0.8095,0.795,1.304,1.4305,1.3875,1.451,1.246,0.9505,1.066,0.92,0.852,1.1895,1.1035,0.854,1.1555,1.427,1.145,0.981,1.143,0.81,0.552,0.8455,0.4115,0.4165,0.5525,0.8845,0.6235,0.4855,0.2035,0.239,0.414,0.555,0.837,0.644,1.113,0.8105,1.065,0.909,0.3165,0.578,0.503,0.877,0.868,0.772,1.116,0.9125,0.9835,0.884,0.842,0.7835,1.0675,1.465,1.3585,1.0575,1.2945,1.57,1.0855,1.11,1.246,0.5315,0.4245,0.508,1.774,1.8985,1.9495,2.256,0.9285,1.151,1.027,1.176,1.182,1.668,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CO","POTR","H","11L","POTR-H-11L",0.4925,2.3815,2.599,2.0945,1.832,1.2225,1.5315,1.9445,1.741,1.428,1.594,1.0115,1.905,1.7375,1.308,1.1635,1.081,1.3245,0.927,1.146,1.0655,1.1385,1.384,1.465,1.5245,1.5995,1.401,1.241,1.2805,1.315,1.1585,0.9675,0.9285,1.394,1.659,1.8805,1.492,1.56,1.53,0.338,0.442,0.4575,0.4375,0.5405,0.46,0.4705,0.449,0.3355,0.3745,0.392,0.2575,0.2935,0.3655,0.3035,0.31,0.461,0.4545,0.492,0.3005,0.3535,0.3565,0.321,0.524,0.299,0.287,0.338,0.372,0.2785,0.3045,0.2705,0.272,0.355,0.3805,0.7315,0.818,0.9425,1.079,1.075,1.0105,0.597,1.0545,0.9645,1.058,1.278,1.239,1.0285,1.1475,1.1535,1.217,1.163,1.2395,1.4825,1.2425,1.6975,1.444,1.4805,1.779,2.142,1.8625,1.582,0.745,0.357,0.585,1.626,1.663,1.746,1.697,1.72,1.514,1.37,1.458,1.447,1.806,1.989,1.709,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CO","POTR","H","12H","POTR-H-12H",0.1855,0.8245,0.9905,0.873,0.8525,0.6755,0.4315,0.4935,0.7605,0.7555,0.939,0.6175,0.734,0.6015,0.481,0.512,0.8615,1.1615,1.2215,1.41,1.2625,0.96,1.1825,1.3,1.433,1.572,1.5235,1.659,1.6445,1.745,1.3715,1.17,1.012,1.1775,1.07,1.0225,1.2465,1.324,1.145,1.5995,1.065,0.8805,1.296,1.991,2.1095,1.2295,2.0425,2.328,1.9305,1.952,2.292,1.2355,1.315,1.4265,1.496,1.5825,2.0935,1.8315,1.952,2.9095,1.917,1.6115,1.397,1.303,1.948,1.5855,1.444,0.784,0.3725,0.949,1.1605,0.9955,1.4705,1.752,2.4505,1.546,1.554,2.506,2.444,1.771,2.261,1.7525,1.921,1.6715,1.4575,1.8105,2.039,2.832,1.3335,1.8485,1.9055,1.445,1.4345,2.1015,1.5345,1.8465,1.6505,1.324,1.495,1.569,1.0875,1.638,1.768,1.558,2.0625,2.875,3.177,4.5425,3.0645,3.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CO","POTR","H","12L","POTR-H-12L",0.243,0.774,1.297,1.2935,1.3965,1.176,0.775,0.6235,0.93,0.756,0.8365,0.718,1.112,1.0075,0.844,1.006,1.2885,1.1895,1.7905,1.337,1.7285,1.5945,1.6435,1.8205,1.4855,1.9355,1.696,1.854,1.627,2.913,3.0385,2.121,2.283,1.988,2.645,2.275,2.668,2.191,1.964,1.741,2.1375,1.2655,1.862,2.8115,2.3635,1.9575,1.6215,2.0615,1.18,1.495,1.797,1.5065,1.7575,1.4315,2.0125,1.381,2.2285,1.6415,2.776,2.194,1.709,2.385,2.196,1.967,1.043,1.386,1.441,0.942,0.3465,0.1675,0.384,0.6835,1.1845,2.4395,2.146,2.4785,1.668,2.352,3.081,2.142,1.98,1.511,1.873,2.155,2.271,1.894,2.539,2.85,3.325,2.8,2.697,2.167,1.83,2.017,4.959,2.537,2.897,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","CO","POTR","H","13H","POTR-H-13H",0.2475,1.476,1.681,1.1675,1.136,1.2895,1.186,1.2525,1.411,1.0055,1.262,0.8235,1.199,0.747,0.7965,0.9245,0.899,0.744,0.687,1.015,1.0615,0.5405,0.684,0.891,0.89,0.6905,0.7855,0.739,0.777,0.587,0.743,0.6555,0.6615,0.729,0.81,0.701,0.822,1.038,1.2985,1.3545,1.788,1.3885,1.5535,1.4625,0.841,1.298,1.397,1.224,1.179,1.5545,1.805,1.1685,1.504,1.0965,0.8425,0.876,0.788,0.7675,0.781,0.831,0.617,0.824,0.74,0.589,0.4435,0.8685,0.959,0.708,0.6205,0.531,0.429,0.778,0.8895,1.0465,0.8125,1.447,0.9795,1.302,1.287,1.4135,1.361,0.8285,0.951,0.995,1.1415,0.9225,1.2595,1.0245,0.834,0.968,1.239,1.353,1.2765,1.717,1.2855,1.559,1.5195,1.28,1.2165,1.391,1.2885,1.1995,0.778,1.5035,1.2935,1.5345,1.3195,1.7725,1.587,1.0965,1.6455,1.7645,1.1515,1.7795,1.794,1.953,2.052,2.234,2.5795,0.5225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","CO","POTR","H","13L","POTR-H-13L",0.607,2.156,2.5535,2.2895,2.522,2.0305,1.5235,2.279,3.1525,2.2845,2.3,2.69,2.9435,3.17,2.286,2.695,2.6135,3.2075,2.8405,2.9925,2.8105,2.9915,2.6605,2.957,3.006,3.422,2.9425,3.3395,3.65,3.946,3.979,3.4925,4.0155,3.172,3.258,2.8885,3.134,3.115,3.009,2.222,3.5225,3.4725,4.1105,3.363,2.173,2.748,2.301,1.712,5.257,7.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
