"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885","1884","1883","1882","1881","1880","1879","1878","1877"
"53","MT","PSME","H","01C","PSME-H-01C",0.603666666666667,0.669333333333333,0.588,0.548,0.847666666666667,0.707333333333333,0.772,0.891666666666667,0.934666666666667,0.682,0.669666666666667,0.735333333333333,0.577666666666667,0.702,0.834,1.04866666666667,0.978,0.946666666666667,0.948666666666667,1.298,1.01933333333333,0.591666666666667,0.647333333333333,0.792666666666667,0.619333333333333,0.754666666666667,0.623,0.543666666666667,0.348333333333333,0.696333333333333,0.762333333333333,0.605,0.602,0.449,0.569,0.728,0.662666666666667,0.638333333333333,0.297666666666667,0.238666666666667,0.337,0.249,0.258333333333333,0.327,0.282,0.194666666666667,0.242666666666667,0.387666666666667,0.490666666666667,0.41,0.397333333333333,0.278,0.321666666666667,0.360666666666667,0.325333333333333,0.336666666666667,0.289333333333333,0.256333333333333,0.304333333333333,0.298,0.463,0.438666666666667,0.561,0.630666666666667,0.456,0.563333333333333,0.505,0.570333333333333,0.616666666666667,0.529666666666667,0.529333333333333,0.476666666666667,0.354666666666667,0.305666666666667,0.280666666666667,0.365,0.319333333333333,0.260333333333333,0.262,0.262666666666667,0.242,0.24,0.160666666666667,0.245666666666667,0.225,0.217333333333333,0.168,0.228333333333333,0.1565,0.2,0.2045,0.2115,0.1525,0.208,0.23,0.1475,0.2085,0.314,0.305,0.3355,0.3125,0.247,0.2585,0.201,0.2235,0.2395,0.162,0.1015,0.116,0.116,0.1165,0.088,0.1505,0.2645,0.24,0.3115,0.2255,0.313,0.3325,0.294,0.376,0.4835,0.707,0.696,0.5445,0.4475,0.297,0.3555,0.3985,0.2635,0.187,0.2215,0.215,0.219,0.245,0.307,0.3415
"54","MT","PSME","H","01N","PSME-H-01N",0.642,0.537,1.0045,1.3685,1.6135,1.27,1.589,1.639,1.701,1.2935,1.318,1.241,1.08,1.3585,1.1705,1.9195,1.4985,1.448,1.7015,1.758,1.5425,1.346,1.5745,2.398,1.915,2.0345,2.1055,1.68,1.0595,1.4145,1.6315,1.4465,1.9275,1.1695,1.3785,1.912,1.274,1.2065,0.636,0.615,0.736,0.7245,0.7365,0.684,0.587,0.2625,0.3585,0.569,0.6775,0.7385,0.7675,0.659,0.697,0.7605,0.967,0.7135,0.8025,0.5925,0.94,0.893,0.855,0.613,0.834,0.8175,0.549,0.5925,0.5765,0.5865,0.5145,0.4995,0.5965,0.5545,0.5225,0.417,0.2795,0.322,0.2845,0.221,0.279,0.468,0.411,0.422,0.248,0.3,0.327,0.274,0.274,0.243,0.079,0.173,0.307,0.201,0.379,0.284,0.347,0.357,0.41,0.504,0.368,0.294,0.415,0.372,0.409,0.346,0.363,0.361,0.241,0.241,0.263,0.242,0.251,0.24,0.323,0.314,0.262,0.251,0.205,0.245,0.198,0.187,0.178,0.21,0.503,0.484,0.416,0.417,0.325,0.463,0.493,0.461,0.284,0.406,0.426,0.516,0.493,0.468,0.547
"55","MT","PSME","H","02C","PSME-H-02C",0.2625,0.359,0.484,0.444,0.5365,0.5525,0.5435,0.8185,0.875,0.5345,0.7575,1.0095,0.6485,1.3365,1.098,1.3195,1.0855,1.2185,0.7315,1.6455,1.002,0.6985,0.7075,1.306,0.961,0.7945,1.4295,0.917,0.655,0.8675,0.9995,0.9905,1.001,0.6105,0.6005,0.727,0.4955,0.429,0.3305,0.2325,0.3855,0.322,0.528,0.7175,0.5795,0.41,0.4415,0.629,0.7005,0.466,0.6385,0.452,0.697,0.8,1.014,0.666,0.845,0.666,0.6025,0.6225,0.812,0.7605,1.046,1.024,0.758,0.779,0.768,0.548,0.5905,0.6255,0.8355,0.5415,0.467,0.414,0.3435,0.352,0.249,0.189,0.304,0.2955,0.38,0.232,0.211,0.232,0.317,0.233,0.328,0.222,0.127,0.148,0.243,0.159,0.233,0.169,0.264,0.159,0.296,0.254,0.211,0.327,0.39,0.232,0.233,0.254,0.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","MT","PSME","H","02N","PSME-H-02N",0.1425,0.416,1.402,1.105,0.893,0.537,0.719,0.9625,1.284,1.0335,1.121,1.041,0.7725,1.0755,1.133,1.3855,0.9995,1.0475,1.0115,1.6065,1.182,0.8815,1.0195,1.5725,1.142,1.058,1.2745,1.168,0.6195,0.977,0.912,0.6975,1.0445,0.6385,0.869,1.1595,1.1465,1.2335,0.6865,0.6115,0.9255,0.832,0.888,0.964,1.051,0.7135,0.7575,0.933,0.9795,0.739,0.7605,0.539,0.5575,0.6595,0.7385,0.7555,0.7765,0.577,0.598,0.3975,0.583,0.547,0.7615,1.1605,1.072,0.9705,1.0235,0.7375,0.7085,0.762,0.9325,0.652,0.583,0.702,0.689,0.763,0.639,0.354,0.627,0.567,0.538,0.485,0.398,0.447,0.457,0.352,0.304,0.263,0.222,0.315,0.417,0.357,0.367,0.255,0.407,0.365,0.405,0.407,0.364,0.355,0.43,0.375,0.389,0.38,0.319,0.404,0.371,0.243,0.223,0.378,0.471,0.358,0.411,0.434,0.217,0.352,0.298,0.442,0.528,0.275,0.338,0.445,0.597,0.518,0.467,0.769,0.594,0.634,0.955,0.768,0.554,0.739,0.836,0.72,0.83,0.951,0.986
"57","MT","PSME","H","03C","PSME-H-03C",0.7375,0.721,0.915,0.936,1.095,1.062,1.2455,1.259,1.5305,1.1615,1.1895,1.093,0.9325,1.1185,1.18,1.363,1.1245,1.221,1.545,1.6855,1.248,1.376,1.192,1.384,0.9825,1.5595,1.577,1.566,1.2825,1.691,1.8525,1.491,1.9535,1.414,1.4175,1.6945,1.374,1.54,0.7635,0.8645,1.3435,1.3835,1.2795,1.005,1.004,0.9325,1.2375,1.3955,1.4155,1.5765,1.7435,1.4605,1.365,1.3455,1.594,1.5845,1.658,1.895,1.9715,2.1015,1.9865,1.852,2.1525,2.2335,2.329,1.1555,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","MT","PSME","H","03N","PSME-H-03N",0.721,1.248,1.209,1.3765,1.324,0.8525,1.2535,1.339,1.2825,1.0145,1.1375,1.0865,0.964,1.2365,1.352,2.0365,1.7625,1.5965,1.742,1.888,1.721,1.687,1.7765,2.2065,2.201,2.2495,2.1955,1.8255,1.3495,2.03,2.389,2.068,2.498,1.6125,2.0605,2.659,2.0125,1.9605,1.452,1.552,1.794,1.6135,2.024,1.6535,1.9445,1.2795,1.1045,2.2245,2.636,2.431,0.6145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","MT","PSME","H","04C","PSME-H-04C",0.5035,0.5995,0.8805,0.687,1.052,0.951,1.0555,1.1265,1.277,1.1665,0.904,1.057,0.679,1.2005,0.891,1.082,1.09,1.073,1.094,1.432,1.1435,1.366,1.32,1.3265,1.263,1.339,1.323,1.133,0.9365,1.169,1.5725,1.3125,1.623,1.0365,1.027,0.969,1.054,0.7365,0.713,0.609,0.7965,0.713,0.671,0.7335,0.51,0.561,0.6225,0.691,0.7455,0.598,0.7585,0.646,0.606,0.6945,0.699,0.722,0.7635,0.795,0.9695,0.885,0.9275,0.842,1.299,1.069,1.1405,1.2755,1.2115,1.16,1.0875,1.1525,1.677,1.5545,1.6475,1.319,1.6285,1.455,1.115,0.94,1.074,0.917,0.6825,0.785,0.847,1.2155,0.7975,0.521,0.8485,0.9225,1.125,0.9975,1.3935,1.6455,2.2375,3.6755,0.4825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","MT","PSME","H","04N","PSME-H-04N",0.7065,0.7675,0.9,1.0035,1.0645,0.7915,1.028,0.9915,1.1305,0.871,0.887,0.862,0.8545,1.195,0.97,1.2035,0.9495,1.0665,1.339,1.467,1.133,1.458,1.1445,1.389,1.193,1.3605,1.0235,1.0135,0.8975,1.1035,1.293,1.0575,1.327,0.9555,1.19,1.413,1.011,0.8345,0.671,0.7405,0.7645,0.762,0.985,0.9155,1.0845,0.8225,0.981,1.167,1.278,1.186,1.1295,0.9505,1.1505,1.443,1.2865,1.1685,1.092,0.7925,1.053,0.757,0.9825,0.9855,0.849,0.8855,0.8345,1.0155,1.087,0.861,0.9545,1.029,1.2515,1.3585,0.9,0.545,0.668,0.7265,0.364,0.326,0.4185,0.4655,0.33,0.471,0.6265,0.328,0.3975,0.4515,1.0065,0.8985,0.786,1.0805,0.911,0.8215,0.832,1.0445,0.709,0.313,0.7405,0.7855,1.1,0.86,0.645,0.512,1.091,1.0535,1.2715,0.364,0.3655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","MT","PSME","H","05C","PSME-H-05C",0.535,0.7685,0.78,0.674,0.889,0.747,0.7605,0.7615,0.899,0.4805,0.639,0.644,0.623,0.6755,0.6215,0.7895,0.783,0.817,0.6795,0.9245,0.559,0.6145,0.733,1.001,0.804,0.9095,0.837,0.754,0.5355,0.814,0.8985,0.6465,0.985,0.7225,0.6455,1.043,0.8765,1.0195,0.6855,0.6795,0.8675,0.826,0.9845,0.9295,0.946,0.733,0.823,0.7455,0.8705,0.8475,1.0265,0.7495,0.8845,0.958,0.9985,1.0085,1.09,0.8355,1.127,1.051,0.984,1.0085,1.063,1.37,1.0825,1.4475,1.2645,1.0455,0.803,0.9715,1.4345,1.437,1.184,0.8825,0.8185,1.044,0.7885,0.57,0.856,1.1095,0.8,1.307,1.553,1.556,1.439,1.759,2.3285,1.9895,2.273,2.4175,2.5625,1.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","MT","PSME","H","05N","PSME-H-05N",0.6955,0.748,0.879,0.8025,0.8185,0.5355,0.617,0.955,1.0035,0.83,0.849,0.8095,0.753,0.665,0.5945,0.556,0.508,0.592,0.6635,0.804,0.725,0.686,0.762,0.7785,0.76,0.9385,0.831,0.705,0.6115,0.7385,0.9435,0.872,0.9555,0.798,0.941,1.239,0.839,1.1065,0.581,0.67,0.853,0.691,0.7705,0.893,0.9545,0.7995,0.959,1.379,1.1135,1.0805,1.1315,0.8405,0.984,1.0935,1.057,1.0285,1.114,0.982,1.3605,1.061,1.011,1.1515,1.273,1.4025,1.2705,1.69,1.5,1.5115,1.1595,1.225,1.291,1.6655,1.624,1.211,1.3135,1.509,1.3235,0.9855,1.0425,1.119,0.8825,0.9685,1.3355,1.2665,1.2205,1.12,1.0145,1.263,0.819,1.4805,1.0975,1.2265,1.4085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
