"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910"
"53","MT","TSHE","H","01C","TSHE-H-01C",0.9585,1.022,1.168,1.0055,1.2015,1.0585,1.2915,1.843,1.6025,1.002,1.7,1.6605,1.6925,1.986,1.856,3.203,2.5695,2.096,1.827,2.8935,2.7195,2.8265,2.0085,1.5415,0.7415,1.9685,2.342,1.6165,1.5135,1.9645,2.322,2.195,2.0935,2.1115,1.812,2.041,1.523,1.503,1.151,1.5865,2.013,1.9465,2.328,2.5195,2.492,1.231,2.0855,2.7275,2.3245,2.22,1.7735,1.368,1.094,1.2625,1.4705,1.474,1.434,1.202,2.2265,1.7125,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","MT","TSHE","H","01N","TSHE-H-01N",1.2,1.4365,1.542,1.2085,1.1325,1.065,1.8665,1.9615,1.771,1.2115,1.8215,1.805,1.9835,2.11,2.4325,3.1025,2.031,2.2685,1.92,2.702,1.9155,2.266,1.3015,1.352,0.7275,1.464,1.557,1.625,0.9715,1.331,1.823,1.5995,1.774,1.1635,1.092,1.4915,1.6545,1.9125,0.919,1.0015,0.9585,1.141,1.5775,1.9,2.9475,1.9905,1.5875,2.0945,1.8955,2.1215,1.8185,1.133,1.4255,1.7645,2.148,1.9175,2.018,1.1235,1.924,1.363,1.8785,2.2455,2.306,1.94,2.2725,1.8545,1.667,1.685,1.6345,1.4215,1.914,2.298,1.9535,1.046,1.637,1.734,1.4725,1.2715,1.352,1.3775,1.028,0.692,0.65,0.904,0.925,0.838,0.441,0.582,0.693,1.463,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","MT","TSHE","H","02C","TSHE-H-02C",0.948,0.9855,1.2175,1.2605,1.396,1.241,1.4255,1.804,1.9065,1.456,1.774,1.663,1.4005,1.6975,1.889,2.3015,1.7735,1.9585,1.8335,1.832,1.05,1.94,1.6255,2.1425,0.8735,1.912,1.6955,1.8005,1.539,1.5555,1.6395,1.2945,1.7315,1.3225,1.345,1.764,1.856,2.016,1.461,1.35,1.4655,1.488,1.852,1.768,1.638,1.328,1.366,1.7495,1.686,1.8805,1.614,1.112,1.678,1.6835,1.9225,2.0035,1.565,1.732,1.975,1.46,1.5885,1.4205,1.488,1.551,1.6485,1.739,1.489,1.412,1.068,0.966,0.9405,0.8035,0.5255,0.582,1.057,0.579,0.4605,0.649,0.446,0.51,0.5235,0.6565,0.819,0.8565,0.976,1.104,1.055,0.8065,1.197,0.926,2.832,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","MT","TSHE","H","02N","TSHE-H-02N",2.0125,2.911,3.0235,3.4745,2.2405,1.9995,3.3205,3.6265,3.606,3.262,2.229,1.66,1.7865,2.0375,1.7325,1.6905,1.0785,1.2035,1.2955,2.111,1.924,1.869,1.7335,1.861,0.9315,1.7365,1.801,1.812,1.169,1.358,1.5645,1.0635,1.401,1.0265,1.0725,1.523,1.3645,1.406,1.1385,0.9265,1.267,1.118,1.3505,1.155,1.853,0.8615,1.1375,1.2835,0.86,1.495,1.1965,1.0185,1.448,1.188,1.4305,1.575,1.7375,0.8935,1.371,1.0055,1.086,1.014,1.5205,1.149,1.214,1.147,1.241,0.8975,1.017,1.0645,1.4325,1.2665,1.1125,0.805,1.256,1.554,1.1175,0.9665,0.987,1.1225,1.071,0.8875,1.218,1.6315,0.9145,0.969,0.745,0.943,1.164,1.5855,0.7675,0.95,0.546,0.896,0.715,0.799,0.756,1.322,1.297,1.652,2.084,2.686,2.245,3.394
"57","MT","TSHE","H","03C","TSHE-H-03C",0.979,0.9035,1.1145,1.051,1.297,1.179,1.664,2.1005,1.4535,0.934,1.1585,0.955,1.1,1.2215,1.147,1.734,1.2365,1.3225,1.074,1.7775,1.401,1.867,1.365,1.296,0.74,1.5305,1.237,1.068,0.841,1.1005,1.198,0.967,1.279,0.9365,1.041,1.1145,1.303,1.3345,0.8455,0.724,0.928,0.8485,0.786,1.0665,1.4035,0.826,1.0735,1.255,1.2895,1.4945,1.466,0.815,0.879,1.1035,1.2105,1.1355,1.6155,0.9445,1.444,1.083,1.3825,1.3765,1.805,1.351,1.474,1.1645,1.025,0.743,0.8665,0.9035,1.0685,1,0.9735,0.8195,0.833,0.96,1.402,1.5215,0.7265,1.248,1.2225,1.2265,0.908,1.1545,1.0985,1.402,1.148,0.8355,0.9505,1.252,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","MT","TSHE","H","03N","TSHE-H-03N",1.5885,2.103,1.904,2.4465,2.6045,2.173,2.6925,3.338,3.5425,2.473,3.68,2.9095,2.7895,3.1305,3.5335,3.9195,3.3195,2.959,2.6195,3.5565,3.3045,3.858,3.5945,3.207,2.267,2.599,2.708,2.5185,1.642,1.995,2.509,2.0255,1.7735,1.368,1.3295,1.0565,0.9225,1.003,0.666,0.576,0.798,0.669,0.534,0.5035,0.7745,0.656,1.883,2.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","MT","TSHE","H","04C","TSHE-H-04C",1.311,1.44,0.984,1.2385,1.339,1.173,2.394,3.5855,4.009,3.909,2.4925,2.296,2.588,2.937,3.4355,4.1945,2.9875,2.8445,2.9095,3.2535,0.7205,3.3125,2.1315,1.988,1.139,3.075,2.899,2.974,1.7585,2.475,3.744,2.3475,3.148,3.2215,2.163,2.732,2.276,2.879,1.99,1.926,2.1585,2.393,2.6885,2.006,1.9325,1.587,1.256,1.8785,1.6665,1.488,1.758,1.2045,0.9715,0.776,0.8025,0.61,0.6005,0.51,0.5645,0.454,0.5075,1.494,0.814,1.224,0.174,0.29,0.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","MT","TSHE","H","04N","TSHE-H-04N",1.6845,1.9905,2.031,1.888,2.0145,1.8595,2.2635,2.878,3.49,2.8255,2.636,2.359,2.652,2.762,2.312,2.3585,1.999,1.851,2.3135,3.12,2.155,2.3585,2.185,1.785,0.5675,1.7655,1.9775,1.798,1.5585,1.754,1.903,1.6915,2.001,1.9305,1.6505,1.831,1.788,2.0945,1.6075,1.322,1.7985,1.724,2.124,2.1795,2.255,1.5305,1.66,2.499,2.045,2.9445,1.894,1.264,1.566,1.429,1.6325,1.83,2.3,1.3795,2.245,1.5605,2.0525,1.805,2.456,2.6025,1.945,1.5065,1.883,1.603,1.283,0.903,1.223,1.669,0.974,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","MT","TSHE","H","05C","TSHE-H-05C",0.963,0.9965,1.058,0.766,0.853,0.96,1.311,1.3955,1.078,0.723,1.0015,0.9665,1.047,1.219,1.266,1.2915,1.2505,1.3265,1.407,1.372,0.945,1.35,0.964,1.235,0.655,1.3835,1.2055,1.17,0.8245,1.31,1.3705,1.211,1.6165,1.3235,1.3555,1.5585,1.3875,1.352,1.007,0.931,1.2785,1.2775,1.553,1.4115,1.17,0.855,1.2365,1.6745,1.0665,1.8975,1.3895,0.9335,1.087,1.1435,1.2685,1.222,1.2235,0.865,1.312,1.2035,1.4755,1.422,1.203,1.744,2.0175,0.7535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","MT","TSHE","H","05N","TSHE-H-05N",1.0685,1.4535,1.0975,1.341,0.897,0.931,1.5405,1.744,1.607,1.3265,1.0725,0.8865,0.8875,0.8985,1.0685,1.1945,1.0475,1.121,0.7395,1.7145,1.2685,1.534,1.3325,1.1635,0.811,1.3995,1.3845,1.2985,1.062,1.428,2.4655,1.7985,1.942,1.661,1.4265,1.652,1.3115,1.5525,1.0495,0.9195,1.24,1.583,1.637,1.057,1.5205,0.8215,1.375,2.213,2.054,1.8365,1.9675,1.4495,1.2805,1.437,1.663,2.025,0.5385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
