"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902"
"47","CO","PIPO","H","01H","PIPO-H-01H",0.4805,1.396,1.5375,1.835,2.044,1.758,2.2835,1.7955,1.704,1.7985,1.6785,0.8865,1.3565,1.899,2.579,2.158,1.928,1.642,2.412,1.957,1.675,2.5865,2.2495,1.878,1.8135,1.999,1.9885,2.123,1.763,1.7605,2.265,1.749,2.386,1.46,1.569,1.8365,1.5315,1.818,2.478,2.002,1.7825,2.3025,2.231,2.298,2.7235,2.781,4.6485,2.57,3.0745,2.05,1.7305,2.1895,1.358,2.654,2.271,2.504,1.956,2.592,2.669,2.697,2.566,1.64,2.007,1.778,1.985,2.881,3.527,2.842,2.16,2.426,2.487,2.772,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","CO","PIPO","H","01L","PIPO-H-01L",1.132,2.475,3.115,3.305,3.4875,3.2355,4.3565,3.5085,2.9285,3.314,2.6915,2.1965,2.7695,2.856,3.4165,2.9645,2.8405,2.8035,3.9155,3.3865,3.0185,3.6975,4.368,3.553,3.6665,3.7505,3.3075,4.065,2.713,2.781,2.769,3.175,3.572,3.2505,3.852,1.722,1.1625,1.4175,1.2155,1.945,1.8065,2.314,2.4025,3.1125,2.4155,1.182,2.494,2.3455,2.45,1.5915,1.7255,1.6885,1.5265,1.0915,1.633,1.2865,0.8825,1.243,1.2645,1.464,1.4475,1.745,0.956,1.005,0.6805,0.545,0.5705,1.3545,1.228,0.8655,0.9815,0.884,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","CO","PIPO","H","10H","PIPO-H-10H",0.196,1.2555,1.3695,1.3385,1.317,1.44,2.2175,1.5445,1.2705,1.4895,1.4215,0.3375,1.6995,1.657,1.856,1.2755,1.5415,1.006,1.4865,1.7025,1.588,1.7485,1.688,1.7125,1.339,1.454,1.877,2.6525,1.5835,1.794,2.5425,2.3905,2.109,1.6975,2.01,2.2155,1.1275,2.247,2.5595,2.613,2.318,2.153,2.1635,2.529,3.3425,2.6015,2.6895,2.2545,2.384,2.1885,1.92,2.293,2.342,2.4535,2.049,2.934,2.493,2.28,2.239,2.875,2.536,2.791,2.1985,2.4535,3.5505,2.7585,2.951,2.7395,2.353,2.72,2.8595,3.2655,4.158,3.469,3.194,3.451,3.6495,3.6775,2.826,2.6795,3.319,2.7885,2.768,3.323,2.466,3.4045,3.238,3.836,2.7855,2.636,2.242,2.0305,4.2395,2.3125,3.972,3.684,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","CO","PIPO","H","10L","PIPO-H-10L",1.0295,2.272,3.4585,3.311,2.22,3.364,5.072,3.2035,3.0965,3.1025,2.231,1.5865,2.235,2.8085,3.177,2.7465,3.4535,3.2795,4.7415,3.127,3.219,3.627,3.722,3.5335,3.6225,3.8165,4.5485,6.111,4.593,3.606,3.3175,2.827,2.2065,1.581,1.8035,1.541,1.624,2.6825,3.041,2.904,2.344,2.7935,2.312,2.779,3.088,3.286,2.774,2.337,2.9235,3.0445,2.1285,1.7245,1.21,1.49,2.0555,2.105,2.0245,2.128,1.613,1.176,1.106,2.235,1.431,0.977,1.877,1.8,1.924,1.032,0.761,1.073,0.758,0.862,1.355,1.748,1.357,1.132,0.408,0.391,1.595,1.995,1.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CO","PIPO","H","11H","PIPO-H-11H",0.7235,1.8365,2.1625,2.6735,2.381,1.689,3.0235,2.185,1.835,1.738,1.902,0.8515,1.9955,1.745,3.012,2.206,2.7035,1.9725,2.797,2.167,1.776,2.2695,2.2055,2.711,2.1155,2.1255,1.939,2.6075,1.621,2.402,2.589,2.8395,2.822,1.8065,1.84,1.7225,2.0805,2.1765,2.8195,2.6555,2.179,2.3875,2.174,3.0225,3.1945,2.709,2.915,3.03,2.5755,2.529,2.1485,2.3045,1.963,2.341,2.459,2.9985,2.669,2.268,2.5515,3.0495,2.0975,2.0605,2.078,1.769,2.314,1.893,2.719,2.499,1.884,2.378,2.9095,2.239,2.657,2.71,2.055,2.443,3.235,2.7895,2.554,1.9205,2.6685,2.5515,2.0605,1.5145,2.2885,2.0145,2.3015,2.0015,1.1445,1.606,2.02,1.786,3.609,2.707,2.956,3.588,2.937,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","CO","PIPO","H","11L","PIPO-H-11L",0.9415,2.55,2.7935,3.9925,3.8455,2.8765,5.397,3.5415,2.0295,2.5855,2.187,1.2425,1.7065,2.052,3.3095,2.406,2.934,2.09,2.8025,3.128,2.6535,2.685,3.2235,3.4985,3.28,2.878,2.4125,3.7105,2.9895,3.0175,2.1545,3.081,3.5495,2.671,2.512,2.4185,1.965,2.7955,3.2295,3.016,2.7685,3.0695,1.908,3.124,3.452,3.089,3.2645,2.3695,2.0925,2.609,1.6635,2.3555,2.082,2.118,2.1825,2.3815,2.582,1.9255,1.9745,1.854,1.3795,1.699,1.3955,1.1405,1.144,1.523,1.6835,1.2195,1.3765,1.666,1.4125,1.4205,1.631,1.747,1.4565,1.93,2.2695,2.816,2.403,1.2975,1.4725,1.879,1.8235,2.3255,2.4,2.778,3.6215,2.176,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CO","PIPO","H","12H","PIPO-H-12H",0.3095,1.151,1.4415,1.449,1.318,1.5325,2.3425,1.51,0.964,1.303,1.1275,0.8665,1.176,1.424,1.999,1.5,1.3985,1.195,1.3535,0.77,0.6635,1.147,1.6175,2.202,1.5445,1.5825,1.697,2.001,1.496,1.5355,2.0295,1.8805,1.798,0.857,1.1805,1.3405,1.3765,1.3005,1.69,1.5865,1.5375,1.344,0.922,1.254,1.83,1.36,1.321,1.3305,1.604,1.473,1.071,1.301,1.304,1.1965,1.1925,0.943,1.0925,0.967,1.071,1.2905,1.197,1.591,1.5305,1.1105,1.3775,0.9835,1.234,1.0565,0.9845,0.8815,1.2585,1.131,2.15,2.037,2.105,2.0155,2.179,2.0505,2.2085,1.6635,2.0205,2.2825,1.778,2.325,1.8575,1.8585,2.381,2.8215,2.3595,2.6395,2.859,2.519,3.471,2.515,3.2115,2.5765,2.4305,3.1205,2.647,3.2655,2.5095,3.323,3.6715,3.1475,3.1655,3.923,3.546,3.808,3.1835,3.6025,3.6625,2.6475
"46","CO","PIPO","H","12L","PIPO-H-12L",0.555,1.3125,2.0455,2.3,2.618,2.4575,2.665,2.3055,1.3675,1.936,1.848,1.474,1.5105,2.38,3.3675,2.067,2.1135,2.0015,2.3615,1.796,1.9015,1.825,2.199,2.7595,2.527,2.4675,2.0005,2.9505,1.8875,2.0825,2.385,2.4555,2.4015,1.237,1.2545,1.539,1.5575,1.638,1.6925,1.9995,1.479,1.6125,1.158,1.4605,2.052,1.8145,1.8755,1.4645,1.91,1.261,1.128,1.895,2.1225,1.887,1.839,1.383,1.463,1.161,0.6395,0.7095,0.7305,1.3145,1.718,1.2985,1.5965,1.2505,1.563,1.275,1.164,1.016,1.072,1.1385,1.4945,1.611,2.0265,1.8085,2.439,2.076,2.124,2.731,2.16,2.5185,2.816,2.84,2.548,2.5405,3.425,3.0915,3.289,3.073,3.2245,3.069,3.8235,3.1035,3.2135,3.761,2.5555,3.9195,3.369,4.108,3.701,3.8275,5.0285,3.3495,3.382,4.054,1.877,NA,NA,NA,NA,NA
"49","CO","PIPO","H","2H","PIPO-H-2H",0.247,1.732,1.831,2.062,1.751,1.4705,2.6905,1.907,1.373,1.898,1.8565,1.2765,1.4815,2.0095,2.721,2.1175,2.0675,1.9635,2.238,1.9775,1.846,2.3145,2.079,2.3605,1.7085,1.41,1.837,2.4,1.6755,1.8495,2.372,2.356,2.196,1.448,1.454,1.662,1.8605,2.0805,2.354,1.819,1.822,2.1985,1.5865,1.8475,2.3775,2.0915,2.122,2.3125,2.7345,1.572,1.75,1.947,1.925,2.144,1.5635,2.205,2.52,1.787,2.2475,2.9885,2.241,2.533,1.98,2.3605,2.4985,2.537,3.444,3.1155,3.0835,2.725,3.0485,2.4585,3.5105,3.429,2.629,2.8725,3.1915,2.993,2.701,2.766,3.13,3.0555,3.0765,4.264,2.8275,3.338,3.6015,2.9765,2.9435,3.253,4.441,3.0665,4.431,3.1285,3.6405,4.1435,1.7735,2.4205,3.1585,1.659,2.4925,3.297,3.3865,3.376,2.6635,2.502,1.177,NA,NA,NA,NA,NA
"50","CO","PIPO","H","2L","PIPO-H-2L",0.1545,0.662,0.563,0.776,0.663,0.282,0.6865,0.481,0.222,0.6025,0.5895,0.428,0.559,0.8,1.3395,1.3075,1.0535,1.088,1.2155,0.872,0.7445,1.056,1.0535,1.384,1.088,0.9615,1.0645,1.8425,1.588,1.394,1.722,1.6455,1.447,0.99,0.9485,1.054,1.002,1.5385,1.7735,1.4785,1.906,1.957,1.244,1.6295,2.101,1.991,2.0535,2.1095,2.3025,1.883,1.4735,1.7145,1.529,1.6365,0.8855,1.392,1.6355,1.357,1.1165,1.802,1.361,1.826,1.7645,1.9775,1.903,1.935,2.017,1.815,2.031,2.261,2.7305,2.628,2.5335,2.677,2.942,3.239,3.383,3.0115,3.1415,3.057,3.3695,3.4645,4.096,5.148,3.636,3.558,4.507,4.3445,4.568,4.3995,5.3105,4.9785,6.6555,4.9855,5.5065,4.3515,3.0705,4.1355,3.5875,4.48,3.4665,3.9585,4.5445,3.4635,4.1405,5.3325,5.7035,4.8705,4.56,4.3905,4.242,3.84
