"","year","GDD_yearly_st","GDD_yearly_climateNA","DD5"
"1",1909,1591.02949932924,1314.3,1434
"2",1910,1291.71140187403,1461.7,1579
"3",1912,1201.18086722836,1273.5,1421
"4",1913,1345.75004648235,1346.15,1466
"5",1914,1491.40376134238,1529.5,1684
"6",1915,1456.9,1585.5,1692
"7",1916,1154.35491020022,1256.35,1390
"8",1917,1282.16755086453,1443.8,1570
"9",1918,1461.55,1535.8,1663
"10",1919,1283.4287037037,1342,1471
"11",1920,1241.3,1282,1417
"12",1921,1258.4,1282.45,1405
"13",1922,1488.7,1509.3,1590
"14",1923,1484.85,1475.25,1607
"15",1924,1449.79827045161,1452.25,1565
"16",1925,1470.4,1512.25,1650
"17",1926,1470.8,1592.15,1725
"18",1927,1248.35,1337.4,1472
"19",1928,1499.45,1476.6,1615
"20",1929,1352.55,1407.6,1530
"21",1930,1335.4,1391.05,1540
"22",1931,1438.75,1485.15,1591
"23",1932,1358.25,1381.35,1504
"24",1933,1236,1239.5,1415
"25",1934,1729.15,1693.75,1846
"26",1935,1515.9,1377.2,1491
"27",1936,1692.65,1568.95,1683
"28",1937,1512.2,1463,1617
"29",1938,1667.1,1567.7,1663
"30",1939,1638.05,1527.55,1665
"31",1940,1726.05,1703.8,1821
"32",1941,1561.50137614679,1504.3,1663
"33",1942,1486.10800071917,1526.3,1626
"34",1943,1330.49953703704,1427,1542
"35",1944,1648.61644553645,1521.45,1613
"36",1945,1624.77688190777,1423.2,1523
"37",1946,1399.37304938867,1356.3,1486
"38",1947,1569.95,1470.45,1609
"39",1948,1293.45,1289.55,1372
"40",1949,1584.9,1414.05,1541
"41",1950,1412.00272727273,1315.35,1473
"42",1951,1636.63009259259,1489.6,1577
"43",1952,1803.1,1589.55,1670
"44",1953,1449.15,1320.4,1492
"45",1954,1262.8,1188.65,1309
"46",1955,1155.7,1161.9,1227
"47",1956,1480.2,1393.3,1516
"48",1957,1526.76226415094,1423.3,1548
"49",1958,1909.05,1761.2,1936
"50",1959,1393.95,1309.95,1443
"51",1960,1501.3,1408.95,1531
"52",1961,1637.455,1494.35,1665
"53",1962,1494.29541284404,1336.45,1463
"54",1963,1540.75,1397.85,1558
"55",1964,1240.90324074074,1214.5,1310
"56",1965,1647.365,1427.6,1570
"57",1966,1488.46226415094,1385.75,1515
"58",1967,1732.36306306306,1636.4,1762
"59",1968,1466.05,1319,1496
"60",1969,1515.6,1431.75,1583
"61",1970,1382.49802882173,1360.65,1501
"62",1971,1295.81876513375,1278.4,1407
"63",1972,1341.93898298144,1327.7,1458
"64",1973,1371.8071272989,1348.05,1467
"65",1974,1449.65399182405,1410.25,1554
"66",1975,1271.75727328864,1271,1369
"67",1976,1262.77128726099,1277.8,1402
"68",1977,1361.81999142367,1360.55,1486
"69",1978,1346.65412821078,1342,1494
"70",1979,1521.75,1484.4,1627
"71",1980,1321.85,1285.25,1419
"72",1981,1371.53605769231,1311.75,1518
"73",1982,1331.89367389491,1292.95,1382
"74",1983,1238.95,1208.8,1392
"75",1984,1182.78463837669,1109.65,1293
"76",1985,1346.4396021021,1305.25,1422
"77",1986,1405.19636363636,1417.05,1582
"78",1987,1780.42676841293,1658.3,1768
"79",1988,1547.85,1433.6,1547
"80",1989,1458.32477477477,1354.15,1486
"81",1990,1506.0035411454,1467.8,1619
"82",1991,1484.6,1362.6,1532
"83",1992,1774.85,1631.95,1783
"84",1993,1417.3,1349.6,1462
"85",1994,1519.27590909091,1501.9,1636
"86",1995,1470.2,1383.5,1565
"87",1996,1402.3,1309.3,1455
"88",1997,1405.893742849,1393.45,1550
"89",1998,1531.5912037037,1547.9,1684
"90",1999,1267.7135725732,1251.95,1422
"91",2000,1228.06070961696,1340.25,1435
"92",2001,1475.5,1349,1507
"93",2002,1432.98714503954,1412.85,1556
"94",2003,1620.61516651966,1608.35,1758
"95",2004,1664.02638001638,1606.9,1764
"96",2005,1508.62253385758,1476.15,1641
"97",2006,1595.0363398471,1580.2,1708
"98",2007,1401.03950826883,1395.15,1569
"99",2008,1233.54448401573,1417.2,1540
"100",2009,1369.73097702268,1537.75,1689
"101",2010,1240.76731120731,1300.4,1486
"102",2011,1195.78103477309,1276.1,1401
"103",2012,1490.67200871748,1484.95,1615
"104",2013,1463.46756992087,1564.7,1718
"105",2014,1599.6265912948,1699.05,1864
"106",2015,1800.70891501605,1864.75,2039
"107",2016,1536.14690151667,1610.7,1770
"108",2017,1522.15532323593,1646.25,1798
"109",2018,1625.6076205286,1659.05,1814
"110",2019,1315.48800492719,1464.6,1657
"111",2020,1440.69883897497,1622.65,1752
"112",2021,1561.35801992004,1655.1,1803
"113",2022,1664.33662462325,1736,1894
"114",2023,1633.33318900654,1694,1854
"115",2024,1581.59194995758,1577.55,1743
"116",2025,1385.76036468999,NA,NA
