"","id1","year","DD5"
"1","longmire",1901,1565
"2","paradise",1901,804
"3","longmire",1902,1453
"4","paradise",1902,722
"5","longmire",1903,1444
"6","paradise",1903,729
"7","longmire",1904,1657
"8","paradise",1904,890
"9","longmire",1905,1539
"10","paradise",1905,813
"11","longmire",1906,1699
"12","paradise",1906,917
"13","longmire",1907,1621
"14","paradise",1907,827
"15","longmire",1908,1538
"16","paradise",1908,824
"17","longmire",1909,1434
"18","paradise",1909,735
"19","longmire",1910,1579
"20","paradise",1910,785
"21","longmire",1911,1378
"22","paradise",1911,684
"23","longmire",1912,1421
"24","paradise",1912,711
"25","longmire",1913,1466
"26","paradise",1913,770
"27","longmire",1914,1684
"28","paradise",1914,869
"29","longmire",1915,1692
"30","paradise",1915,896
"31","longmire",1916,1390
"32","paradise",1916,708
"33","longmire",1917,1570
"34","paradise",1917,864
"35","longmire",1918,1663
"36","paradise",1918,911
"37","longmire",1919,1471
"38","paradise",1919,775
"39","longmire",1920,1417
"40","paradise",1920,752
"41","longmire",1921,1405
"42","paradise",1921,689
"43","longmire",1922,1590
"44","paradise",1922,904
"45","longmire",1923,1607
"46","paradise",1923,873
"47","longmire",1924,1565
"48","paradise",1924,817
"49","longmire",1925,1650
"50","paradise",1925,855
"51","longmire",1926,1725
"52","paradise",1926,882
"53","longmire",1927,1472
"54","paradise",1927,780
"55","longmire",1928,1615
"56","paradise",1928,858
"57","longmire",1929,1530
"58","paradise",1929,808
"59","longmire",1930,1540
"60","paradise",1930,797
"61","longmire",1931,1591
"62","paradise",1931,831
"63","longmire",1932,1504
"64","paradise",1932,769
"65","longmire",1933,1415
"66","paradise",1933,722
"67","longmire",1934,1846
"68","paradise",1934,930
"69","longmire",1935,1491
"70","paradise",1935,798
"71","longmire",1936,1683
"72","paradise",1936,896
"73","longmire",1937,1617
"74","paradise",1937,845
"75","longmire",1938,1663
"76","paradise",1938,917
"77","longmire",1939,1665
"78","paradise",1939,868
"79","longmire",1940,1821
"80","paradise",1940,1008
"81","longmire",1941,1663
"82","paradise",1941,839
"83","longmire",1942,1626
"84","paradise",1942,901
"85","longmire",1943,1542
"86","paradise",1943,808
"87","longmire",1944,1613
"88","paradise",1944,876
"89","longmire",1945,1523
"90","paradise",1945,811
"91","longmire",1946,1486
"92","paradise",1946,774
"93","longmire",1947,1609
"94","paradise",1947,796
"95","longmire",1948,1372
"96","paradise",1948,703
"97","longmire",1949,1541
"98","paradise",1949,778
"99","longmire",1950,1473
"100","paradise",1950,791
"101","longmire",1951,1577
"102","paradise",1951,859
"103","longmire",1952,1670
"104","paradise",1952,923
"105","longmire",1953,1492
"106","paradise",1953,758
"107","longmire",1954,1309
"108","paradise",1954,597
"109","longmire",1955,1227
"110","paradise",1955,610
"111","longmire",1956,1516
"112","paradise",1956,794
"113","longmire",1957,1548
"114","paradise",1957,781
"115","longmire",1958,1936
"116","paradise",1958,1101
"117","longmire",1959,1443
"118","paradise",1959,718
"119","longmire",1960,1531
"120","paradise",1960,816
"121","longmire",1961,1665
"122","paradise",1961,925
"123","longmire",1962,1463
"124","paradise",1962,734
"125","longmire",1963,1558
"126","paradise",1963,795
"127","longmire",1964,1310
"128","paradise",1964,634
"129","longmire",1965,1570
"130","paradise",1965,819
"131","longmire",1966,1515
"132","paradise",1966,765
"133","longmire",1967,1762
"134","paradise",1967,1035
"135","longmire",1968,1496
"136","paradise",1968,752
"137","longmire",1969,1583
"138","paradise",1969,833
"139","longmire",1970,1501
"140","paradise",1970,795
"141","longmire",1971,1407
"142","paradise",1971,750
"143","longmire",1972,1458
"144","paradise",1972,741
"145","longmire",1973,1467
"146","paradise",1973,741
"147","longmire",1974,1554
"148","paradise",1974,840
"149","longmire",1975,1369
"150","paradise",1975,713
"151","longmire",1976,1402
"152","paradise",1976,698
"153","longmire",1977,1486
"154","paradise",1977,780
"155","longmire",1978,1494
"156","paradise",1978,756
"157","longmire",1979,1627
"158","paradise",1979,863
"159","longmire",1980,1419
"160","paradise",1980,672
"161","longmire",1981,1518
"162","paradise",1981,773
"163","longmire",1982,1382
"164","paradise",1982,727
"165","longmire",1983,1392
"166","paradise",1983,637
"167","longmire",1984,1293
"168","paradise",1984,630
"169","longmire",1985,1422
"170","paradise",1985,745
"171","longmire",1986,1582
"172","paradise",1986,793
"173","longmire",1987,1768
"174","paradise",1987,949
"175","longmire",1988,1547
"176","paradise",1988,788
"177","longmire",1989,1486
"178","paradise",1989,743
"179","longmire",1990,1619
"180","paradise",1990,894
"181","longmire",1991,1532
"182","paradise",1991,825
"183","longmire",1992,1783
"184","paradise",1992,937
"185","longmire",1993,1462
"186","paradise",1993,712
"187","longmire",1994,1636
"188","paradise",1994,885
"189","longmire",1995,1565
"190","paradise",1995,781
"191","longmire",1996,1455
"192","paradise",1996,774
"193","longmire",1997,1550
"194","paradise",1997,811
"195","longmire",1998,1684
"196","paradise",1998,946
"197","longmire",1999,1422
"198","paradise",1999,717
"199","longmire",2000,1435
"200","paradise",2000,711
"201","longmire",2001,1507
"202","paradise",2001,781
"203","longmire",2002,1556
"204","paradise",2002,829
"205","longmire",2003,1758
"206","paradise",2003,994
"207","longmire",2004,1764
"208","paradise",2004,953
"209","longmire",2005,1641
"210","paradise",2005,825
"211","longmire",2006,1708
"212","paradise",2006,934
"213","longmire",2007,1569
"214","paradise",2007,807
"215","longmire",2008,1540
"216","paradise",2008,807
"217","longmire",2009,1689
"218","paradise",2009,952
"219","longmire",2010,1486
"220","paradise",2010,748
"221","longmire",2011,1401
"222","paradise",2011,740
"223","longmire",2012,1615
"224","paradise",2012,883
"225","longmire",2013,1718
"226","paradise",2013,943
"227","longmire",2014,1864
"228","paradise",2014,1032
"229","longmire",2015,2039
"230","paradise",2015,1138
"231","longmire",2016,1770
"232","paradise",2016,899
"233","longmire",2017,1798
"234","paradise",2017,1038
"235","longmire",2018,1814
"236","paradise",2018,1004
"237","longmire",2019,1657
"238","paradise",2019,864
"239","longmire",2020,1752
"240","paradise",2020,951
"241","longmire",2021,1803
"242","paradise",2021,1031
"243","longmire",2022,1894
"244","paradise",2022,1127
"245","longmire",2023,1854
"246","paradise",2023,1061
"247","longmire",2024,1743
"248","paradise",2024,966
