age_CE,BC1801A_raw,BC1802A_raw,BC1803A_raw,BC1804B_raw,BC1805B_raw,BC1806A_raw,BC1807A_raw,BC1808A_raw,BC1809A_raw,BC1810B_raw,BC1811A_raw,BC1812A_raw,BC1813A_raw,BC1814A_raw,BC1815B_raw,BC1816A_raw,BC1817A_raw,BC1818A_raw,BC1819A_raw,BC1820A_raw,BC1801A_raw_outlier_flag,BC1802A_raw_outlier_flag,BC1803A_raw_outlier_flag,BC1804B_raw_outlier_flag,BC1805B_raw_outlier_flag,BC1806A_raw_outlier_flag,BC1807A_raw_outlier_flag,BC1808A_raw_outlier_flag,BC1809A_raw_outlier_flag,BC1810B_raw_outlier_flag,BC1811A_raw_outlier_flag,BC1812A_raw_outlier_flag,BC1813A_raw_outlier_flag,BC1814A_raw_outlier_flag,BC1815B_raw_outlier_flag,BC1816A_raw_outlier_flag,BC1817A_raw_outlier_flag,BC1818A_raw_outlier_flag,BC1819A_raw_outlier_flag,BC1820A_raw_outlier_flag
1793,NA,NA,NA,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1794,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1795,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1796,NA,NA,NA,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1797,NA,NA,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1798,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1799,NA,NA,NA,1.45,NA,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1800,NA,NA,NA,0.98,NA,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1801,NA,NA,NA,0.99,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1802,NA,NA,NA,1.16,NA,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
