Ecotype,Population,Genotype,Elevation,BB,BS,Dstom,Sstom,gsmax,SLA,Ail,Ap,HDp,Apl,Fpl,Dpv,Lpf,Kp,Kl,Al,As.Al,Ac,TH,LAI,Dstem,Fb,Asl,Hds,Fsl,Dsv,PSI.md,PSI.pd
SD,CCRCOL,CCR157,72,44,297,324716603.8,2.18E-10,0.959959914,100.6548801,1167.777476,625035,14.65,34.7,0.037,0.001075621,1.13262537,8.56E-08,0.0000754,5.544983284,0.000389882,1.827774375,320,3.034,0.41,0.343,1254.639,39,0.242570508,0.00033853,-1.477,-0.484
SD,CCRCOL,CCR161,72,44,290,223255903.7,2.41E-10,0.714945935,105.3555528,1653.661806,763770,18.68,73.7,0.058,0.000787773,1.160714676,0.000000477,0.00035,6.958277057,0.000387633,2.46588125,319,2.822,0.4,0.32,768.605,42.6,0.210260554,0.000226969,-1.573,-0.501
SD,LBWBIL,LBW140,161,54,297,212665016.4,2.57E-10,0.685578074,118.7237497,1409.606151,747572,23.02,139.5,0.057,0.000410321,1.320815397,0.000000496,0.000327369,4.213075652,0.000352526,1.4942475,349,2.82,0.43,0.297,579.905,41,0.199067912,0.000213974,-1.476,-0.422
SD,LBWBIL,LBW141,161,54,297,303958464.7,2.29E-10,0.863429732,111.3274011,1552.106615,647305,22.36,105.7,0.065,0.000619457,1.357543288,0.000000602,0.000307034,9.923130604,0.000349341,2.108608125,387,4.706,0.43,0.304,472.313,37.6,0.196128334,0.000338207,-1.364,-0.436
SD,LBWBIL,LBW142,161,44,297,229822253.8,2.38E-10,0.6433081,136.9838698,1040.355672,883982,24.72,83.3,0.04,0.000479665,1.060624093,0.000000427,0.000275722,8.206028518,0.00035079,2.11145375,373,3.886,0.45,0.317,764.979,41.1,0.267044829,0.000329975,-1.503,-0.386
SD,LBWBIL,LBW143,161,66,297,318573889.1,2.45E-10,0.94385463,117.9001542,1472.878685,452547,19.59,77.4,0.066,0.000856148,1.394585992,0.000000153,0.000112664,4.606629254,0.0003645,1.811485625,298,2.543,0.43,0.319,536.29,31.8,0.19448809,0.000411778,-1.828,-0.464
SD,LBWBIL,LBW145,161,44,297,252274934.8,2.03E-10,0.680286504,125.4191605,1805.540705,1018083,24.9,94.9,0.031,0.000328302,1.512670934,0.000000978,0.000395481,5.12071941,0.000362245,1.693735625,310,3.023,0.33,0.299,722.544,46,0.290061327,0.000379176,-1.584,-0.482
SD,LBWBIL,LBW172,161,66,297,260959462.4,2.45E-10,0.786833398,138.0140278,2006.256688,1933595,26.62,101,0.024,0.000239614,1.392538075,0.000000942,0.000358454,4.350072954,0.000347199,1.600615,301,2.718,0.4,0.26,930.338,33.4,0.182455089,0.000388052,-1.424,-0.554
SD,NRVNEW,NRV101,666,66,297,223679539.2,2.44E-10,0.695600069,115.3220126,1113.98207,1584857,19.62,98.5,0.021,0.000209671,1.058614565,0.000000514,0.000445451,9.980568422,0.000398455,3.30779375,380,3.017,0.39,0.266,636.924,40.5,0.224397898,0.000283105,-1.614,-0.446
SD,NRVNEW,NRV105,666,66,297,249944939.6,2.58E-10,0.789698911,136.1674269,1794.963113,1986070,24.71,112,0.059,0.000529291,1.709240622,0.00000127,0.000422635,7.707393758,0.000433475,3.83178125,325,2.011,0.41,0.316,1023.815,39.1,0.249716408,0.000392066,-1.72,-0.453
SD,NRVNEW,NRV106,666,66,303,309004434.1,2.22E-10,0.901490423,130.4148653,1431.779111,643751,21.89,110.3,0.053,0.000479607,1.423349569,0.000000659,0.000422372,4.1697215,0.000440721,2.1096875,276,1.976,0.41,0.4,831.42,37.5,0.220892599,0.000318994,-1.596,-0.468
SD,NRVNEW,NRV109,666,66,297,265195817.3,2.58E-10,0.90126838,115.8453906,976.0455282,653041,17.91,66.2,0.051,0.000770389,1.304964557,0.000000179,0.000154616,4.128535604,0.000444357,1.8184525,259,2.27,0.4,0.387,558.804,47.6,0.263317354,0.000238051,-1.666,-0.531
SD,NRVNEW,NRV110,666,66,303,256723107.5,2.36E-10,0.79219172,123.5466998,1095.800432,1364901,25.8,98.8,0.094,0.000948885,1.57208589,0.000000785,0.000324821,5.713533829,0.000387998,2.286705,340,2.499,0.38,0.247,1106.136,43.4,0.230314668,0.000224957,-1.83,-0.53
SD,NRVNEW,NRV112,666,66,297,286377591.8,2.34E-10,0.849856613,94.48199189,1097.300394,397379,20.39,65.6,0.086,0.001313109,1.019969278,0.000000295,0.000309531,9.808044045,0.000407465,2.222335,378,4.413,0.43,0.341,832.47,35.4,0.300820011,0.000538328,-1.524,-0.482
SD,TSZSAN,TSZ178,1219,80,290,220078637.5,2.50E-10,0.677512081,105.7900508,1644.032225,1090200,23.95,87,0.048,0.000552976,1.668126095,0.00000114,0.000543992,10.26756226,0.000267896,2.515925,301,4.081,0.4,0.243,636.457,38.5,0.239083918,0.000432639,-1.378,-0.434
SD,TSZSAN,TSZ179,1219,66,277,220714090.7,3.03E-10,0.7451795,120.1264389,1789.15401,1662826,23.28,71.2,0.084,0.001184097,1.038095238,0.000000676,0.000270657,11.49034927,0.000266373,1.67263875,227,6.87,0.36,0.251,552.618,43.6,0.197401032,0.000186173,-1.619,-0.408
SD,TSZSAN,TSZ180,1219,80,297,140011529.7,2.67E-10,0.468814955,130.9207689,1910.809304,1732317,23.87,72.2,0.049,0.000675681,1.424908425,0.000000505,0.000200929,10.40260074,0.00029649,3.32683,310,3.127,0.4,0.318,1060.31,37.7,0.242191404,0.00038053,-1.534,-0.426
SD,TSZSAN,TSZ181,1219,80,297,229186800.6,3.47E-10,0.79489049,118.6700242,1836.951135,712363,23.62,79.1,0.066,0.000868537,1.353110667,0.00000159,0.000511893,11.79517162,0.000266943,2.726305,313,4.326,0.36,0.333,701.227,39,0.21388763,0.000305019,-1.442,-0.445
SD,TSZSAN,TSZ185,1219,80,303,198049592,3.28E-10,0.700527973,120.0292807,2551.02559,1228613,23.58,71.7,0.067,0.000929889,1.231501832,0.000000295,0.0001433,5.575534349,0.000255118,2.26295875,267,2.464,0.4,0.351,604.66,43.3,0.307107904,0.000330031,-1.333,-0.44
SD,TSZSAN,TSZ188,1219,80,297,190424153.1,2.97E-10,0.614875477,116.1154269,1372.903108,554391,23.7,76.8,0.06,0.000804251,1.292306249,0.000000638,0.000440992,9.734866566,0.000229334,2.23097,306,4.364,0.42,0.214,930.542,36.7,0.193714605,0.00032037,-1.771,-0.454
UHP,CLFLCR,CLF150,1301,103,277,153356047.7,3.60E-10,0.57742257,104.2292702,3895.671575,1948728,24.22,70.3,0.05,0.000718782,1.661940907,0.00000113,0.000286941,6.369438707,0.000233549,2.4543025,319,2.595,0.44,0.319,657.422,35.1,0.195686118,0.000369408,-1.342,-0.374
UHP,CLFLCR,CLF152,1301,80,277,130479731.2,3.66E-10,0.508519108,113.8706837,3734.028858,1580905,25.49,101.9,0.044,0.000436068,1.992300964,0.00000113,0.00029514,13.03830901,0.00025564,3.3178025,346,3.93,0.38,0.364,785.18,40.4,0.229709321,0.000349409,-1.464,-0.442
UHP,CLFLCR,CLF153,1301,103,277,178138723.9,4.17E-10,0.670017835,103.0324764,3203.482057,2067183,24.46,86.8,0.036,0.00041245,1.347245716,0.00000133,0.000299244,8.156104064,0.000271801,2.990065,342,2.728,0.48,0.351,982.868,39.6,0.170406179,0.000217028,-1.3095,-0.498
UHP,CLFLCR,CLF156,1301,103,277,143188795.9,3.82E-10,0.56470184,117.7818665,2359.841313,1487435,24.86,86.1,0.047,0.000577425,1.916070236,0.00000177,0.000553811,6.486764918,0.000257763,1.888415625,290,3.435,0.48,0.36,476.28,32.9,0.164517339,0.000274029,-1.635,-0.476
UHP,CLFLCR,CLF157,1301,103,297,223255903.7,3.38E-10,0.786227058,87.34896798,2595.810526,2110395,24.98,94.35,0.04,0.000424259,1.376128078,0.000000775,0.000243426,8.34873424,0.000246537,2.578038125,257,3.238,0.39,0.43,600.365,31,0.120053629,0.000252065,-1.348,-0.546
UHP,CLFLCR,CLF159,1301,103,277,116640971.8,5.37E-10,0.539178316,100.2859266,2316.247567,1780176,24.72,86.33,0.043,0.000522433,1.546481343,0.00000075,0.000261149,8.103089387,0.000243645,2.26551,271,3.577,0.46,0.355,686.504,45.4,0.220331325,0.000224172,-1.486,-0.316
UHP,JLAJAK,JLA146,1521,122,277,120312479.4,4.63E-10,0.519255222,94.47314184,2635.444926,1745793,28.45,136.4,0.054,0.000393106,1.48775491,0.00000188,0.000520935,6.380940489,0.000253427,3.6424,299,1.752,0.45,0.393,970.719,40.2,0.195135639,0.000337867,-1.52,-0.425
UHP,JLAJAK,JLA148,1521,103,277,148060604,4.41E-10,0.621234538,90.67005523,2357.669768,1687200,26.47,112.8,0.072,0.000638526,1.579821194,0.00000109,0.000299362,6.948762949,0.000255538,2.5312325,270,2.745,0.46,0.495,481.477,42.5,0.210129196,0.000216468,-1.191,-0.246
UHP,JLAJAK,JLA150,1521,122,277,156956949.4,3.85E-10,0.604812804,93.78312248,3110.775148,1507875,27.76,108,0.036,0.000337455,1.480665336,0.00000121,0.000335514,7.175761342,0.000253033,3.3068125,296,2.17,0.45,0.42,653.225,39.6,0.178312965,0.000272973,-1.452,-0.408
UHP,JLAJAK,JLA152,1521,122,277,135563357.1,4.46E-10,0.5960838,100.1534441,2134.35426,2072057,21.12,63.7,0.032,0.000504015,1.51608048,0.000000953,0.000224664,7.146910131,0.000256251,0.988609375,225,7.229,0.45,0.439,676.582,31.5,0.216412178,0.000449476,-1.434,-0.48
UHP,JLAJAK,JLA155,1521,122,277,152296959,4.34E-10,0.657691295,88.79292398,3656.698083,2174258,22.36,93.3,0.054,0.000619549,1.739018453,0.00000159,0.000374981,9.849607231,0.000256948,4.0250875,289,2.447,0.45,0.4,608.791,37.2,0.177836445,0.000292114,-1.388,-0.448
UHP,JLAJAK,JLA157,1521,103,277,182375078.8,4.10E-10,0.697120787,96.15300696,2452.346425,1264139,30.31,135.7,0.047,0.000350108,1.499759803,0.00000158,0.000471684,5.165009611,0.000255941,2.62818,285,1.965,0.44,0.304,516.663,32.9,0.154936797,0.00029988,-1.341,-0.432
UHP,KKHOPI,KKH165,1940,122,277,142976978.2,3.67E-10,0.537904353,92.17731548,3131.996317,1328641,24.23,89.8,0.117,0.001306428,1.636544898,0.00000139,0.000387282,12.41778401,0.000271259,2.668705625,227,4.653,0.43,0.411,615.75,46.1,0.352215836,0.000394002,-1.296,-0.623333333
UHP,KKHOPI,KKH167,1940,122,277,194872325.8,2.99E-10,0.658560475,86.80425876,3889.521533,900598,26.48,111.9,0.074,0.000665365,1.701374119,0.000000895,0.000327259,11.76982254,0.000266984,3.02990375,303,3.885,0.43,0.4,566.541,33.2,0.158641512,0.000264104,-1.378,-0.412
UHP,KKHOPI,KKH171,1940,103,277,154415136.4,4.12E-10,0.600551387,88.19063262,2605.050553,707857,21.93,83.1,0.07,0.000837293,1.527090041,0.000000731,0.000299105,13.25387961,0.000263327,2.80931875,304,4.718,0.44,0.329,797.954,40.5,0.146733392,0.000183887,-1.207,-0.498
UHP,KKHOPI,KKH172,1940,103,277,146154244.3,4.69E-10,0.606166291,93.15541406,2781.663567,1820128,17.75,83.2,0.03,0.000363148,1.573721967,0.00000101,0.000411735,12.30684786,0.000267453,3.32113875,303,3.706,0.44,0.495,560.272,36.8,0.22144562,0.000359635,-1.191,-0.442
UHP,KKHOPI,KKH173,1940,122,277,164794206,3.94E-10,0.645251588,92.46674023,3397.288044,2022803,24.59,105.5,0.059,0.000558113,1.612107106,0.000000621,0.000232065,10.28150537,0.000266617,2.4425275,272,4.209,0.41,0.344,893.945,35.8,0.209356192,0.000369534,-1.31,-0.44
UHP,KKHOPI,KKH181,1940,122,277,158016038.1,2.95E-10,0.528558927,92.90191317,3642.176333,2162682,23.64,117.4,0.08,0.000682741,1.577182587,0.00000111,0.000290668,11.717931,0.000266425,3.4920725,288,3.356,0.44,0.426,672.523,36.4,0.279784644,0.000499373,-1.608,-0.52
