# Gray et al. 2004 Uinta Basin Precipitation Reconstruction
#----------------------------------------------------------------------- 
#               World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available),
# and date accessed when using these downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/6329
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-recon-6329.json
#   Study_Level_JSON_Description: JSON metadata of this file's parent study, which includes all study metadata.
#
# Data_Type: Climate Reconstructions
#
# Dataset_DOI: 10.25921/8c4x-wn69
#
# Science_Keywords: Precipitation Reconstruction
#-------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/reconstructions/northamerica/usa/utah/uinta-precip2004-noaa.txt
#   Data_Download_Description: NOAA Template File; Precipitation Reconstruction Data
#
#-------------------
# Contribution_Date
#   Date: 2005-06-01
#-------------------
# File_Last_Modified_Date
#   Date: 2025-06-12
#-------------------
# Title
#   Study_Name: Gray et al. 2004 Uinta Basin Precipitation Reconstruction
#-------------------
# Investigators
#   Investigators: Gray, S.T.; Jackson, S.T.; Betancourt, J.L.
#-------------------
# Description_Notes_and_Keywords
#   Description: Total annual (previous June-current June) precipitation for the Uinta Basin Region (Utah Climate Division 6) reconstructed from tree rings.  
#-------------------
# Publication
#   Authors: Gray, S. T., Jackson, S. T. and J.L. Betancourt
#   Journal_Name: Journal of the American Water Resources Association
#   Published_Title: Tree-ring based reconstructions of interannual to decadal-scale precipitation variability for northeastern Utah.
#   Published_Date_or_Year: 2007-06-08
#   Volume: 40
#   Issue: 4
#   Pages: 947-960
#   Report_Number: 
#   DOI: 10.1111/j.1752-1688.2004.tb01058.x
#   Full_Citation: 
#   Abstract: Samples from 107 piñon pines (Pinns edulis) at four sites were used to develop a proxy record of annual (June to June) precipitation spanning the 1226 to 2001 AD interval for the Uinta Basin Watershed of northeastern Utah. The reconstruction reveals significant precipitation variability at interannual to decadal scales. Single-year dry events before the instrumental period tended to be more severe than those after 1900. In general, decadal scale dry events were longer and more severe prior to 1900. In particular, dry events in the late 13th, 16th, and 18th Centuries surpass the magnitude and duration of droughts seen in the Uinta Basin after 1900. The last four decades of the 20th Century also represent one of the wettest periods in the reconstruction. The proxy record indicates that the instrumental record (approximately 1900 to the Present) underestimates the potential frequency and severity of severe, sustained droughts in this area, while over representing the prominence of wet episodes. In the longer record, the empirical probability of any decadal scale drought exceeding the duration of the 1954 through 1964 drought is 94 percent, while the probability for any wet event exceeding the duration of the 1965 through 1999 wet spell is only 1 percent. Hence, estimates of future water availability in the Uinta Basin and forecasts for exports to the Colorado River, based on the 1961 to 1990 and 1971 to 2000 “normal” periods, may be overly optimistic.
#-------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant_Number: 
#-------------------
# Funding_Agency
#   Funding_Agency_Name: U.S. Geological Survey
#   Grant_Number: 
#-------------------
# Funding_Agency
#   Funding_Agency_Name: Wyoming Water Development Commission
#   Grant_Number: 
#-------------------
# Site_Information
#   Site_Name: Utah Climate Division 6 - Uinta Basin
#   Location: Utah
#   Northernmost_Latitude: 41
#   Southernmost_Latitude: 40
#   Easternmost_Longitude: -109
#   Westernmost_Longitude: -111
#   Elevation_m: 
#-------------------
# Data_Collection
#   Collection_Name: Gray2004Uinta
#   First_Year: 1226
#   Last_Year: 2001
#   Time_Unit: CE
#   Core_Length_m: 
#   Parameter_Keywords: reconstructions
#   Notes: 
#-------------------
# Chronology_Information
#    Chronology:
#-------------------
# Variables 
#
#   PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#     PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
#   variables format: shortname <tab> what,material,error,units,seasonality,data_type,detail,method, C(har) or N(umeric) data,additional information
## age	age,,,year Common Era,,climate reconstructions;tree ring,,,N,
## precipr	precipitation,,,millimeter,Jul-Jun,climate reconstructions;tree ring,,,N,
## precipi	precipitation,,,millimeter,Jul-Jun,instrumental,,,N,
#-------------------------------
# DATA: 
# Missing_Values: NA
age	precipr	precipi
1226	244.75	NA
1227	164.01	NA
1228	232.75	NA
1229	161.60	NA
1230	183.40	NA
1231	188.97	NA
1232	211.52	NA
1233	137.18	NA
1234	95.09	NA
1235	207.03	NA
1236	180.08	NA
1237	208.03	NA
1238	192.86	NA
1239	195.91	NA
1240	227.07	NA
1241	237.98	NA
1242	251.18	NA
1243	223.96	NA
1244	235.52	NA
1245	196.74	NA
1246	197.79	NA
1247	195.03	NA
1248	221.59	NA
1249	202.68	NA
1250	164.32	NA
1251	83.98	NA
1252	172.36	NA
1253	164.75	NA
1254	170.44	NA
1255	196.60	NA
1256	206.94	NA
1257	164.02	NA
1258	217.93	NA
1259	205.44	NA
1260	191.57	NA
1261	174.83	NA
1262	187.23	NA
1263	130.32	NA
1264	161.83	NA
1265	132.10	NA
1266	175.89	NA
1267	196.22	NA
1268	206.96	NA
1269	155.98	NA
1270	74.80	NA
1271	150.37	NA
1272	192.16	NA
1273	157.41	NA
1274	139.87	NA
1275	182.61	NA
1276	181.33	NA
1277	197.70	NA
1278	177.73	NA
1279	175.56	NA
1280	166.72	NA
1281	142.09	NA
1282	164.59	NA
1283	145.10	NA
1284	195.78	NA
1285	103.58	NA
1286	159.94	NA
1287	173.26	NA
1288	158.06	NA
1289	201.12	NA
1290	239.79	NA
1291	198.38	NA
1292	161.46	NA
1293	209.77	NA
1294	176.92	NA
1295	129.77	NA
1296	176.91	NA
1297	215.78	NA
1298	232.90	NA
1299	218.55	NA
1300	233.13	NA
1301	194.97	NA
1302	153.66	NA
1303	218.18	NA
1304	244.48	NA
1305	249.92	NA
1306	202.82	NA
1307	108.44	NA
1308	196.01	NA
1309	256.56	NA
1310	263.03	NA
1311	264.00	NA
1312	255.75	NA
1313	222.75	NA
1314	224.57	NA
1315	189.79	NA
1316	111.19	NA
1317	128.58	NA
1318	162.84	NA
1319	179.32	NA
1320	235.33	NA
1321	245.25	NA
1322	229.64	NA
1323	204.01	NA
1324	198.30	NA
1325	164.80	NA
1326	172.81	NA
1327	172.24	NA
1328	136.60	NA
1329	192.99	NA
1330	272.14	NA
1331	278.00	NA
1332	326.79	NA
1333	340.56	NA
1334	227.75	NA
1335	221.43	NA
1336	187.67	NA
1337	197.34	NA
1338	220.98	NA
1339	252.09	NA
1340	242.99	NA
1341	296.73	NA
1342	239.87	NA
1343	183.25	NA
1344	227.74	NA
1345	213.03	NA
1346	225.91	NA
1347	197.02	NA
1348	191.64	NA
1349	162.36	NA
1350	126.72	NA
1351	175.44	NA
1352	201.69	NA
1353	267.14	NA
1354	265.75	NA
1355	198.99	NA
1356	237.19	NA
1357	251.50	NA
1358	222.12	NA
1359	197.94	NA
1360	143.00	NA
1361	128.95	NA
1362	112.08	NA
1363	150.47	NA
1364	178.23	NA
1365	187.44	NA
1366	232.32	NA
1367	241.24	NA
1368	297.71	NA
1369	234.35	NA
1370	282.02	NA
1371	244.99	NA
1372	316.27	NA
1373	280.31	NA
1374	287.59	NA
1375	215.26	NA
1376	241.39	NA
1377	199.65	NA
1378	213.40	NA
1379	159.02	NA
1380	265.32	NA
1381	186.11	NA
1382	186.15	NA
1383	252.05	NA
1384	251.20	NA
1385	245.66	NA
1386	246.94	NA
1387	251.59	NA
1388	218.09	NA
1389	164.67	NA
1390	180.44	NA
1391	182.59	NA
1392	238.17	NA
1393	194.49	NA
1394	228.26	NA
1395	231.75	NA
1396	254.96	NA
1397	164.48	NA
1398	198.10	NA
1399	102.80	NA
1400	167.81	NA
1401	188.30	NA
1402	146.42	NA
1403	133.66	NA
1404	226.66	NA
1405	226.53	NA
1406	236.60	NA
1407	184.35	NA
1408	212.04	NA
1409	209.96	NA
1410	209.48	NA
1411	189.18	NA
1412	232.30	NA
1413	191.57	NA
1414	279.04	NA
1415	178.87	NA
1416	217.15	NA
1417	254.48	NA
1418	282.78	NA
1419	178.94	NA
1420	239.11	NA
1421	181.95	NA
1422	219.57	NA
1423	220.00	NA
1424	284.74	NA
1425	235.43	NA
1426	225.90	NA
1427	272.57	NA
1428	266.49	NA
1429	198.36	NA
1430	244.32	NA
1431	252.95	NA
1432	204.01	NA
1433	230.38	NA
1434	204.43	NA
1435	200.27	NA
1436	240.52	NA
1437	178.97	NA
1438	131.87	NA
1439	160.44	NA
1440	219.85	NA
1441	234.39	NA
1442	123.09	NA
1443	217.50	NA
1444	147.55	NA
1445	155.62	NA
1446	168.79	NA
1447	235.71	NA
1448	162.79	NA
1449	189.11	NA
1450	141.50	NA
1451	242.45	NA
1452	230.77	NA
1453	240.53	NA
1454	230.82	NA
1455	198.93	NA
1456	174.58	NA
1457	199.40	NA
1458	211.33	NA
1459	185.29	NA
1460	75.93	NA
1461	112.02	NA
1462	214.44	NA
1463	237.65	NA
1464	248.72	NA
1465	187.88	NA
1466	201.15	NA
1467	241.47	NA
1468	213.99	NA
1469	204.39	NA
1470	217.02	NA
1471	164.83	NA
1472	138.88	NA
1473	159.70	NA
1474	121.34	NA
1475	84.90	NA
1476	217.62	NA
1477	210.57	NA
1478	269.92	NA
1479	221.76	NA
1480	180.58	NA
1481	188.14	NA
1482	256.68	NA
1483	264.79	NA
1484	316.30	NA
1485	248.94	NA
1486	286.44	NA
1487	225.00	NA
1488	249.54	NA
1489	240.58	NA
1490	265.90	NA
1491	260.82	NA
1492	254.63	NA
1493	224.35	NA
1494	228.45	NA
1495	136.60	NA
1496	103.80	NA
1497	144.31	NA
1498	234.32	NA
1499	170.13	NA
1500	179.44	NA
1501	199.96	NA
1502	194.45	NA
1503	197.00	NA
1504	190.18	NA
1505	139.26	NA
