age_CE,AZP0102B_raw,AZP0102C_raw,AZP0103C_raw,AZP0103B_raw,AZP0104B_raw,AZP0104A_raw,AZP0104C_raw,AZP0105C_raw,AZP0105B_raw,AZP0106B_raw,AZP0106A_raw,AZP0108A_raw,AZP0108B_raw,AZP0112A_raw,AZP0113A_raw,AZP0113B_raw,AZP0115B_raw,AZP0102B_raw_outlier_flag,AZP0102C_raw_outlier_flag,AZP0103C_raw_outlier_flag,AZP0103B_raw_outlier_flag,AZP0104B_raw_outlier_flag,AZP0104A_raw_outlier_flag,AZP0104C_raw_outlier_flag,AZP0105C_raw_outlier_flag,AZP0105B_raw_outlier_flag,AZP0106B_raw_outlier_flag,AZP0106A_raw_outlier_flag,AZP0108A_raw_outlier_flag,AZP0108B_raw_outlier_flag,AZP0112A_raw_outlier_flag,AZP0113A_raw_outlier_flag,AZP0113B_raw_outlier_flag,AZP0115B_raw_outlier_flag
1930,NA,NA,NA,0.529,0.31,0.374,0.319,0.676,0.468,0.865,0.648,0.161,0.186,0.345,0.362,0.676,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1931,NA,NA,NA,0.51,0.376,0.488,0.377,0.902,0.409,0.604,0.402,0.066,0.15,0.208,0.298,0.386,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1932,NA,NA,NA,1.12,0.584,0.608,0.475,0.835,0.686,1.004,0.729,0.155,0.153,0.195,0.371,0.341,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1933,NA,NA,NA,0.307,0.135,0.154,0.058,0.452,0.327,0.575,0.368,0.114,0.303,0.39,0.061,0.099,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1934,NA,NA,NA,0.439,0.123,0.155,0.098,0.38,0.147,0.444,0.197,0.199,0.027,0.101,0.071,0.086,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1935,NA,NA,NA,0.413,0.391,0.335,0.269,0.503,0.295,0.687,0.484,0.314,0.159,0.214,0.26,0.326,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1936,NA,NA,NA,0.325,0.16,0.142,0.088,0.309,0.238,0.149,0.136,0.14,0,0.052,0.057,0.063,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1937,NA,NA,NA,1.476,0.395,0.497,0.326,0.821,0.447,0.683,0.436,0.271,0.274,0.251,0.33,0.384,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1938,NA,NA,NA,1.066,0.493,0.498,0.446,0.685,0.615,0.698,0.484,0.195,0.166,0.263,0.315,0.256,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1939,0.879,0.85,NA,0.469,0.293,0.308,0.306,0.481,0.331,0.298,0.257,0.045,0.053,0.139,0.141,0.183,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1940,0.824,0.679,NA,0.719,0.534,0.501,0.392,0.43,0.341,0.688,0.623,0.25,0.241,0.318,0.309,0.333,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1941,1.389,1.215,NA,1.18,0.683,0.801,0.621,0.509,0.549,0.821,0.497,0.333,0.342,0.49,0.394,0.499,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1942,0.91,0.797,NA,0.954,0.818,0.755,0.661,0.772,0.48,0.611,0.515,0.349,0.363,0.732,0.339,0.364,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1943,0.977,0.796,NA,1.307,0.637,0.512,0.482,0.773,0.478,0.715,0.542,0.376,0.299,0.659,0.335,0.322,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1944,0.781,0.557,NA,0.8,0.503,0.507,0.396,0.713,0.413,0.669,0.444,0.469,0.471,0.621,0.3,0.296,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1945,0.831,0.606,NA,0.943,0.534,0.423,0.404,0.582,0.568,0.62,0.426,0.232,0.274,0.481,0.275,0.4,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1946,0.218,0.161,NA,0.582,0.334,0.257,0.19,0.343,0.265,0.244,0.211,0.086,0.1,0.209,0.064,0.08,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1947,0.653,0.495,NA,0.521,0.389,0.366,0.292,0.387,0.202,0.475,0.327,0.228,0.213,0.251,0.214,0.205,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1948,0.844,0.679,NA,0.722,0.616,0.551,0.468,0.613,0.373,0.689,0.473,0.52,0.482,0.316,0.395,0.382,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1949,0.798,0.846,NA,0.637,0.49,0.478,0.383,0.555,0.4,0.751,0.43,0.48,0.456,0.363,0.209,0.232,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1950,0.645,0.732,NA,0.589,0.314,0.224,0.178,0.352,0.174,0.597,0.391,0.139,0.104,0.217,0.141,0.133,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1951,0.469,0.614,NA,0.298,0.268,0.176,0.13,0.294,0.161,0.176,0.034,0,0.059,0.191,0.063,0.158,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1952,0.904,0.797,NA,0.639,0.68,0.578,0.455,0.61,0.462,0.797,0.592,0.053,0.404,0.396,0.39,0.456,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1953,0.662,0.499,NA,0.78,0.346,0.293,0.178,0.317,0.206,0.58,0.291,0.381,0.239,0.214,0.264,0.287,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1954,0.732,0.558,NA,0.993,0.64,0.605,0.447,0.697,0.568,0.942,0.59,0.24,0.297,0.323,0.409,0.402,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1955,0.487,0.319,NA,0.678,0.228,0.235,0.226,0.237,0.079,0.459,0.13,0.336,0.14,0,0.088,0.217,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1956,0.42,0.269,NA,0.215,0.126,0.136,0.085,0.283,0.098,0.264,0,0.105,0.069,0.119,0.059,0.117,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1957,0.492,0.383,NA,0.799,0.587,0.628,0.476,0.702,0.464,0.793,0.572,0.07,0.326,0.373,0.407,0.32,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1958,0.6,0.583,NA,0.895,0.657,0.808,0.555,0.639,0.556,0.856,0.487,0.337,0.354,0.397,0.384,0.326,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1959,0.469,0.428,NA,0.072,0.179,0.276,0.149,0.308,0.204,0.402,0.204,0.334,0,0.058,0.021,0,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1960,0.723,0.515,0.453,1.269,0.701,0.879,0.472,0.758,0.712,1.211,0.724,0.399,0.375,0.403,0.385,0.521,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1961,0.676,0.658,0.603,0.773,0.473,0.515,0.272,0.472,0.258,0.518,0.31,0.135,0.139,0.227,0.206,0.201,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1962,0.809,0.729,0.297,0.535,0.569,0.543,0.378,0.527,0.37,0.544,0.397,0.257,0.276,0.16,0.193,0.199,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
