"","P141","P143","P145","P146","P147","P148","P092","P133","P135","P139"
"2011",NA,NA,NA,NA,NA,0.618693325618027,NA,NA,NA,NA
"2010",0.975474416796847,0.872962863332403,1.14462902191396,0.955255634892581,1.09654486404378,0.781377991737316,0.829295788030966,0.882634681933582,1.4235719711133,1.12241963819787
"2009",1.18375383669555,1.04531394130116,1.05559010717263,1.08797086567091,1.09487448122455,0.861642001720788,0.943688642286791,1.18210588424884,1.09067099193672,1.42832655960407
"2008",0.958618300574769,0.873152681554859,1.08104482731476,1.04469138998442,0.864829893533544,0.963406987759628,1.09174542688109,0.954395502127331,1.12177690222764,1.26252956390278
"2007",0.922536917905093,0.997359933962586,0.982301403781473,0.901260409134623,1.13503831099792,0.992782290208683,0.89786802391261,0.867274861955519,1.05282017165568,1.06455264108
"2006",0.925965657145969,0.995471194960425,1.08543178373451,1.11962787583995,0.964514920427199,1.34393878640223,1.11343667895392,0.999571890202001,0.967523269809147,1.22358987841848
"2005",1.14769203658997,1.19280915516462,1.18305279438712,1.18054930203682,1.56194699644985,1.35011333617562,0.994370318614181,1.15782002364974,0.801367663264633,1.05756849230749
"2004",0.908963007076717,0.920039430090509,1.14720166842613,0.962855340900465,0.890553354574518,0.970898420878081,0.969011711261485,1.08445414945885,0.906488527374425,1.13980221839071
"2003",0.903944565731597,1.04108930509182,0.859345880727655,1.30488479424104,1.37273859569757,1.04292024274892,0.878035889530321,1.09164605707666,0.903883839245696,1.02197261764447
"2002",1.1126045945334,0.988262245109139,1.12361909548773,0.992535917779067,1.26999377206066,0.870601054810123,0.797270486119856,0.920514025479038,0.910936350819448,0.967898228866015
"2001",1.15790536970452,1.04920130241733,1.28273675151477,1.22022029398673,1.12506894136821,1.22059207609315,0.961807140498415,1.11497760467077,1.11434480500232,1.00929231429434
"2000",1.03972020304799,1.01089560400185,0.856181112306043,0.932357521913595,1.02179942274744,1.335781699581,1.17017861133706,1.39656740455613,1.29728718928567,1.08243198938145
"1999",0.810006225972338,0.756236178440118,0.620992846507338,0.689595891087858,0.834138324680505,0.777319442487996,0.850049061753778,0.873123686414445,0.872875777672515,0.650861960885556
"1998",1.46474885571334,1.19810385822442,1.0354982193437,1.05013511799977,0.838054014219463,1.06315915801625,1.65602619654789,1.03883545736514,1.16470088414151,0.90982827520592
"1997",1.03675956783999,0.933051427308694,0.554781739730609,0.616239672265829,0.731842586460353,0.619160479372336,0.899121495954832,0.565479050973633,0.747852648927816,0.650720362642039
"1996",1.05697794191015,1.32751594252523,1.17875042537413,1.05163366928276,1.43356296280918,1.21068731473138,1.33566937134325,1.14472930556524,1.0522682985037,1.02657118023914
"1995",0.825301346677096,0.99141462468129,0.865084566799314,1.01196623670263,1.07298908465504,0.855983006049839,1.0040977770051,0.799026504572369,0.723391526290801,0.745857794671622
"1994",1.09517043101272,1.07688342795969,1.19671032128995,0.933838433392447,1.05311830227375,1.24018199596887,1.59149272395435,0.995997239406992,0.88238181101345,1.24173070528288
"1993",0.66808489446093,0.750647209136408,0.654122723005851,0.874923251162472,0.760605843132641,0.48563457802776,0.763670466801691,0.490094925079859,0.643158937125427,0.730434770014344
"1992",0.875189945275615,0.93951555894015,1.38946164445392,0.78955724524599,1.01533782421042,0.660609957233908,0.797277521890596,1.06721739664768,0.950530934385304,0.846649402485089
