age_CE,SFP011AA_raw,SFP012AA_raw,SFP013AA_raw,SFP021AA_raw,SFP031AA_raw,SFP032AA_raw,SFP041AA_raw,SFP051AA_raw,SFP052AA_raw,SFP061AA_raw,SFP071AA_raw,SFP081AA_raw,SFP091AA_raw,SFP101AA_raw,SFP111AA_raw,SFP112AA_raw,SFP121AA_raw,SFP131AA_raw,SFP141AA_raw,SFP151AA_raw,SFP161AA_raw,SFP171AA_raw,SFP172AA_raw,SFP181AA_raw,SFP191AA_raw,SFP201AA_raw,SFP202AA_raw,SFP211AA_raw,SFP221AA_raw,SFP231AA_raw,SFP011AA_raw_outlier_flag,SFP012AA_raw_outlier_flag,SFP013AA_raw_outlier_flag,SFP021AA_raw_outlier_flag,SFP031AA_raw_outlier_flag,SFP032AA_raw_outlier_flag,SFP041AA_raw_outlier_flag,SFP051AA_raw_outlier_flag,SFP052AA_raw_outlier_flag,SFP061AA_raw_outlier_flag,SFP071AA_raw_outlier_flag,SFP081AA_raw_outlier_flag,SFP091AA_raw_outlier_flag,SFP101AA_raw_outlier_flag,SFP111AA_raw_outlier_flag,SFP112AA_raw_outlier_flag,SFP121AA_raw_outlier_flag,SFP131AA_raw_outlier_flag,SFP141AA_raw_outlier_flag,SFP151AA_raw_outlier_flag,SFP161AA_raw_outlier_flag,SFP171AA_raw_outlier_flag,SFP172AA_raw_outlier_flag,SFP181AA_raw_outlier_flag,SFP191AA_raw_outlier_flag,SFP201AA_raw_outlier_flag,SFP202AA_raw_outlier_flag,SFP211AA_raw_outlier_flag,SFP221AA_raw_outlier_flag,SFP231AA_raw_outlier_flag
548,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
551,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,NA,NA,NA,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
