"code.tree"	"site"	"aspect.tree"	"NS"	"EW"	"z.coord.tree"	"slope"	"tree.height"	"longest.core.code"	"longest.core.age"	"longest.core.dbhbb"	"lc.growth.rate50"	"lc.growth.rate50.cat"
"D003"	"SNP.South.18"	214	-0.829037572555042	-0.559192903470747	1919.6	34	10.3	"D003.L1"	144	14.946	0.84	"0.75-1.0 mm"
"D004"	"SNP.South.18"	221	-0.754709580222772	-0.656059028990507	1915.9	30	8.3	"D004.R1"	140	17.258	0.9578	"0.75-1.0 mm"
"D005"	"SNP.South.18"	215	-0.819152044288992	-0.573576436351046	1921.5	31	7.2	"D005.R1"	153	13.03	0.9474	"0.75-1.0 mm"
"D007"	"SNP.South.18"	219	-0.777145961456971	-0.629320391049837	1917.9	33	9.5	"D007.L1"	141	16.494	0.9148	"0.75-1.0 mm"
"D008"	"SNP.South.18"	220	-0.766044443118978	-0.642787609686539	1908.4	33	9.5	"D008.R1"	134	17.848	0.7522	"0.75-1.0 mm"
"D009"	"SNP.South.18"	217	-0.798635510047293	-0.601815023152048	1898.6	31	9.4	"D009.R1"	114	13.136	0.923	"0.75-1.0 mm"
"D010"	"SNP.South.18"	220	-0.766044443118978	-0.642787609686539	1898.6	31	9.3	"D010.R1"	110	12.576	0.9054	"0.75-1.0 mm"
"D011"	"SNP.North.03"	38	0.788010753606722	0.615661475325658	2078.5	16	7.4	"D011.L1"	140	13.642	0.9422	"0.75-1.0 mm"
"D012"	"SNP.North.03"	38	0.788010753606722	0.615661475325658	2078.5	16	9.5	"D012.R1"	150	20.87	1.441	"1.25-1.5 mm"
"D013"	"SNP.North.03"	23	0.92050485345244	0.390731128489274	2082.8	16	10.1	"D013.R1"	136	23.394	1.1142	"1.0-1.25 mm"
"D014"	"SNP.North.03"	26	0.898794046299167	0.438371146789077	2081.9	18	9.5	"D014.L1"	117	20.35	1.1932	"1.0-1.25 mm"
"D015"	"SNP.North.03"	36	0.809016994374947	0.587785252292473	2080.7	27	9.8	"D015.R1"	138	22.484	1.6568	">1.5 mm"
"D016"	"SNP.North.03"	14	0.970295726275996	0.241921895599668	2067.9	25	11	"D016.L1"	142	13.99	0.8922	"0.75-1.0 mm"
"D018"	"SNP.North.03"	29	0.874619707139396	0.484809620246337	2071.6	21	12.5	"D018.R1"	150	25.96	1.6892	">1.5 mm"
"D019"	"SNP.North.03"	29	0.874619707139396	0.484809620246337	2062.2	29	6.8	"D019.R1"	93	12.222	1.0298	"1.0-1.25 mm"
"D020"	"SNP.North.03"	38	0.788010753606722	0.615661475325658	2066.3	25	7.2	"D020.L1"	141	10.844	0.6108	"0.5-0.75 mm"
"D021"	"SNP.East.27"	145	-0.819152044288992	0.573576436351046	2037.3	14	6.9	"D021.R1"	65	13.724	1.2584	"1.25-1.5 mm"
"D022"	"SNP.East.27"	120	-0.5	0.866025403784439	2033.2	15	11.2	"D022.L1"	71	14.56	1.2372	"1.0-1.25 mm"
"D023"	"SNP.East.27"	126	-0.587785252292473	0.809016994374947	2038.3	16	10.2	"D023.R1"	62	19.038	1.582	">1.5 mm"
"D024"	"SNP.East.27"	112	-0.374606593415912	0.927183854566787	2023.6	21	10.3	"D024.R1"	80	13.39	1.1142	"1.0-1.25 mm"
"D026"	"SNP.East.27"	107	-0.292371704722737	0.956304755963036	2030.6	12	12.2	"D026.R1"	88	24.064	1.6988	">1.5 mm"
"D028"	"SNP.East.27"	147	-0.838670567945424	0.544639035015027	2031.5	14	10.6	"D028.R1"	106	24.002	1.4942	"1.25-1.5 mm"
"D030"	"SNP.East.27"	127	-0.601815023152048	0.798635510047293	2031.5	20	9	"D030.R1"	152	15.43	0.4626	"<0.5 mm"
"D031"	"SNP.North.01"	30	0.866025403784439	0.5	2078	21	13.9	"D031.L1"	213	20.328	1.1092	"1.0-1.25 mm"
"D032"	"SNP.North.01"	25	0.90630778703665	0.422618261740699	2074.8	25	9.8	"D032.R1"	181	24.656	0.6668	"0.5-0.75 mm"
