age_CE,HLMH01B_raw,HLMH02B_raw,HLMH03B_raw,HLMH04A_raw,HLMH05B_raw,HLMH06B_raw,HLMH07A_raw,HLMH08B_raw,HLMH09B_raw,HLMH10A_raw,HLMH11B_raw,HLMH13A_raw,HLMH14A_raw,HLMH15B_raw,HLMH16B_raw,HLMH17A_raw,HLMH18B_raw,HLMH19A_raw,HLMH20B_raw,HLMH01B_raw_outlier_flag,HLMH02B_raw_outlier_flag,HLMH03B_raw_outlier_flag,HLMH04A_raw_outlier_flag,HLMH05B_raw_outlier_flag,HLMH06B_raw_outlier_flag,HLMH07A_raw_outlier_flag,HLMH08B_raw_outlier_flag,HLMH09B_raw_outlier_flag,HLMH10A_raw_outlier_flag,HLMH11B_raw_outlier_flag,HLMH13A_raw_outlier_flag,HLMH14A_raw_outlier_flag,HLMH15B_raw_outlier_flag,HLMH16B_raw_outlier_flag,HLMH17A_raw_outlier_flag,HLMH18B_raw_outlier_flag,HLMH19A_raw_outlier_flag,HLMH20B_raw_outlier_flag
1724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99,NA,NA,NA,NA,NA,NA,NA,NA,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,NA,NA,NA,NA,NA,NA,NA,NA,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,NA,NA,NA,NA,NA,NA,NA,NA,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1734,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1735,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1736,NA,NA,1.13,NA,NA,NA,NA,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1737,NA,NA,1.48,1.83,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1738,NA,NA,1.03,1.9,NA,NA,NA,NA,NA,1.53,NA,1.32,NA,NA,NA,NA,NA,NA,1.33,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1739,NA,NA,1.56,2.25,NA,NA,NA,NA,1.43,2.52,NA,1.55,NA,NA,NA,NA,NA,NA,1.82,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1740,NA,NA,1.06,1.67,NA,NA,NA,NA,1.2,2.05,NA,1.68,NA,NA,NA,NA,NA,NA,1.55,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1741,NA,NA,1.76,1.63,NA,NA,NA,NA,1.27,1.71,NA,1.64,NA,NA,NA,NA,NA,NA,1.65,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE
1742,NA,NA,0.59,0.98,NA,NA,NA,NA,0.6,1.03,NA,0.69,NA,NA,NA,0.95,NA,NA,0.8,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE
1743,NA,NA,1.26,1.16,NA,NA,NA,NA,1.07,1.04,NA,1.63,NA,NA,NA,1.47,NA,NA,1.16,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE
1744,1.36,NA,1.07,1.27,NA,NA,NA,NA,0.71,0.87,NA,1.03,NA,NA,NA,1.31,NA,NA,0.94,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE
1745,1.5,NA,1.03,1.4,NA,NA,NA,NA,0.87,1.03,NA,1.29,NA,NA,NA,1.42,NA,NA,0.85,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE
1746,1.84,NA,1.47,1.37,NA,NA,NA,NA,1.38,0.94,NA,1.87,NA,NA,NA,1.92,NA,NA,1.15,TRUE,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,TRUE,NA,NA,FALSE
1747,1.48,NA,1.37,1.1,NA,NA,NA,NA,1.29,1.3,NA,2.22,NA,NA,NA,1.67,NA,NA,1.52,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE
1748,1.61,NA,1.5,1.08,NA,0.68,NA,NA,1.12,1.23,NA,2.16,NA,NA,NA,1.74,NA,NA,2.18,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,TRUE
1749,1.72,NA,1.35,1.28,NA,0.77,NA,NA,1.14,1.57,NA,2.1,NA,NA,NA,1.55,NA,NA,1.76,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE
1750,2.03,NA,1.55,2.22,2.34,0.96,NA,NA,1.37,1.69,NA,2.66,NA,NA,NA,2.17,NA,NA,1.95,TRUE,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,FALSE
1751,1.67,NA,1.45,1.98,1.37,1.09,NA,NA,1.19,1.41,NA,2.49,NA,NA,NA,1.19,NA,NA,1.73,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE
1752,1.04,NA,1.09,2.02,1.11,0.9,NA,NA,1.06,1.34,NA,1.88,NA,NA,0.63,1.26,NA,NA,1.47,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE
1753,0.65,NA,0.91,1.88,1.09,1.14,NA,NA,0.97,1.16,NA,1.93,NA,NA,1.07,0.94,NA,NA,1.13,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE
1754,0.34,NA,0.63,1.41,0.54,0.82,NA,NA,0.46,0.43,NA,1.03,NA,NA,0.85,0.7,NA,NA,0.71,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE
1755,0.56,NA,0.8,1.69,0.98,1.18,1.72,NA,1.07,0.61,NA,1.36,NA,NA,0.96,1.17,NA,NA,1.02,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE
1756,0.84,NA,1.02,1.76,1.03,1.54,1.32,NA,0.97,1.11,NA,2.13,NA,NA,1.15,1.31,NA,NA,1.16,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE
1757,0.83,NA,1.41,1.83,1.01,1.54,1.32,NA,0.73,0.77,NA,1.82,NA,NA,1.04,1.39,NA,NA,1.02,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE
