"","years","Tag","Ring_width(mm)","Lat","Long","speciesfull","species"
"1",1992,"11C103",1.65,39.4,-106.3,"Populus tremuloides","POTR"
"2",1992,"11C123",2.73,39.5,-106.4,"Populus tremuloides","POTR"
"3",1992,"11C135",3.2,40.3,-106.1,"Populus tremuloides","POTR"
"4",1992,"11C142",2.3,40.4,-106.1,"Populus tremuloides","POTR"
"5",1992,"11C34",1.72,37.6,-105.2,"Populus tremuloides","POTR"
"6",1992,"11C55",2.16,38.5,-105.4,"Populus tremuloides","POTR"
"7",1992,"11M45",1.99,48.3,-113.4,"Populus tremuloides","POTR"
"8",1992,"11M52",0.94,48.3,-113.4,"Populus tremuloides","POTR"
"9",1992,"11M73",1.36,45.7,-114,"Populus tremuloides","POTR"
"10",1992,"11M84",2.18,45.7,-114,"Populus tremuloides","POTR"
"11",1992,"12C22",2.31,40.6,-105.5,"Populus tremuloides","POTR"
"12",1992,"12C73",2.14,38.8,-106.3,"Populus tremuloides","POTR"
"13",1992,"12W51",1.76,42.7,-108.9,"Populus tremuloides","POTR"
"14",1992,"13C154",1.5,40.4,-106.1,"Populus tremuloides","POTR"
"15",1992,"14M91",1.42,45.7,-113.9,"Populus tremuloides","POTR"
"16",1992,"15C165",2.39,40.6,-105.5,"Populus tremuloides","POTR"
"17",1992,"15C34",2.69,37.6,-105.2,"Populus tremuloides","POTR"
"18",1992,"15M113",2.62,44.8,-111.2,"Populus tremuloides","POTR"
"19",1992,"15M73",2.14,45.7,-114,"Populus tremuloides","POTR"
"20",1992,"16M62",2.89,46.7,-114.5,"Populus tremuloides","POTR"
"21",1992,"17W44",1.61,41.7,-108.9,"Populus tremuloides","POTR"
"22",1992,"18C101",2.72,39.4,-106.3,"Populus tremuloides","POTR"
"23",1992,"18C153",2.27,40.4,-106.1,"Populus tremuloides","POTR"
"24",1992,"18M11",0.66,46.8,-110.8,"Populus tremuloides","POTR"
"25",1992,"18M122",2.52,44.9,-111.4,"Populus tremuloides","POTR"
