age_CE,WH101A3_raw,WH101B3_raw,WH102A3_raw,WH102B3_raw,WH103A3_raw,WH103B3_raw,WH202A3_raw,WH202B3_raw,WH101A3_raw_outlier_flag,WH101B3_raw_outlier_flag,WH102A3_raw_outlier_flag,WH102B3_raw_outlier_flag,WH103A3_raw_outlier_flag,WH103B3_raw_outlier_flag,WH202A3_raw_outlier_flag,WH202B3_raw_outlier_flag
1714,NA,4.05,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
1715,NA,4.25,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
1716,NA,3.57,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1717,NA,0.9,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1718,NA,1.19,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1719,NA,2.62,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1720,NA,3.67,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1721,NA,3.61,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1722,NA,3.11,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1723,NA,3.24,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1724,NA,3.04,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1725,NA,2.89,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1726,NA,2.12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1727,NA,2.47,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1728,NA,2.01,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1729,NA,2,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1730,NA,1.36,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1731,NA,1.66,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1732,NA,1.69,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1733,NA,1.37,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1734,NA,1.04,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1735,NA,1.35,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1736,NA,0.87,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1737,NA,1.65,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1738,NA,1,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1739,NA,1.12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1740,NA,1.23,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1741,NA,1.46,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1742,NA,0.95,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1743,NA,1.36,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1744,NA,1.18,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1745,NA,1.13,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1746,NA,0.92,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1747,NA,1.02,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1748,NA,1.23,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1749,NA,1.16,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1750,NA,0.47,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1751,NA,0.89,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1752,NA,1.32,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1753,NA,0.92,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1754,NA,0.31,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1755,NA,0.51,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1756,NA,0.4,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1757,1.42,0.87,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1758,1.75,0.75,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1759,2.05,0.98,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1760,2.29,1.48,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1761,3.36,2.29,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1762,3.13,2.93,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
