,pm-841,pm-889,pm-872,pr-919,pr-915,pr-924,pm-877,pm-861,mg-518,mg-492,mg-497,mg-505,mg-509,pm-882,pm-875,pm-871,pm-873,pm-845b,pm-874,pm-878,pm-859,pm-863,pm-865
2003,671,696,.,891,492,1094,188,146,55,140,151,62,66,91,73,37,66,115,94,67,127,128,55
2002,1556,750,.,1156,724,941,241,1073,107,316,144,145,109,89,192,79,82,162,225,100,132,160,61
2001,2011,386,.,284,451,776,412,919,15,172,92,55,81,54,117,85,88,166,156,103,137,90,55
2000,927,428,.,766,455,209,287,601,26,113,107,47,81,84,111,112,71,111,136,112,60,46,50
1999,821,522,164,502,321,341,262,240,47,96,121,63,92,75,48,67,65,110,132,108,113,73,31
1998,1286,496,130,1125,947,709,283,1279,151,244,223,144,134,101,129,92,73,166,172,131,133,65,61
1997,1323,420,142,712,790,755,212,1145,223,161,131,100,90,86,50,76,73,160,113,92,81,73,78
1996,2203,661,203,1224,865,642,377,1542,237,314,130,111,139,88,72,100,132,159,188,140,161,158,118
1995,1591,311,228,794,697,998,476,954,384,358,141,148,148,100,110,167,102,170,110,152,41,73,61
1994,2242,643,710,718,837,1786,677,1370,235,284,141,107,117,98,108,162,128,166,113,143,57,81,90
1993,2185,458,522,622,531,1312,367,1894,168,262,205,110,141,118,145,170,163,192,241,129,116,52,113
1992,1665,413,564,705,465,848,302,1452,92,362,203,139,137,151,128,120,100,147,185,123,117,54,99
1991,1103,306,300,458,494,851,310,1182,72,213,218,101,101,81,52,139,68,74,159,80,168,35,48
1990,800,275,391,829,568,960,369,1254,70,192,279,165,160,70,86,128,107,82,208,65,83,72,80
1989,806,377,651,330,426,1619,582,762,93,120,211,125,168,79,39,132,111,121,115,73,63,91,91
1988,867,490,731,956,758,1490,660,1546,80,214,120,166,310,139,77,124,110,157,187,143,79,25,92
1987,1186,1100,1362,1005,1487,1645,994,1827,203,348,260,237,179,75,99,203,177,181,263,198,146,63,82
1986,844,1028,464,644,567,758,679,1023,108,332,215,250,206,110,138,173,154,105,307,131,155,61,79
1985,1084,1007,544,659,395,766,395,1483,151,441,164,218,172,82,107,157,168,93,195,110,162,97,91
1984,1015,1185,683,864,367,681,499,892,122,442,158,190,121,85,48,116,123,60,143,74,89,103,60
1983,1186,1491,942,1195,589,1486,1100,2026,135,392,211,229,173,133,149,183,166,128,271,120,139,81,66
1982,1841,936,1574,1048,581,1917,1089,968,116,358,231,166,224,203,181,170,177,141,289,151,145,122,110
1981,1679,1526,721,890,896,2315,998,983,173,269,220,139,170,239,90,135,228,97,197,100,173,111,76
1980,1547,1209,1632,748,1483,2897,824,1531,239,238,199,155,171,224,164,156,289,103,206,126,223,125,101
1979,1067,771,643,426,744,2494,588,870,127,152,158,109,154,183,61,120,219,63,208,93,113,103,86
1978,1550,1698,1436,867,784,1201,949,793,108,270,211,166,254,173,163,174,328,115,240,199,228,113,124
1977,2068,1077,1880,1057,872,836,1030,1016,182,192,203,154,368,176,193,137,328,104,247,161,199,101,106
1976,1740,376,2002,312,412,231,761,1133,78,181,165,127,265,232,172,141,341,100,228,137,123,115,110
1975,1767,393,1622,619,804,255,1097,1513,176,270,189,157,257,187,195,153,344,149,200,213,191,117,142
1974,1544,408,1835,750,672,349,1143,1304,174,398,237,207,233,179,124,179,322,118,276,266,172,139,114
1973,1418,958,2212,795,747,212,1088,1826,341,337,249,172,282,184,137,167,374,141,211,271,158,113,133
1972,1542,1079,2372,580,1036,503,1395,2146,382,303,245,196,241,296,161,212,302,129,253,261,225,142,151
1971,1172,1709,1670,963,808,458,1317,1686,415,216,156,159,222,231,173,152,403,201,239,194,179,118,116
1970,662,2040,2716,1242,1675,574,1637,1898,368,200,188,184,244,224,304,172,491,209,344,253,227,142,110
1969,1355,2555,2036,1244,1399,413,1406,2029,295,250,174,150,237,200,241,148,334,198,277,241,198,150,121
1968,1182,2351,2328,863,965,330,1176,1178,374,299,153,203,218,200,281,164,377,125,276,204,142,96,113
1967,1365,2473,1399,970,1297,352,795,677,266,198,150,139,237,131,216,136,362,112,225,172,234,84,111
1966,1631,2700,1902,742,1383,265,1824,669,284,258,191,127,238,167,249,151,392,123,330,214,198,75,100
1965,2172,2094,2024,450,921,380,1845,947,239,251,208,165,176,246,213,115,322,178,257,206,254,108,104
1964,1494,1075,656,509,751,380,1443,1453,230,217,230,222,261,100,251,97,153,154,140,201,319,102,78
1963,1323,1369,405,520,856,298,1134,1913,139,144,103,115,159,39,176,45,72,182,146,141,218,86,79
1962,2555,984,819,557,801,334,1355,1299,138,132,112,133,229,33,164,48,73,148,116,169,235,64,42
1961,2142,874,490,859,410,600,1197,1206,145,143,121,114,132,62,141,69,137,153,118,162,143,77,39
1960,1974,878,610,1012,446,407,1481,1056,153,137,109,129,150,62,191,86,86,135,136,224,269,71,48
1959,984,860,382,620,494,344,843,972,140,123,100,123,198,52,126,77,86,140,88,148,252,83,83
1958,1162,1198,723,1215,665,179,1048,986,147,169,108,188,103,11,96,44,79,146,57,121,218,88,75
1957,744,944,866,814,1302,206,1412,965,181,166,139,179,154,69,125,74,76,144,96,166,205,70,68
