,CC-3,CC-6,CC-7,CC-8,CB-1,CB-7,CB-16,NN-1,NN-6,NN-2,NN-9,CC-19,NN-3
2010,933,1068,851,464,.,.,.,.,.,.,.,.,.
2009,938,1063,787,621,1755,1738,1167,1509,747,339,961,267,335
2008,913,884,713,553,1937,1923,1036,1189,525,291,952,264,480
2007,874,697,803,658,1528,2391,858,950,1032,277,827,345,360
2006,780,992,769,642,1635,2214,829,1453,820,387,765,259,377
2005,1288,896,782,621,1271,1914,784,1143,870,350,1114,170,372
2004,1539,1183,996,765,1908,2458,892,1084,890,398,1255,395,407
2003,1575,735,819,682,2219,2275,1083,1436,773,352,1328,326,390
2002,1387,1117,1313,756,2154,2091,1038,1511,634,398,1490,485,353
2001,1125,1118,1255,473,1339,2177,714,1107,731,441,1828,200,335
2000,1069,1178,993,547,1638,1972,923,1114,704,409,1262,289,296
1999,1267,1443,1143,507,1231,2113,1055,1046,561,346,1057,446,363
1998,990,1454,1082,594,1593,1771,1291,756,724,469,950,134,302
1997,808,1505,1201,660,1158,2140,1252,981,1090,514,987,325,450
1996,1284,1281,1337,590,1536,1938,1354,926,906,448,708,321,389
1995,1125,1491,1356,704,1962,2213,1537,980,951,481,803,421,449
1994,972,1382,1452,749,1258,1876,1188,924,982,487,522,286,288
1993,553,1093,893,631,1243,1578,968,868,567,409,464,628,245
1992,929,1270,1010,659,1278,1941,1213,876,706,497,683,795,558
1991,928,1203,1060,668,1751,3035,759,779,1210,436,578,563,596
1990,1107,1624,1298,728,2615,2818,1888,1072,1294,531,598,406,473
1989,955,1357,1026,701,2043,2611,1065,647,825,624,495,614,448
1988,1156,1598,1146,718,2124,2783,1320,687,861,497,635,992,363
1987,789,1678,1105,829,2328,2159,1189,485,933,556,573,896,468
1986,804,1512,726,575,2024,1679,1076,609,822,653,668,911,468
1985,936,1767,1174,642,2165,2087,1238,659,925,654,683,619,593
1984,722,1270,911,624,1780,1547,1084,527,724,562,447,309,734
1983,970,1634,985,743,2233,1992,1234,867,1155,647,731,699,743
1982,873,1498,898,711,2072,1746,1102,757,1111,514,495,508,710
1981,957,1737,1155,730,1517,1526,1077,529,1198,724,447,411,612
1980,1032,1702,1143,745,1523,1624,1099,620,626,597,379,654,866
1979,969,1244,1300,607,1580,1470,913,667,564,708,511,436,671
1978,847,1309,1286,599,2119,1437,1237,476,719,567,575,649,709
