age_CE,G0001W_raw,G0001S_raw,G0002S_raw,G0002E_raw,G0003N_raw,G0003E_raw,G0004N_raw,G0004S_raw,G0005N_raw,G0005S_raw,G0006S_raw,G0007N_raw,G0007S_raw,G0009W_raw,G0010N_raw,G0010S_raw,G0011S_raw,G0012S_raw,G0012E_raw,G0013W_raw,G0013S_raw,G0014N_raw,G0015W_raw,G0015E_raw,G0016N_raw,G0016S_raw,G0017E_raw,G0017S_raw,G0017N_raw,G0018E_raw,G0018W_raw,G0019S_raw,G0021S_raw,G0022N_raw,G0022S_raw,G0023N_raw,...38,G0001W_raw_outlier_flag,G0001S_raw_outlier_flag,G0002S_raw_outlier_flag,G0002E_raw_outlier_flag,G0003N_raw_outlier_flag,G0003E_raw_outlier_flag,G0004N_raw_outlier_flag,G0004S_raw_outlier_flag,G0005N_raw_outlier_flag,G0005S_raw_outlier_flag,G0006S_raw_outlier_flag,G0007N_raw_outlier_flag,G0007S_raw_outlier_flag,G0009W_raw_outlier_flag,G0010N_raw_outlier_flag,G0010S_raw_outlier_flag,G0011S_raw_outlier_flag,G0012S_raw_outlier_flag,G0012E_raw_outlier_flag,G0013W_raw_outlier_flag,G0013S_raw_outlier_flag,G0014N_raw_outlier_flag,G0015W_raw_outlier_flag,G0015E_raw_outlier_flag,G0016N_raw_outlier_flag,G0016S_raw_outlier_flag,G0017E_raw_outlier_flag,G0017S_raw_outlier_flag,G0017N_raw_outlier_flag,G0018E_raw_outlier_flag,G0018W_raw_outlier_flag,G0019S_raw_outlier_flag,G0021S_raw_outlier_flag,G0022N_raw_outlier_flag,G0022S_raw_outlier_flag,G0023N_raw_outlier_flag,...38_outlier_flag
1720,NA,1638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1721,NA,1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1722,NA,2036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1315,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1723,NA,1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1645,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1724,NA,2513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2168,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
1725,NA,2064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1509,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1726,NA,2236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1556,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1727,2457,2033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1065,986,NA,NA,NA,NA,NA,NA,NA,NA,1277,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1728,2480,2319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,775,NA,NA,NA,NA,NA,NA,NA,NA,1409,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1729,2277,2036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635,656,NA,NA,NA,NA,NA,NA,NA,NA,1126,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1730,1875,1979,NA,NA,NA,NA,NA,NA,1572,1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,828,815,NA,NA,NA,NA,NA,NA,NA,NA,1189,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1731,2397,2329,NA,NA,NA,NA,NA,NA,1467,1503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,963,NA,NA,NA,NA,NA,NA,NA,NA,1446,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1732,2397,2253,NA,NA,NA,NA,NA,NA,1599,1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,927,909,NA,NA,NA,NA,NA,NA,NA,NA,1340,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1733,1906,2354,NA,NA,NA,NA,NA,NA,1834,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975,1088,NA,NA,NA,NA,NA,NA,NA,NA,1242,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1734,1444,1989,NA,NA,NA,NA,NA,NA,1812,1317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777,NA,1039,1087,NA,NA,NA,NA,NA,NA,NA,NA,1149,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
1735,1591,2013,NA,NA,NA,NA,NA,NA,1793,1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,NA,1532,1389,NA,NA,NA,NA,NA,NA,NA,NA,1157,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
