/* DATA DESCRIPTION:
Citation:	Pérez-Luque, Antonio Jesus; Gea-Izquierdo, Guillermo; Zamora, Regino (2020): Total height, diameter at breast height and tree ring code of focal trees (Sierra Nevada, Spain) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.922049, 
	In: Pérez-Luque, AJ et al. (2020): Resilience to drought of relict Mediterranean Quercus pyrenaica populations in the southern Iberian (Sierra Nevada, Spain) [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.922054
Keyword(s):	dendroecology; forest inventory; Quercus pyrenaica; remote sensing
Supplement to:	Pérez-Luque, Antonio Jesus; Gea-Izquierdo, Guillermo; Zamora, Regino (accepted): Land-use legacies and climate change as a double challenge to oak forest resilience: mismatches of geographical and ecological rear edges. Ecosystems, https://doi.org/10.1007/s10021-020-00547-y
Coverage:	MEDIAN LATITUDE: 37.050000 * MEDIAN LONGITUDE: -3.350000 * SOUTH-BOUND LATITUDE: 36.970000 * WEST-BOUND LONGITUDE: -3.400000 * NORTH-BOUND LATITUDE: 37.130000 * EAST-BOUND LONGITUDE: -3.300000
Event(s):	Canar * LATITUDE: 36.970000 * LONGITUDE: -3.400000 * LOCATION: Sierra Nevada, Spain
	San_Juan * LATITUDE: 37.130000 * LONGITUDE: -3.300000 * LOCATION: Sierra Nevada, Spain
Parameter(s):	Event label (Event) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
	Latitude of event (Latitude) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
	Longitude of event (Longitude) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
	Sample ID (Sample ID) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
	Tree height [m] (Tree height) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
	Trees, diameter at breast height [cm] (DBH) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
	Location (Location) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469)
	Sample comment (Sample comment) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469) * COMMENT: Location comment
	Sample comment (Sample comment) * PI: Pérez-Luque, Antonio Jesus (https://orcid.org/0000-0002-1747-0469) * COMMENT: Tree ring code
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	280 data points
*/
Event	Latitude	Longitude	Sample ID	Tree height [m]	DBH [cm]	Location	Sample comment (Location comment)	Sample comment (Tree ring code)
San_Juan	37.13	-3.30	A01	13.1	37.24	San Juan		SNA01
San_Juan	37.13	-3.30	A02	10.6	35.01	San Juan		SNA02
San_Juan	37.13	-3.30	A03	14.8	36.92	San Juan		SNA03
San_Juan	37.13	-3.30	A04	14.3	34.38	San Juan		SNA04
San_Juan	37.13	-3.30	A05	10.7	33.10	San Juan		SNA05
San_Juan	37.13	-3.30	A06	16.2	28.97	San Juan		SNA06
San_Juan	37.13	-3.30	A07	11.5	32.47	San Juan		SNA07
San_Juan	37.13	-3.30	A08	11.6	28.65	San Juan		SNA08
San_Juan	37.13	-3.30	A09	10.5	27.69	San Juan		SNA09
San_Juan	37.13	-3.30	A10	13.6	27.06	San Juan		SNA10
San_Juan	37.13	-3.30	A11	10.0	30.88	San Juan		SNA11
San_Juan	37.13	-3.30	A12	8.4	33.42	San Juan		SNA12
San_Juan	37.13	-3.30	A13	5.7	28.01	San Juan		SNA13
San_Juan	37.13	-3.30	A14	11.3	28.97	San Juan		SNA14
San_Juan	37.13	-3.30	A15	13.0	35.01	San Juan		SNA15
San_Juan	37.13	-3.30	A16	11.4	39.79	San Juan		SNA16
San_Juan	37.13	-3.30	A17	12.4	31.83	San Juan		SNA17
San_Juan	37.13	-3.30	A18	12.7	31.19	San Juan		SNA18
San_Juan	37.13	-3.30	A19	11.4	26.42	San Juan		SNA19
San_Juan	37.13	-3.30	A20	13.1	30.24	San Juan		SNA20
Canar	36.97	-3.40	B01	14.5	53.48	Canar	Canar-Low	SNB01
Canar	36.97	-3.40	B02	12.3	50.93	Canar	Canar-Low	SNB02
Canar	36.97	-3.40	B03	13.7	37.24	Canar	Canar-Low	SNB03
Canar	36.97	-3.40	B04	14.7	45.52	Canar	Canar-Low	SNB04
Canar	36.97	-3.40	B05	9.5	36.61	Canar	Canar-Low	SNB05
Canar	36.97	-3.40	B06	13.0	63.66	Canar	Canar-Low	SNB06
Canar	36.97	-3.40	B07	13.3	50.29	Canar	Canar-Low	SNB07
Canar	36.97	-3.40	B08	12.3	49.97	Canar	Canar-Low	SNB08
Canar	36.97	-3.40	B09	12.6	57.93	Canar	Canar-Low	SNB09
Canar	36.97	-3.40	B10	12.9	47.75	Canar	Canar-Low	SNB10
Canar	36.97	-3.40	B11	15.9	122.55	Canar	Canar-High	SNB11
Canar	36.97	-3.40	B12	15.3	78.94	Canar	Canar-High	SNB12
Canar	36.97	-3.40	B13	18.0	66.53	Canar	Canar-High	SNB13
Canar	36.97	-3.40	B14	16.9	77.67	Canar	Canar-High	SNB14
Canar	36.97	-3.40	B15	17.4	99.63	Canar	Canar-High	SNB15
