age_CE,HL1A_raw,HL1B_raw,HL2A_raw,HL2B_raw,HL3A_raw,HL3B_raw,HL4A_raw,HL4B_raw,HL5A_raw,HL5B_raw,HL6A_raw,HL6B_raw,HL7A_raw,HL7B_raw,HL8A_raw,HL8B_raw,HL9A_raw,HL9B_raw,HL10A_raw,HL10B_raw,HL11A_raw,HL11B_raw,HL12A_raw,HL12B_raw,HL13A_raw,HL13B_raw,HL14A_raw,HL14B_raw,HL15B_raw,HL16A_raw,HL16B_raw,HL17A_raw,HL17B_raw,HL18A_raw,HL18B_raw,HL19A_raw,HL19B_raw,HL20A_raw,HL20B-1_raw,HL20B-2_raw,HL1A_raw_outlier_flag,HL1B_raw_outlier_flag,HL2A_raw_outlier_flag,HL2B_raw_outlier_flag,HL3A_raw_outlier_flag,HL3B_raw_outlier_flag,HL4A_raw_outlier_flag,HL4B_raw_outlier_flag,HL5A_raw_outlier_flag,HL5B_raw_outlier_flag,HL6A_raw_outlier_flag,HL6B_raw_outlier_flag,HL7A_raw_outlier_flag,HL7B_raw_outlier_flag,HL8A_raw_outlier_flag,HL8B_raw_outlier_flag,HL9A_raw_outlier_flag,HL9B_raw_outlier_flag,HL10A_raw_outlier_flag,HL10B_raw_outlier_flag,HL11A_raw_outlier_flag,HL11B_raw_outlier_flag,HL12A_raw_outlier_flag,HL12B_raw_outlier_flag,HL13A_raw_outlier_flag,HL13B_raw_outlier_flag,HL14A_raw_outlier_flag,HL14B_raw_outlier_flag,HL15B_raw_outlier_flag,HL16A_raw_outlier_flag,HL16B_raw_outlier_flag,HL17A_raw_outlier_flag,HL17B_raw_outlier_flag,HL18A_raw_outlier_flag,HL18B_raw_outlier_flag,HL19A_raw_outlier_flag,HL19B_raw_outlier_flag,HL20A_raw_outlier_flag,HL20B-1_raw_outlier_flag,HL20B-2_raw_outlier_flag
1708,1.324,2.248,0.918,0.598,NA,0.406,NA,1.01,0.56,0.598,1.234,0.926,0.388,0.742,0.57,NA,0.444,0.496,0.488,0.384,0.512,0.522,0.404,0.682,0.58,0.97,1.006,NA,0.332,NA,NA,1.414,1.204,0.676,NA,NA,NA,NA,NA,0.326,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1709,0.926,1.24,0.8,0.52,NA,0.35,NA,0.354,0.666,0.414,0.716,0.608,0.318,0.254,0.622,NA,0.55,0.48,0.442,0.228,0.268,0.404,0.302,0.638,0.918,0.946,0.602,NA,0.22,NA,NA,1.098,0.718,0.424,NA,NA,NA,NA,NA,0.308,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1710,1.264,1.814,0.938,0.886,NA,0.576,NA,1.312,0.678,0.582,1.026,0.912,0.708,0.976,0.594,NA,0.738,0.854,0.704,0.482,0.466,0.618,0.302,0.686,0.738,1.064,0.638,NA,0.374,NA,NA,1.576,1.062,0.854,NA,NA,NA,NA,NA,0.334,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1711,1.376,1.8,0.754,0.852,NA,0.492,NA,0.888,0.374,0.386,0.79,1.084,1.072,1.296,0.646,NA,0.504,0.7,0.744,0.574,0.476,0.678,0.33,0.592,0.752,1.02,0.712,NA,0.346,NA,NA,1.392,1.128,0.892,NA,NA,NA,NA,NA,0.746,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1712,1.418,1.778,1.02,1.112,NA,0.626,NA,1.438,0.512,0.52,1.062,1.296,0.652,1.674,0.692,NA,0.714,0.99,0.76,0.57,0.566,0.61,0.34,0.644,0.7,1.028,0.59,NA,0.38,NA,NA,1.494,1.304,1.422,NA,NA,NA,NA,NA,0.204,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1713,1.202,1.278,0.794,1.354,NA,0.37,NA,1.11,0.512,0.54,0.898,1.256,0.828,1.202,0.448,NA,0.682,0.694,0.68,0.484,0.508,0.582,0.378,0.71,0.744,1.104,0.528,NA,0.402,NA,NA,1.226,1.03,0.748,NA,NA,NA,NA,NA,0.63,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1714,1.236,1.246,0.944,0.964,NA,0.466,NA,1.14,0.716,0.636,0.946,1.364,0.914,0.962,0.416,NA,0.46,0.656,0.806,0.456,0.58,0.602,0.388,0.446,0.612,0.872,0.458,NA,0.494,NA,NA,1.378,1.02,0.452,NA,NA,NA,NA,NA,0.744,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1715,0.746,0.804,0.498,0.592,NA,0.326,NA,0.342,0.362,0.232,0.604,0.804,0.35,0.404,0.168,NA,0.384,0.432,0.488,0.32,0.194,0.218,0.656,0.596,0.492,0.606,0.36,NA,0.286,NA,NA,0.904,0.478,0.454,NA,NA,NA,NA,NA,0.558,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1716,1.508,1.344,0.766,0.782,NA,0.618,NA,1.14,0.694,0.576,1.376,1.506,1.062,1.26,0.308,NA,0.576,0.93,1.17,0.714,0.594,0.548,1.114,1.002,0.992,1.188,0.73,NA,0.524,NA,NA,1.714,1.268,0.122,NA,NA,NA,NA,NA,0.894,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1717,1.658,1.598,0.876,0.946,NA,0.62,NA,1.196,0.702,0.652,1.284,1.51,1.252,1.62,0.322,NA,0.798,0.978,1.016,0.626,0.73,0.506,0.924,0.65,0.864,0.948,0.804,NA,0.62,NA,NA,1.946,1.456,0.268,NA,NA,NA,NA,NA,1.024,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
