age_CE,MD0301B_raw,MD0302A_raw,MD0303A_raw,MD0304A_raw,MD0305B_raw,MD0306B_raw,MD0307B_raw,MD0308B_raw,MD0309A_raw,MD0310B_raw,MD0311A_raw,MD0312A_raw,MD0314B_raw,MD0315A_raw,MD0316B_raw,MD0317A_raw,MD0318B_raw,MD0319B_raw,MD0320B_raw,MD0321A_raw,MD0322A_raw,MD0323B_raw,MD0324A_raw,MD0325B_raw,MD0301B_raw_outlier_flag,MD0302A_raw_outlier_flag,MD0303A_raw_outlier_flag,MD0304A_raw_outlier_flag,MD0305B_raw_outlier_flag,MD0306B_raw_outlier_flag,MD0307B_raw_outlier_flag,MD0308B_raw_outlier_flag,MD0309A_raw_outlier_flag,MD0310B_raw_outlier_flag,MD0311A_raw_outlier_flag,MD0312A_raw_outlier_flag,MD0314B_raw_outlier_flag,MD0315A_raw_outlier_flag,MD0316B_raw_outlier_flag,MD0317A_raw_outlier_flag,MD0318B_raw_outlier_flag,MD0319B_raw_outlier_flag,MD0320B_raw_outlier_flag,MD0321A_raw_outlier_flag,MD0322A_raw_outlier_flag,MD0323B_raw_outlier_flag,MD0324A_raw_outlier_flag,MD0325B_raw_outlier_flag
1850,NA,0.46,0.84,NA,NA,NA,0.43,NA,NA,NA,NA,1.01,1.32,NA,0.72,NA,NA,NA,NA,0.1,0.3,NA,NA,0.49,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1851,NA,0.71,1.6,NA,NA,NA,0.54,NA,NA,NA,NA,1.28,2.37,NA,1.16,NA,NA,NA,NA,0.22,0.43,NA,NA,0.65,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1852,NA,0.48,1.27,NA,NA,NA,0.52,NA,NA,NA,NA,1.31,2.36,NA,0.91,NA,NA,NA,NA,0.19,0.42,NA,NA,0.58,NA,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1853,NA,0.61,0.8,NA,NA,NA,0.41,1.7,NA,NA,NA,1.03,1.71,NA,1.15,NA,NA,NA,NA,0.33,0.39,NA,NA,0.7,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1854,NA,0.47,0.82,NA,NA,1.57,0.35,1.59,NA,NA,NA,0.97,1.25,NA,0.83,NA,NA,NA,NA,0.25,0.39,NA,NA,0.5,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1855,NA,0.59,1.27,NA,NA,1.56,0.34,2.09,NA,NA,NA,1.11,1.79,NA,1.31,NA,NA,NA,NA,0.17,0.4,NA,NA,0.42,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1856,NA,0.73,1.07,NA,NA,1.27,0.34,1.76,NA,NA,NA,0.91,1.52,NA,1.05,NA,NA,NA,NA,0.24,0.31,NA,NA,0.37,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1857,NA,0.65,0.88,NA,NA,1.3,0.39,1.13,NA,NA,NA,0.98,1.42,NA,0.85,NA,NA,NA,NA,0.16,0.29,NA,NA,0.4,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1858,NA,0.74,1.09,NA,NA,1.09,0.37,0.91,NA,NA,NA,1.14,1.75,NA,0.64,NA,NA,NA,NA,0.19,0.45,NA,NA,0.6,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1859,NA,0.51,1.06,NA,1,0.74,0.38,0.76,NA,NA,NA,1.07,1.91,NA,0.68,NA,NA,NA,NA,0.11,0.49,NA,NA,0.56,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1860,NA,0.65,1.25,NA,1.07,0.93,0.34,1.83,NA,NA,NA,1.35,2.13,NA,1.2,NA,NA,NA,NA,0.22,0.48,NA,NA,0.45,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1861,NA,0.36,1.06,NA,0.66,1.27,0.44,1.37,NA,NA,NA,1.04,2.88,NA,0.69,NA,NA,NA,NA,0.17,0.34,NA,NA,0.45,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1862,NA,0.47,0.76,NA,1.01,0.87,0.31,0.94,NA,NA,NA,0.82,1.83,NA,0.95,NA,NA,NA,NA,0.25,0.32,NA,NA,0.49,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1863,NA,0.53,1.04,NA,2.08,1.29,0.49,1.61,NA,NA,NA,0.91,2.34,NA,1,NA,NA,NA,NA,0.38,0.78,NA,NA,0.6,NA,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1864,NA,0.4,0.74,NA,1.22,1.7,0.26,1.12,NA,NA,NA,0.71,1.27,NA,0.96,NA,NA,NA,NA,0.29,0.38,NA,NA,0.31,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1865,NA,0.36,0.88,NA,2.03,2.46,0.4,1.18,NA,NA,NA,0.93,2.55,NA,1.04,NA,NA,NA,NA,0.23,0.58,NA,NA,0.5,NA,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1866,NA,0.31,0.83,NA,1.53,0.76,0.19,1.3,NA,NA,NA,0.64,1.72,NA,0.59,NA,NA,NA,NA,0.27,0.36,NA,NA,0.38,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1867,NA,0.34,1.03,NA,1.43,0.98,0.27,1.06,NA,NA,NA,0.58,1.24,NA,0.99,NA,NA,NA,NA,0.29,0.3,NA,NA,0.3,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1868,NA,0.53,1.24,NA,1.62,1.73,0.37,1.85,NA,NA,NA,0.69,1.5,NA,1.67,NA,NA,NA,NA,0.42,0.45,NA,NA,0.33,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1869,NA,0.45,1.3,NA,1.31,1.88,0.37,1.98,NA,NA,NA,0.71,1.98,NA,1.86,NA,NA,NA,NA,0.61,0.42,NA,NA,0.43,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1870,NA,0.56,1.53,NA,1.73,1.86,0.43,1.74,NA,NA,NA,0.8,1.7,NA,2,2.19,NA,NA,NA,0.51,0.44,NA,NA,0.44,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1871,NA,0.67,1.46,NA,1.66,1.49,0.35,1.32,NA,NA,NA,0.78,1.5,NA,1.46,2.15,NA,NA,NA,0.45,0.36,NA,NA,0.49,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1872,NA,0.62,1.47,NA,1.16,1.42,0.25,1.48,NA,NA,NA,0.71,1.64,NA,1.58,2.16,NA,NA,NA,0.62,0.44,NA,NA,0.65,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1873,NA,0.58,1.53,NA,0.9,1.43,0.33,1.47,NA,NA,NA,0.83,1.73,NA,1.89,1.78,NA,NA,NA,0.42,0.51,NA,NA,0.79,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1874,NA,0.58,1.46,NA,1.09,1.25,0.21,1.55,NA,NA,NA,1.12,1.85,NA,1.71,1.82,NA,NA,NA,0.36,0.51,NA,NA,0.63,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1875,NA,0.65,1.1,NA,0.69,1.7,0.34,1.12,NA,NA,NA,0.87,1.19,NA,1.59,2.04,NA,NA,NA,0.6,0.55,NA,NA,0.7,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1876,NA,0.41,1.09,NA,0.44,1.39,0.24,1.42,NA,NA,NA,0.68,1.35,NA,1.05,1.08,NA,NA,NA,0.45,0.35,NA,NA,0.5,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1877,NA,0.55,1.17,NA,0.45,1.95,0.21,1.51,NA,NA,NA,0.86,1.67,NA,1.43,2.19,NA,NA,NA,0.71,0.52,NA,NA,0.64,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1878,NA,0.6,1.32,NA,0.35,1.57,0.27,1.54,NA,NA,NA,0.91,1.87,NA,1.34,2.13,NA,NA,NA,0.36,0.55,NA,NA,0.7,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE
1879,NA,0.63,1.5,NA,0.4,1.86,0.37,1.63,NA,NA,NA,0.73,1.95,NA,1.84,2.46,0.62,0.59,NA,0.32,0.79,NA,NA,0.91,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1880,NA,0.39,1.07,NA,0.33,1.49,0.31,1.27,NA,NA,NA,0.58,1.46,NA,1.03,0.82,0.16,0.42,NA,0.2,0.56,NA,NA,0.65,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1881,NA,0.43,1,NA,0.35,1.47,0.39,0.99,NA,NA,NA,0.67,1.3,NA,1.47,1.25,0.45,0.66,NA,0.34,0.58,NA,NA,0.72,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1882,NA,0.45,1.11,NA,0.52,1.67,0.49,0.83,NA,NA,NA,0.8,1.62,NA,1.99,1.3,0.42,0.38,NA,0.32,0.64,NA,NA,1.21,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1883,NA,0.73,1.23,NA,0.81,1.75,0.49,0.67,NA,NA,NA,0.88,1.28,NA,1.5,1.32,1.07,0.53,NA,0.52,0.67,NA,NA,1.22,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1884,NA,0.58,1.62,NA,0.76,1.53,0.53,1.18,NA,NA,NA,0.77,1.67,NA,1.45,1.61,1.36,0.38,NA,0.48,0.53,NA,NA,0.97,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1885,NA,0.39,1.32,NA,0.49,1.64,0.65,0.59,NA,NA,NA,0.91,1.15,NA,0.85,1.36,1.07,0.65,NA,0.55,0.47,NA,NA,1.04,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
