age_CE,R22_raw,R162_raw,R161_raw,R12_raw,R18_raw,R19_raw,R62_raw,R61_raw,R171_raw,R172_raw,R131_raw,R132_raw,R201_raw,R202_raw,R1_raw,R14_raw,R7_raw,R15_raw,R10_raw,R21_raw,R22_raw_outlier_flag,R162_raw_outlier_flag,R161_raw_outlier_flag,R12_raw_outlier_flag,R18_raw_outlier_flag,R19_raw_outlier_flag,R62_raw_outlier_flag,R61_raw_outlier_flag,R171_raw_outlier_flag,R172_raw_outlier_flag,R131_raw_outlier_flag,R132_raw_outlier_flag,R201_raw_outlier_flag,R202_raw_outlier_flag,R1_raw_outlier_flag,R14_raw_outlier_flag,R7_raw_outlier_flag,R15_raw_outlier_flag,R10_raw_outlier_flag,R21_raw_outlier_flag
1953,NA,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1954,NA,15.56,14.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1955,NA,14.92,14.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.32,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1956,NA,14.07,12.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1957,5.66,13.58,11.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1958,5.55,17.14,15.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1959,11.14,11.56,12.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.33,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1960,8.29,9.55,9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.83,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1961,8.64,13.18,13.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1962,9.75,10.24,9.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1963,9.94,12.37,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.98,NA,9.29,NA,NA,5.7,NA,9.84,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE
1964,9.11,9.02,9.34,NA,NA,NA,13.18,NA,NA,NA,9.54,NA,11.78,NA,12.26,NA,NA,6.22,NA,9.07,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE
1965,7.04,11.22,10.88,NA,NA,NA,15.92,NA,NA,NA,10.32,9.15,7.17,NA,12.75,NA,16.49,6.59,NA,7.27,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,NA,FALSE
1966,2.02,8.49,8.08,NA,NA,NA,8.99,8.85,NA,NA,8.29,7.61,9.52,8.85,16.09,NA,10.15,5.26,NA,2.04,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,NA,FALSE
