"","lag","propsign","propsign_neg","propsign_pos","SiteID","clim_var","season","spline","nr_evnts","N_series","N_series_analysed","clim_var_long"
"1",0,0.413636363636364,0.386363636363636,0.0272727272727273,"ABJAL_MEX_01","CWD","Dry season",20,8,234,221,"Climatic Water Deficit"
"2",1,0.122727272727273,0.0772727272727273,0.0454545454545455,"ABJAL_MEX_01","CWD","Dry season",20,8,234,221,"Climatic Water Deficit"
"3",2,0.290909090909091,0,0.290909090909091,"ABJAL_MEX_01","CWD","Dry season",20,8,234,221,"Climatic Water Deficit"
"4",0,0.105263157894737,0,0.105263157894737,"ACCAR_BOL_01","CWD","Dry season",20,8,38,39,"Climatic Water Deficit"
"5",1,0.184210526315789,0,0.184210526315789,"ACCAR_BOL_01","CWD","Dry season",20,8,38,39,"Climatic Water Deficit"
"6",2,0.0789473684210526,0,0.0789473684210526,"ACCAR_BOL_01","CWD","Dry season",20,8,38,39,"Climatic Water Deficit"
"7",0,0.111111111111111,0,0.111111111111111,"ADDIG_BOT_01","CWD","Dry season",20,5,16,10,"Climatic Water Deficit"
"8",1,0.111111111111111,0.111111111111111,0,"ADDIG_BOT_01","CWD","Dry season",20,5,16,10,"Climatic Water Deficit"
"9",2,0,0,0,"ADDIG_BOT_01","CWD","Dry season",20,5,16,10,"Climatic Water Deficit"
"10",0,0.133333333333333,0.025,0.108333333333333,"AFXYL_THA_01","CWD","Dry season",20,8,138,121,"Climatic Water Deficit"
"11",1,0.283333333333333,0.0416666666666667,0.241666666666667,"AFXYL_THA_01","CWD","Dry season",20,8,138,121,"Climatic Water Deficit"
"12",2,0.166666666666667,0.0666666666666667,0.1,"AFXYL_THA_01","CWD","Dry season",20,8,138,121,"Climatic Water Deficit"
"13",0,0.5,0.5,0,"AIOCH_DEM_01","CWD","Dry season",20,7,10,11,"Climatic Water Deficit"
"14",1,0.2,0.2,0,"AIOCH_DEM_01","CWD","Dry season",20,7,10,11,"Climatic Water Deficit"
"15",2,0.5,0.3,0.2,"AIOCH_DEM_01","CWD","Dry season",20,7,10,11,"Climatic Water Deficit"
"16",0,0.157894736842105,0.0526315789473684,0.105263157894737,"ALACU_ARG_01","CWD","Dry season",20,7,31,20,"Climatic Water Deficit"
"17",1,0.0526315789473684,0,0.0526315789473684,"ALACU_ARG_01","CWD","Dry season",20,7,31,20,"Climatic Water Deficit"
"18",2,0.157894736842105,0.157894736842105,0,"ALACU_ARG_01","CWD","Dry season",20,7,31,20,"Climatic Water Deficit"
"19",0,0.277777777777778,0,0.277777777777778,"ALTRI_BRA_01","CWD","Dry season",20,8,36,37,"Climatic Water Deficit"
"20",1,0.194444444444444,0.166666666666667,0.0277777777777778,"ALTRI_BRA_01","CWD","Dry season",20,8,36,37,"Climatic Water Deficit"
"21",2,0.0833333333333333,0,0.0833333333333333,"ALTRI_BRA_01","CWD","Dry season",20,8,36,37,"Climatic Water Deficit"
"22",0,0.3,0.1,0.2,"AMCEA_BOL_01","CWD","Dry season",20,7,20,21,"Climatic Water Deficit"
"23",1,0.25,0.25,0,"AMCEA_BOL_01","CWD","Dry season",20,7,20,21,"Climatic Water Deficit"
"24",2,0.35,0.15,0.2,"AMCEA_BOL_01","CWD","Dry season",20,7,20,21,"Climatic Water Deficit"
"25",0,0.166666666666667,0.0416666666666667,0.125,"AMCEA_BOL_03","CWD","Dry season",20,8,24,25,"Climatic Water Deficit"
"26",1,0,0,0,"AMCEA_BOL_03","CWD","Dry season",20,8,24,25,"Climatic Water Deficit"
"27",2,0.291666666666667,0.0416666666666667,0.25,"AMCEA_BOL_03","CWD","Dry season",20,8,24,25,"Climatic Water Deficit"
"28",0,0.388059701492537,0.0298507462686567,0.358208955223881,"AMCEA_BRA_02","CWD","Dry season",20,7,112,68,"Climatic Water Deficit"
"29",1,0.223880597014925,0.164179104477612,0.0597014925373134,"AMCEA_BRA_02","CWD","Dry season",20,7,112,68,"Climatic Water Deficit"
"30",2,0.283582089552239,0.17910447761194,0.104477611940299,"AMCEA_BRA_02","CWD","Dry season",20,7,112,68,"Climatic Water Deficit"
"31",0,0.0416666666666667,0.0416666666666667,0,"ANMAC_BOL_01","CWD","Dry season",20,8,24,25,"Climatic Water Deficit"
"32",1,0.166666666666667,0.125,0.0416666666666667,"ANMAC_BOL_01","CWD","Dry season",20,8,24,25,"Climatic Water Deficit"
"33",2,0.0416666666666667,0,0.0416666666666667,"ANMAC_BOL_01","CWD","Dry season",20,8,24,25,"Climatic Water Deficit"
"34",0,0.2,0.142857142857143,0.0571428571428571,"ARANG_BRA_04","CWD","Dry season",20,8,90,36,"Climatic Water Deficit"
"35",1,0.285714285714286,0.257142857142857,0.0285714285714286,"ARANG_BRA_04","CWD","Dry season",20,8,90,36,"Climatic Water Deficit"
"36",2,0.285714285714286,0.285714285714286,0,"ARANG_BRA_04","CWD","Dry season",20,8,90,36,"Climatic Water Deficit"
"37",0,0.242424242424242,0.181818181818182,0.0606060606060606,"ARANG_BRA_05","CWD","Dry season",20,6,78,34,"Climatic Water Deficit"
"38",1,0.151515151515152,0.0909090909090909,0.0606060606060606,"ARANG_BRA_05","CWD","Dry season",20,6,78,34,"Climatic Water Deficit"
"39",2,0.303030303030303,0.272727272727273,0.0303030303030303,"ARANG_BRA_05","CWD","Dry season",20,6,78,34,"Climatic Water Deficit"
"40",0,0.171428571428571,0,0.171428571428571,"ARANG_BRA_06","CWD","Dry season",20,8,35,36,"Climatic Water Deficit"
"41",1,0.142857142857143,0.0285714285714286,0.114285714285714,"ARANG_BRA_06","CWD","Dry season",20,8,35,36,"Climatic Water Deficit"
"42",2,0.2,0.114285714285714,0.0857142857142857,"ARANG_BRA_06","CWD","Dry season",20,8,35,36,"Climatic Water Deficit"
"43",0,0.238095238095238,0.238095238095238,0,"arge032","CWD","Dry season",20,5,26,22,"Climatic Water Deficit"
"44",1,0.380952380952381,0,0.380952380952381,"arge032","CWD","Dry season",20,5,26,22,"Climatic Water Deficit"
"45",2,0.619047619047619,0,0.619047619047619,"arge032","CWD","Dry season",20,5,26,22,"Climatic Water Deficit"
"46",0,0.136363636363636,0.136363636363636,0,"arge035","CWD","Dry season",20,5,24,23,"Climatic Water Deficit"
"47",1,0.136363636363636,0.136363636363636,0,"arge035","CWD","Dry season",20,5,24,23,"Climatic Water Deficit"
"48",2,0.318181818181818,0,0.318181818181818,"arge035","CWD","Dry season",20,5,24,23,"Climatic Water Deficit"
"49",0,0.125,0.125,0,"arge041","CWD","Dry season",20,5,39,33,"Climatic Water Deficit"
"50",1,0.40625,0.40625,0,"arge041","CWD","Dry season",20,5,39,33,"Climatic Water Deficit"
"51",2,0.09375,0.0625,0.03125,"arge041","CWD","Dry season",20,5,39,33,"Climatic Water Deficit"
"52",0,0.363636363636364,0.272727272727273,0.0909090909090909,"arge042","CWD","Dry season",20,5,24,23,"Climatic Water Deficit"
"53",1,0.0909090909090909,0.0454545454545455,0.0454545454545455,"arge042","CWD","Dry season",20,5,24,23,"Climatic Water Deficit"
"54",2,0.0909090909090909,0,0.0909090909090909,"arge042","CWD","Dry season",20,5,24,23,"Climatic Water Deficit"
"55",0,0.166666666666667,0,0.166666666666667,"arge044","CWD","Dry season",20,5,24,25,"Climatic Water Deficit"
