"SiteID","Rel_density_MAP","Rel_density_CWD","Rel_density_VPD"
"ABJAL_MEX_01",0.964204982,0.342083057,0.805455567
"ACCAR_BOL_01",0.969220989,0.348640984,0.643291979
"ADDIG_BOT_01",0.85857208,0.219882431,0.447006684
"AFXYL_THA_01",0.938143369,0.380453466,0.844669526
"AIOCH_DEM_01",0.971546922,0.519091504,0.948140941
"ALACU_ARG_01",0.933987033,0.367158085,0.948140941
"ALTRI_BRA_01",0.802107374,0.828022687,0.545382073
"ALTRI_BRA_02",0.802107374,0.828022687,0.545382073
"AMCEA_BOL_01",0.802107374,0.559814319,0.712867659
"AMCEA_BOL_03",0.969220989,0.380453466,0.585648132
"AMCEA_BRA_02",0.928241018,0.323512631,0.279834149
"ANMAC_BOL_01",0.969220989,0.348640984,0.643291979
"APMAC_COL_01",0.000977277,0.828022687,0.671474423
"ARANG_BRA_01",0.545407696,0.828022687,0.545382073
"ARANG_BRA_02",1,0.828022687,0.545382073
"ARANG_BRA_04",0.964204982,0.828022687,1
"ARANG_BRA_05",0.964204982,0.828022687,0.364244592
"ARANG_BRA_06",0.964204982,0.828022687,0.364244592
"arge032",0.980192036,0.348640984,0.712867659
"arge035",0.980192036,0.320128983,0.681820357
"arge041",0.816287463,0.367158085,0.948140941
"arge042",0.816287463,0.367158085,0.948140941
"arge044",0.980192036,0.348640984,0.712867659
"arge045",0.816287463,0.330136205,0.948140941
"arge053",0.85857208,0.348640984,0.844669526
"arge057",0.980192036,0.330136205,0.948140941
"arge058",0.816287463,0.348640984,1
"arge064",0.980192036,0.348640984,0.712867659
"arge067",0.969220989,0.367158085,0.681820357
"ASCAS_BRA_01",0.938143369,0.308750143,0.585648132
"ASMUL_BRA_01",0.980192036,0.209808418,0.214527119
"ASPOL_BRA_01",0.964204982,0.828022687,1
"ASPOL_BRA_02",0.964204982,0.828022687,1
"ASPYR_BRA_01",0.816287463,0.264699519,0.525226383
"ASPYR_BRA_02",0.980192036,0.342083057,0.643291979
"ASPYR_BRA_03",0.816287463,0.264699519,0.525226383
"ASSUB_BRA_01",0.938143369,0.308750143,0.345771334
"ASTOM_BOL_01",0.969220989,0.348640984,0.643291979
"ausl037",0.85857208,0.056006853,0.060635868
"BAPLU_ZAM_01",0.928241018,0.320128983,0.447006684
"BAPLU_ZAM_02",0.933987033,0.319573129,0.447006684
"BAPLU_ZAM_03",0.980192036,0.308750143,0.525226383
"bol002",0.969220989,0.367158085,0.681820357
"bol004",0.969220989,0.348640984,0.681820357
"bra002",0.928241018,0.340844616,0.248661425
"BRBOE_ZAM_01",0.969220989,0.323512631,0.681820357
"BRBOE_ZAM_02",0.969220989,0.330136205,0.681820357
"BRSPI_TAN_01",0.928241018,0.342083057,0.525226383
"BRSPI_TAN_09",0.971546922,0.330136205,0.805455567
"BRSPI_ZAM_02",0.980192036,0.299245567,0.345771334
"BRSPI_ZAM_03",0.933987033,0.342083057,0.585648132
"BRSPI_ZAM_04",0.928241018,0.342083057,0.525226383
"BRSPI_ZAM_05",0.928241018,0.319573129,0.279834149
"BRSPI_ZAM_06",0.928241018,0.319573129,0.279834149
"BRSPI_ZAM_07",0.928241018,0.319573129,0.279834149
"BRSPI_ZAM_08",0.971546922,0.342083057,0.681820357
"bt001",0.928241018,0.590146874,0.054531753
"bt002",0.928241018,0.590146874,0.186141792
"bt003",0.980192036,0.590146874,0.186141792
"bt004",0.980192036,0.590146874,0.186141792
"bt005",0.971546922,0.590146874,0.013761373
"bt006",0.928241018,0.577535013,0.054531753
"bt007",0.971546922,0.577535013,0.054531753
"bt008",0.928241018,0.590146874,0.054531753
"bt009",0.928241018,0.590146874,0.186141792
"bt010",1,0.577535013,0.013761373
"bt011",0.971546922,0.590146874,0.013761373
"bt012",0.928241018,0.590146874,0.054531753
"bt013",1,0.577535013,0.013761373
"bt014",0.969220989,0.559814319,0.364244592
"bt015",0.980192036,0.590146874,0.186141792
"bt016",0.816287463,0.590146874,0.186141792
"bt017",0.933987033,0.577535013,0.013761373
"bt018",0.816287463,0.590146874,0.186141792
"bt019",0.816287463,0.590146874,0.186141792
"bt020",0.971546922,0.590146874,0.013761373
"bt021",0.928241018,0.590146874,0.186141792
"BUAFR_NAM_01",0.816287463,0.230625706,0.122301006
"BUGRA_ECU_01",0.928241018,0.264699519,0.844669526
"CAODO_COL_01",0.85857208,0.299245567,0.447006684
"CAPLU_BOL_01",0.969220989,0.348640984,0.643291979
"CAPYR_COL_01",0.031260875,0.828022687,0.671474423
"CEANG_ARG_01",0.928241018,0.330136205,0.712867659
"CEANG_ARG_02",0.980192036,0.348640984,0.712867659
"CEANG_ARG_03",0.933987033,0.320128983,0.712867659
"CEANG_ARG_04",0.980192036,0.380453466,0.844669526
"CECAT_BOL_01",0.802107374,0.507535157,0.712867659
"CEFIS_BRA_01",0.545407696,1,0.364244592
"CEFIS_BRA_02",0.938143369,1,0.671474423
"CEFIS_BRA_03",0.938143369,1,0.870903052
"CEFIS_BRA_04",0.964204982,0.828022687,0.671474423
"CEFIS_BRA_05",0.348545921,0.590146874,0.870903052
"CEFIS_BRA_06",0.545407696,0.828022687,0.545382073
"CEFIS_BRA_07",0.802107374,0.828022687,0.545382073
"CEFIS_BRA_08",0.802107374,0.828022687,0.545382073
"CEFIS_BRA_09",1,0.828022687,0.364244592
"CEMIC_BOL_01",0.969220989,0.367158085,0.681820357
"CEMIC_BOL_02",0.969220989,0.348640984,0.681820357
"CEMIC_BOL_03",0.969220989,0.367158085,0.681820357
"CEMIC_BOL_04",0.969220989,0.348640984,0.585648132
"CEMIC_BOL_05",0.969220989,0.367158085,0.681820357
"CEMIC_BOL_06",0.971546922,0.348640984,0.643291979
"CEMIC_BOL_07",0.971546922,0.348640984,0.585648132
"CEMIC_BOL_08",0.969220989,0.348640984,0.643291979
"CEMON_ECU_01",0.971546922,0.507535157,0.545382073
"CENEB_PER_01",1,0.507535157,0.545382073
"CEODO_BOL_01",0.802107374,0.559814319,0.712867659
"CEODO_BRA_01",0.348545921,0.828022687,0.364244592
"CEODO_BRA_02",0.802107374,1,0.671474423
"CEODO_BRA_03",0.964204982,0.828022687,0.870903052
"CEODO_BRA_06",0.545407696,0.559814319,0.870903052
"CEODO_BRA_07",0.397344554,0.559814319,0.870903052
"CEODO_BRA_10",0.545407696,0.577535013,0.671474423
"CEODO_BRA_11",0.933987033,0.320128983,0.681820357
"CEODO_COL_08",0.109956796,1,0.364244592
"CEODO_PER_05",0.802107374,0.525988249,1
"CEODO_PER_09",0.802107374,0.525988249,0.844669526
"CESAL_MEX_01",0.928241018,0.342083057,0.681820357
"CHAXI_THA_01",0.938143369,0.380453466,0.643291979
"chin017",0.980192036,0.507535157,1
"chin018",0.980192036,0.507535157,0.870903052
"chin019",0.980192036,0.507535157,0.870903052
"chin021",0.980192036,0.519091504,0.870903052
"chin023",0.980192036,0.491048964,1
"chin024",0.980192036,0.519091504,0.870903052
"chin025",0.933987033,0.519091504,0.870903052
"chin026",0.933987033,0.507535157,1
"chin027",0.933987033,0.519091504,0.671474423
"chin028",0.933987033,0.519091504,0.671474423
"chin037",0.928241018,0.519091504,0.870903052
"chin038",0.933987033,0.519091504,0.870903052
"chin039",0.980192036,0.519091504,0.870903052
"chin040",0.933987033,0.559814319,0.870903052
"chin041",0.969220989,0.559814319,0.671474423
"chin043",0.85857208,0.443760737,0.671474423
"chin044",0.816287463,0.507535157,0.545382073
"chin045",0.980192036,0.507535157,0.671474423
"chin073",1,0.828022687,0.364244592
"chin075",0.980192036,0.507535157,0.870903052
"CHTAB_BAN_01",0.279424859,0.559814319,0.805455567
"CHTAB_THA_01",0.938143369,0.380453466,0.844669526
"COLUC_BRA_01",0.969220989,0.577535013,0.870903052
"COPAN_DEM_01",0.971546922,0.519091504,0.948140941
"DRSPP_PER_01",0.802107374,0.577535013,0.712867659
"ENCYL_CAM_01",1,0.525988249,0.870903052
"ERAFR_ZAM_01",0.969220989,0.323512631,0.681820357
"ERIVO_CAM_01",1,0.525988249,0.870903052
"fl003",0.938143369,0.577535013,0.948140941
"fl004",0.938143369,0.590146874,0.948140941
"fl005",0.964204982,0.577535013,0.948140941
"fl006",0.964204982,0.577535013,0.948140941
"fl007",0.964204982,0.590146874,0.948140941
"fl008",0.938143369,0.590146874,0.948140941
"fl009",0.938143369,0.559814319,0.844669526
"FOHOD_VIE_01",0.319581487,0.525988249,0.870903052
"GEAME_COS_01",0.802107374,0.380453466,0.948140941
"GOGLA_COL_01",0.000977277,0.828022687,0.671474423
"HAIMP_BRA_01",0.980192036,0.209808418,0.214527119
"HAOCH_BRA_01",0.938143369,0.308750143,0.345771334
"HASER_BRA_01",0.938143369,0.308750143,0.585648132
"HEFOM_BAN_01",0.348545921,0.507535157,0.712867659
"HUCRE_PER_01",0.802107374,0.577535013,0.712867659
"HUPRO_COL_01",0.000977277,0.828022687,0.671474423
"HYCOU_BRA_01",0.938143369,0.380453466,0.525226383
"HYCOU_BRA_02",0.938143369,0.577535013,0.805455567
"HYCOU_BRA_03",0.969220989,0.604080496,0.712867659
"HYSTI_BRA_01",0.964204982,0.491048964,0.643291979
"indi021",0.802107374,0.367158085,0.681820357
"indi025",0.348545921,0.380453466,0.844669526
"indo001",0.545407696,0.491048964,0.805455567
"indo002",0.545407696,0.507535157,0.844669526
"indo003",0.389606914,0.491048964,0.805455567
"indo004",0.545407696,0.491048964,0.805455567
"indo005",0.802107374,0.559814319,0.948140941
"indo006",0.348545921,0.590146874,0.844669526
"indo007",0.545407696,0.491048964,0.805455567
"indo008",1,0.491048964,0.712867659
"JACOP_PAN_01",0.397344554,0.507535157,0.870903052
"JACOP_PER_02",0.802107374,0.577535013,0.712867659
"JUAUS_ARG_01",0.980192036,0.348640984,0.712867659
"JUAUS_ARG_02",0.928241018,0.330136205,0.712867659
"JUAUS_ARG_03",0.980192036,0.348640984,0.712867659
"JUAUS_ARG_04",0.933987033,0.320128983,0.712867659
"JUAUS_ARG_05",0.933987033,0.348640984,0.948140941
"JUAUS_ARG_06",0.980192036,0.348640984,0.712867659
"JUAUS_ARG_07",0.816287463,0.367158085,0.844669526
"JUAUS_ARG_08",0.933987033,0.367158085,0.948140941
"JUAUS_ARG_09",0.980192036,0.348640984,0.844669526
"JUAUS_ARG_10",0.816287463,0.348640984,0.948140941
"JUAUS_ARG_11",0.325462074,0.319573129,0.844669526
"JUAUS_ARG_12",0.933987033,0.348640984,0.712867659
"JUNEO_PER_01",0.802107374,0.525988249,1
"JUPRO_ETH_01",0.971546922,0.319573129,0.447006684
"JUPRO_ETH_02",0.928241018,0.264699519,0.345771334
"JUPRO_ETH_03",0.928241018,0.264699519,0.345771334
"JUPRO_ETH_04",0.928241018,0.264699519,0.345771334
"JUPRO_ETH_05",0.971546922,0.559814319,0.671474423
"JUPRO_ETH_06",0.969220989,0.402037106,0.844669526
"JUPRO_ETH_07",0.928241018,0.264699519,0.345771334
"keny001",0.964204982,0.519091504,0.870903052
"keny002",0.964204982,0.519091504,0.870903052
"LASPE_BAN_01",0.389606914,0.519091504,0.805455567
"LIFER_BRA_02",0.980192036,0.342083057,0.643291979
"ls001",0.389606914,0.402037106,0.805455567
"ls002",0.319581487,0.402037106,0.712867659
"MAACA_BOL_02",1,0.559814319,0.712867659
"MAACA_PER_01",0.348545921,0.828022687,0.948140941
"MASCL_BOL_01",0.969220989,0.443760737,0.585648132
"MATIN_ECU_01",0.928241018,0.264699519,0.844669526
"MEAZE_THA_01",0.938143369,0.380453466,0.844669526
"mexi021",0.964204982,0.319573129,0.585648132
"mexi022",0.933987033,0.219882431,0.345771334
"mexi023",0.933987033,0.219882431,0.345771334
"mexi024",0.816287463,0.206771268,0.585648132
"mexi025",0.933987033,0.264699519,0.447006684
"mexi026",0.928241018,0.491048964,1
"mexi027",0.969220989,0.342083057,0.712867659
"mexi028",0.933987033,0.219882431,0.279834149
"mexi029",0.933987033,0.323512631,0.805455567
"mexi030",0.980192036,0.185667195,0.585648132
"mexi032",0.971546922,0.230625706,0.248661425
"mexi033",0.933987033,0.323512631,0.681820357
"mexi034",0.933987033,0.264699519,0.345771334
"mexi035",0.969220989,0.264699519,0.345771334
"mexi036",0.980192036,0.342083057,0.525226383
"mexi037",0.971546922,0.348640984,0.805455567
"mexi038",0.933987033,0.323512631,0.805455567
"mexi041",0.816287463,0.330136205,0.712867659
"mexi042",0.938143369,0.491048964,0.671474423
"mexi043",0.969220989,0.342083057,0.525226383
"mexi044",0.928241018,0.320128983,0.844669526
"mexi045",0.969220989,0.330136205,0.844669526
"mexi046",0.928241018,0.320128983,0.844669526
"mexi047",0.933987033,0.340844616,0.643291979
"mexi048",0.816287463,0.201879632,0.585648132
"mexi049",0.933987033,0.264699519,0.345771334
"mexi050",0.933987033,0.230625706,0.345771334
"mexi051",0.928241018,0.219882431,0.279834149
"mexi052",0.933987033,0.201879632,0.279834149
"mexi053",0.933987033,0.219882431,0.345771334
"mexi054",0.980192036,0.201879632,0.279834149
"mexi056",0.971546922,0.342083057,0.447006684
"mexi057",0.928241018,0.209808418,0.248661425
"mexi058",0.85857208,0.126305624,0.152876234
"mexi059",0.816287463,0.124940022,0.345771334
"mexi060",0.816287463,0.13355506,0.447006684
"mexi061",0.816287463,0.13355506,0.447006684
"mexi062",0.816287463,0.13355506,0.447006684
"mexi063",0.980192036,0.185667195,0.585648132
"mexi064",0.85857208,0.116492917,0.214527119
"mexi065",0.980192036,0.185667195,0.585648132
"mexi066",0.933987033,0.185667195,0.585648132
"mexi067",0.85857208,0.125997522,0.1688832
"mexi068",0.933987033,0.201879632,0.345771334
"mexi069",0.971546922,0.308750143,0.525226383
"mexi070",0.928241018,0.206771268,0.345771334
"mexi071",0.971546922,0.299245567,0.643291979
"mexi072",0.842533626,0.101790088,0.152876234
"mexi073",0.969220989,0.319573129,0.712867659
"mexi074",0.933987033,0.219882431,0.345771334
"mexi075",0.933987033,0.299245567,0.447006684
"mexi076",0.933987033,0.230625706,0.525226383
"mexi077",0.969220989,0.319573129,0.681820357
"mexi078",0.928241018,0.299245567,0.447006684
"mexi079",0.980192036,0.230625706,0.585648132
"mexi080",0.969220989,0.342083057,0.525226383
"mexi081",0.85857208,0.125997522,0.1688832
"mexi082",0.933987033,0.264699519,0.447006684
"mexi083",0.969220989,0.342083057,0.643291979
"mexi084",0.980192036,0.209808418,0.525226383
"mexi085",0.928241018,0.299245567,0.681820357
"mexi086",0.928241018,0.319573129,0.525226383
"mexi087",0.933987033,0.323512631,0.681820357
"mexi088",0.980192036,0.299245567,0.585648132
"mexi089",0.933987033,0.380453466,0.948140941
"mexi090",0.933987033,0.299245567,0.525226383
"mexi091",0.933987033,0.308750143,0.585648132
"mexi092",0.933987033,0.308750143,0.643291979
"mexi093",0.816287463,0.185667195,0.585648132
"mexi094",0.980192036,0.299245567,0.525226383
"mexi095",0.980192036,0.166332239,0.585648132
"mexi096",0.85857208,0.185667195,0.585648132
"mexi097",0.933987033,0.348640984,0.805455567
"mexi098",0.969220989,0.330136205,0.844669526
"mexi099",0.842533626,0.125997522,0.345771334
"mexi100",0.928241018,0.348640984,0.805455567
"mexi101",0.933987033,0.348640984,0.805455567
"mexi102",0.816287463,0.330136205,0.712867659
"mexi103",0.964204982,0.330136205,0.844669526
