tree,n_missing_total,n_missing_1980_on,n_outliers_total
731011_raw,95,45,2
731012_raw,59,45,15
731021_raw,168,45,10
731022_raw,168,45,4
731031_raw,221,45,6
731032_raw,158,45,9
731041_raw,210,45,1
731042_raw,173,45,3
731051_raw,151,45,17
731052_raw,171,45,11
731061_raw,182,45,2
731062_raw,172,45,5
731071_raw,288,45,5
731072_raw,214,45,6
731081_raw,242,45,2
731082_raw,291,45,2
731091_raw,49,45,16
731092_raw,98,45,12
731101_raw,48,45,12
731102_raw,70,45,18
731111_raw,161,45,0
731112_raw,166,45,4
731121_raw,276,45,0
731122_raw,237,45,4
731131_raw,320,45,6
731132_raw,328,45,1
731141_raw,151,45,4
731142_raw,114,45,9
731151_raw,92,45,13
731152_raw,110,45,9
