Stand,Year,Lat,Long,Plus or Minus (Ft),Tag,Species,DBH,Canopy,Old notes--Caution: Many likely not matched with correct tree!,New notes,
AB08,2009,46.82057,121.53705,,N1,Tshe,80.3,y,,,
AB08,2009,46.82035,121.53558,,N10,Psme,77.8,n,,,
AB08,2009,46.82050,121.53550,,N11,Thpl,40.3,n,,,
AB08,2009,46.82018,121.53512,,N12,Thpl,77.9,n,,,
AB08,2009,46.82010,121.53528,,N13,Tshe,55,n,,,
AB08,2009,46.81998,121.53530,,N14,Thpl,77.7,n,,,
AB08,2009,46.81987,121.53538,,N15,Psme,117.2,y,,,
AB08,2009,46.81990,121.53548,,N16,Tshe,95,y,,,
AB08,2009,46.81993,121.53565,,N17,Thpl,85.3,n,,,
AB08,2009,46.81973,121.53568,,N18,Tshe,64.3,n,,,
AB08,2009,46.81972,121.53588,,N19,Thpl,45.4,n,,,
AB08,2009,46.82038,121.53700,,N2,Psme,56.6,y,,,
AB08,2009,46.81958,121.53567,,N20,Psme,127.2,y,,,
AB08,2009,46.81945,121.53538,,N21,Psme,104.6,n,,,
AB08,2009,46.81987,121.53562,,N22,Thpl,103.9,y,,,
AB08,2009,46.81935,121.53580,,N23,Psme,113.6,y,,,
AB08,2009,46.81935,121.53587,,N24,Tshe,61.2,n,,,
AB08,2009,46.81937,121.53632,,N25,Tshe,65.7,y,,,
AB08,2009,46.81937,121.53632,,N26,Thpl,105.8,n,,,
AB08,2009,46.81937,121.53632,,N27,Psme,89,n,,,
AB08,2009,46.81912,121.53632,,N28,Tshe,66.3,n,,,
AB08,2009,46.81907,121.53633,,N29,Psme,106.6,y,,,
AB08,2009,46.82052,121.53668,,N3,Tshe,86.6,y,,,
AB08,2009,46.81910,121.53653,,N30,Thpl,67.3,n,,,
AB08,2009,46.81898,121.53648,,N31,Psme,144,y,,,
AB08,2009,46.91914,121.56649,,N32,Psme,83.1,y,,,
AB08,2009,46.91914,121.53649,,N33,Thpl,60.1,n,,,
AB08,2009,46.91915,121.53648,,N34,Tshe,70.8,n,,,
AB08,2009,46.91863,121.53665,,N35,Thpl,84.7,n,,,
AB08,2009,46.91865,121.53674,,N36,Tshe,77.5,n,,,
AB08,2009,46.91864,121.53674,,N37,Psme,103.9,y,,,
AB08,2009,46.91864,121.53674,,N38,Thpl,85.9,n,,,
AB08,2009,46.91840,121.53692,,N39,Tshe,97.7,y,,,
AB08,2009,46.82030,121.53650,,N4,Psme,90.6,y,,,
AB08,2009,46.91840,121.53692,,N40,Psme,96.8,y,,,
AB08,2009,46.91840,121.53692,,N41,Thpl,81.7,n,,,
AB08,2009,46.91843,121.53709,,N42,Tshe,84.8,n,,,
AB08,2009,46.91843,121.53709,,N43,Psme,117.1,y,,,
AB08,2009,46.91843,121.53709,,N44,Thpl,79.1,n,,,
AB08,2009,46.91820,121.53720,,N45,Tshe,53.6,n,,,
AB08,2009,46.91820,121.53720,,N46,Psme,154.1,y,,,
AB08,2009,46.91820,121.53720,,N47,Thpl,118.5,n,,,
AB08,2009,46.91844,121.53745,,N48,Psme,101.3,y,,,
AB08,2009,46.91844,121.53745,,N49,Thpl,66.7,n,,,
AB08,2009,46.82033,121.53652,,N5,Thpl,46.2,n,,,
AB08,2009,46.91844,121.53745,,N50,Tshe,90.5,y,,,
AB08,2009,46.91845,121.53786,,N51,Psme,115.5,y,,,
AB08,2009,46.91845,121.53786,,N52,Thpl,89.8,n,,,
AB08,2009,46.91845,121.53786,,N53,Tshe,95.8,n,,,
AB08,2009,46.91877,121.53812,,N54,Psme,135.5,y,,,
AB08,2009,46.91877,121.53812,,N55,Thpl,80.3,n,,,
AB08,2009,46.91877,121.53812,,N56,Tshe,67.7,n,,,
AB08,2009,46.91914,121.53824,,N57,Thpl,105.9,n,,,
AB08,2009,46.91914,121.53824,,N58,Psme,121,y,,,
AB08,2009,46.91914,121.53824,,N59,Tshe,68.4,n,,,
AB08,2009,46.82028,121.53657,,N6,Tshe,72.1,y,,,
AB08,2009,46.91941,121.53796,,N60,Psme,118,y,,,
AB08,2009,46.91941,121.53796,,N61,Tshe,70.8,n,,,
AB08,2009,46.82027,121.53637,,N7,Thpl,74,n,,,
AB08,2009,46.82030,121.53557,,N8,Tshe,81.9,y,Lost N9,,
AE10,2008,46.76878,121.73433,11.5,F1,Abam,82.5,y,,,
AE10,2008,46.76802,121.74418,,F10,Abam,82,y,,,
AE10,2008,46.76757,121.74415,,F11,Tsme,116.5,y,,,
AE10,2008,46.76757,121.74415,,F12,Abam,71.6,y,,,
AE10,2008,46.76748,121.74385,16,F13,Cano,82.2,y,,,
AE10,2008,46.76745,121.74332,11,F14,Tsme,68.7,n,,,
AE10,2008,46.76740,121.74337,14,F15,Abam,121.8,y,,,
AE10,2008,46.76732,121.74312,12.3,F16,Cano,76.9,n,,,
AE10,2008,46.76737,121.74310,,F17,Abam,87.6,y,,,
AE10,2008,46.76772,121.74293,,F18,Tsme,67.9,y,,,
AE10,2008,46.76783,121.74287,,F19,Abam,89,y,,,
AE10,2008,46.76870,121.74352,9.3,F2,Tsme,87.8,y,,,
AE10,2008,46.76773,121.74217,,F20,Tsme,106.2,y,,,
AE10,2008,46.76743,121.74217,11.5,F21,Tsme,95.4,y,,,
AE10,2008,46.76812,121.74225,16,F22,Cano,51.1,y,,,
AE10,2008,46.76812,121.74202,13.7,F23,Tsme,76.3,y,,,
AE10,2008,46.76838,121.74203,15,F24,Cano,60.2,y,,"Wrong in GPS unit, correct here--Is it wrong in the master WP file?",
AE10,2008,46.76858,121.74182,,F25,Cano,,y,,dbh never observed,
AE10,2008,46.76837,121.73503,,F26,Cano,,y,steep slope,dbh never observed,
AE10,2008,46.76870,121.74233,,F27,Abam,86.5,y,steep slope,,
AE10,2008,46.76880,121.74227,,F28,Cano,50.9,y,steep slope,,
AE10,2008,46.76875,121.74277,,F29,Tsme,60.6,n,steep slope + next to gap,,
AE10,2008,46.76865,121.74363,,F3,Cano,79.5,n,,,
AE10,2008,46.76733,121.74277,,F30,Tsme,70.1,y,steep slope + next to gap,,
AE10,2009,46.76893,121.74303,,F31,Abam,52.3,y,,,
AE10,2009,46.76877,121.74313,,F32,Tsme,44.7,n,,,
AE10,2009,46.76877,121.74313,,F33,Cano,74.2,n,,,
AE10,2009,46.76858,121.74325,,F34,Abam,119,y,,,
AE10,2009,46.76855,121.74343,,F35,Cano,45.5,n,,,
AE10,2009,46.76855,121.74343,,F36,Tsme,73.7,y,,,
AE10,2009,46.76873,121.74370,,F37,Cano,70,y,,,
AE10,2009,46.76888,121.74378,,F38,Abam,57.7,n,,,
AE10,2009,46.76875,121.74262,,F39,Abam,85.8,y,,,
AE10,2008,46.76848,121.74375,,F4,Abam,76.6,y,,,
AE10,2009,46.76890,121.74257,,F40,Tsme,58.1,n,,,
AE10,2009,46.76873,121.74238,,F41,Cano,70,y,,,
AE10,2009,46.76877,121.74202,,F42,Tsme,65.6,n,,,
AE10,2009,46.76878,121.74177,,F43,Cano,51.4,n,,,
AE10,2009,46.76878,121.74177,,F44,Abam,42.5,n,,,
AE10,2009,46.76860,121.74190,,F45,Abam,59.1,y,,,
AE10,2009,46.76860,121.74177,,F46,Cano,40.8,n,,,
AE10,2009,46.76852,121.74160,,F47,Abam,73.1,y,,,
AE10,2009,46.76830,121.74170,,F48,Abam,41.1,n,next to gap,,
AE10,2009,46.76800,121.74147,,F49,Cano,48.1,n,,,
AE10,2008,46.76853,121.74413,,F5,Abam,88.1,y,,,
AE10,2009,46.76812,121.74148,,F50,Abam,73.8,y,,,
AE10,2009,46.76813,121.74168,,F51,Tsme,65.5,n,,,
AE10,2009,46.76802,121.74158,,F52,Cano,49,y,,,
AE10,2009,46.76788,121.74157,,F53,Abam,51.4,y,,,
AE10,2009,46.76775,121.74163,,F54,Cano,43.9,n,,,
AE10,2009,46.76762,121.74205,,F55,Cano,50.2,y,,,
AE10,2009,46.76778,121.74217,,F56,Tsme,62.9,n,,,
AE10,2009,46.76747,121.74203,,F57,Tsme,72.1,n,,,
AE10,2009,46.76735,121.74210,,F58,Tsme,62,y,,,
AE10,2009,46.76720,121.74173,,F59,Tsme,73.3,y,,,
AE10,2008,46.76842,121.74382,,F6,Tsme,108.2,y,,,
AE10,2009,46.76745,121.74148,,F60,Tsme,85.1,y,,,
AE10,2008,46.76842,121.74382,,F7,Cano,67.1,y,,,
AE10,2008,46.76805,121.74402,,F8,Abam,75.2,y,,,
AE10,2008,46.76775,121.74388,,F9,Cano,55.7,y,,,
AG05,2008,46.74718,121.80527,,C1,Abam,52.1,y,,,
AG05,2008,46.74623,121.80465,,C10,Thpl,90.8,y,,,
AG05,2008,46.74645,121.80448,,C11,Thpl,112.2,y,,,
AG05,2008,46.74643,121.80417,,C12,Abam,59,y,,,
AG05,2008,46.74677,121.80425,,C13,Psme,123.1,y,,,
AG05,2008,46.74667,121.80453,,C14,Abam,69.9,y,,,
AG05,2008,46.74672,121.80438,,C15,Psme,119.4,y,,,
AG05,2008,46.74672,121.80428,,C16,Thpl,61.1,n,,,
AG05,2008,46.74682,121.80430,,C17,Abam,57,y,,,
AG05,2008,46.74678,121.80423,,C18,Psme,73.9,y,,,
AG05,2008,46.74645,121.80412,,C19,Abam,48.1,y,,,
