SiteID,Beta0_of_site,Beta2_of_site,Beta1_adjusted_per_site,Dij,DBH_growth,Tauij,Logit_mort_orig,Mort_py_orig,Grwth_reduct,Logit_mort_NEW,Mort_py_NEW,Mort_increase,R2_site,n_spp,SiteID_R2_nspp,Mort_increase_minSD,Mort_increase_plusSD
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.02,-3.978110298,0.003702708,0.000104446,0.0525,101,Ituri: 0.05 (101),NA,NA
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.04,-3.948855038,0.003811382,0.000213119,0.0525,101,Ituri: 0.05 (101),NA,NA
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.06,-3.919262602,0.003924514,0.000326252,0.0525,101,Ituri: 0.05 (101),NA,NA
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.08,-3.889321803,0.004042355,0.000444093,0.0525,101,Ituri: 0.05 (101),NA,NA
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.1,-3.859020832,0.004165172,0.000566909,0.0525,101,Ituri: 0.05 (101),NA,NA
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.12,-3.828347204,0.004293251,0.000694988,0.0525,101,Ituri: 0.05 (101),NA,NA
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.14,-3.797287706,0.004426901,0.000828638,0.0525,101,Ituri: 0.05 (101),NA,NA
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.16,-3.765828338,0.004566456,0.000968193,0.0525,101,Ituri: 0.05 (101),NA,NA
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.18,-3.733954242,0.004712274,0.001114011,0.0525,101,Ituri: 0.05 (101),NA,NA
Ituri,-2.4,-2.34,0.3,200,2,1.366040257,-4.007038991,0.003598263,0.2,-3.701649631,0.004864744,0.001266481,0.0525,101,Ituri: 0.05 (101),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.02,-0.705653385,0.077126166,0.001050491,0.118,42,HHK: 0.12 (42),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.04,-0.688150237,0.078199731,0.002124055,0.118,42,HHK: 0.12 (42),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.06,-0.670445361,0.079297173,0.003221497,0.118,42,HHK: 0.12 (42),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.08,-0.652532063,0.08041934,0.004343665,0.118,42,HHK: 0.12 (42),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.1,-0.634403277,0.081567127,0.005491452,0.118,42,HHK: 0.12 (42),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.12,-0.616051533,0.082741477,0.006665801,0.118,42,HHK: 0.12 (42),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.14,-0.597468928,0.083943386,0.007867711,0.118,42,HHK: 0.12 (42),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.16,-0.578647083,0.08517391,0.009098234,0.118,42,HHK: 0.12 (42),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.18,-0.559577112,0.086434166,0.01035849,0.118,42,HHK: 0.12 (42),NA,NA
HHK,-0.4,-1.4,0.3,200,2,1.366040257,-0.722961149,0.076075675,0.2,-0.540249567,0.087725339,0.011649664,0.118,42,HHK: 0.12 (42),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.02,-2.612617355,0.014055773,0.00034079,0.074,104,KC: 0.07 (104),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.04,-2.586737702,0.014408649,0.000693667,0.074,104,KC: 0.07 (104),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.06,-2.560559777,0.014774205,0.001059223,0.074,104,KC: 0.07 (104),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.08,-2.534073686,0.015153074,0.001438091,0.074,104,KC: 0.07 (104),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.1,-2.507268981,0.015545929,0.001830947,0.074,104,KC: 0.07 (104),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.12,-2.480134617,0.015953493,0.00223851,0.074,104,KC: 0.07 (104),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.14,-2.452658908,0.016376535,0.002661552,0.074,104,KC: 0.07 (104),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.16,-2.424829467,0.01681588,0.003100898,0.074,104,KC: 0.07 (104),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.18,-2.396633151,0.017272415,0.003557432,0.074,104,KC: 0.07 (104),NA,NA
KC,-1.4,-2.07,0.3,200,2,1.366040257,-2.638208122,0.013714982,0.2,-2.368055996,0.017747087,0.004032105,0.074,104,KC: 0.07 (104),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.02,-3.83566899,0.004262329,0.000113962,0.0445,367,Lambir: 0.04 (367),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.04,-3.807914,0.00438072,0.000232352,0.0445,367,Lambir: 0.04 (367),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.06,-3.779839124,0.004503775,0.000355408,0.0445,367,Lambir: 0.04 (367),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.08,-3.751433751,0.004631749,0.000483381,0.0445,367,Lambir: 0.04 (367),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.1,-3.722686676,0.004764912,0.000616544,0.0445,367,Lambir: 0.04 (367),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.12,-3.693586054,0.004903554,0.000755187,0.0445,367,Lambir: 0.04 (367),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.14,-3.664119351,0.00504799,0.000899622,0.0445,367,Lambir: 0.04 (367),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.16,-3.634273284,0.005198554,0.001050187,0.0445,367,Lambir: 0.04 (367),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.18,-3.604033757,0.005355611,0.001207243,0.0445,367,Lambir: 0.04 (367),NA,NA
Lambir,-2.42,-2.22,0.3,200,2,1.366040257,-3.86311416,0.004148368,0.2,-3.573385793,0.00551955,0.001371183,0.0445,367,Lambir: 0.04 (367),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.02,-2.431991423,0.016701756,0.000237935,0.033,315,Pasoh: 0.03 (315),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.04,-2.41673868,0.016945696,0.000481874,0.033,315,Pasoh: 0.03 (315),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.06,-2.401310145,0.017195884,0.000732062,0.033,315,Pasoh: 0.03 (315),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.08,-2.385699985,0.017452578,0.000988757,0.033,315,Pasoh: 0.03 (315),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.1,-2.369902043,0.017716054,0.001252233,0.033,315,Pasoh: 0.03 (315),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.12,-2.353909809,0.017986602,0.001522781,0.033,315,Pasoh: 0.03 (315),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.14,-2.337716396,0.018264532,0.001800711,0.033,315,Pasoh: 0.03 (315),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.16,-2.321314503,0.018550173,0.002086352,0.033,315,Pasoh: 0.03 (315),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.18,-2.304696385,0.018843877,0.002380056,0.033,315,Pasoh: 0.03 (315),NA,NA
Pasoh,-2.37,-1.22,0.3,200,2,1.366040257,-2.447073903,0.016463821,0.2,-2.28785381,0.01914602,0.002682198,0.033,315,Pasoh: 0.03 (315),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.02,-1.417593947,0.042464328,0.000386341,0.033,58,Pal: 0.03 (58),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.04,-1.407092059,0.042858169,0.000780182,0.033,58,Pal: 0.03 (58),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.06,-1.396469133,0.043259776,0.001181789,0.033,58,Pal: 0.03 (58),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.08,-1.385721154,0.043669433,0.001591446,0.033,58,Pal: 0.03 (58),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.1,-1.374843882,0.044087438,0.002009451,0.033,58,Pal: 0.03 (58),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.12,-1.363832836,0.044514107,0.002436121,0.033,58,Pal: 0.03 (58),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.14,-1.352683273,0.044949777,0.002871791,0.033,58,Pal: 0.03 (58),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.16,-1.341390166,0.045394803,0.003316816,0.033,58,Pal: 0.03 (58),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.18,-1.329948183,0.045849562,0.003771576,0.033,58,Pal: 0.03 (58),NA,NA
Pal,-1.87,-0.84,0.3,200,2,1.366040257,-1.427978606,0.042077987,0.2,-1.318351656,0.046314458,0.004236471,0.033,58,Pal: 0.03 (58),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.02,-4.283352869,0.002736653,7.51E-05,0.047,85,Sinh: 0.05 (85),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.04,-4.254972766,0.00281477,0.000153246,0.047,85,Sinh: 0.05 (85),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.06,-4.226265573,0.002896035,0.000234511,0.047,85,Sinh: 0.05 (85),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.08,-4.19722044,0.002980624,0.0003191,0.047,85,Sinh: 0.05 (85),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.1,-4.167825908,0.003068724,0.0004072,0.047,85,Sinh: 0.05 (85),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.12,-4.138069866,0.003160534,0.00049901,0.047,85,Sinh: 0.05 (85),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.14,-4.107939499,0.00325627,0.000594746,0.047,85,Sinh: 0.05 (85),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.16,-4.077421223,0.003356167,0.000694643,0.047,85,Sinh: 0.05 (85),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.18,-4.046500626,0.003460473,0.000798949,0.047,85,Sinh: 0.05 (85),NA,NA
Sinh,-2.8,-2.27,0.3,200,2,1.366040257,-4.311416173,0.002661524,0.2,-4.015162392,0.003569461,0.000907937,0.047,85,Sinh: 0.05 (85),NA,NA
Fushan,-1.23,-3.71,0.3,200,2,1.366040257,-4.708514143,0.001793938,0.02,-4.662648566,0.001877661,8.37E-05,0.163,39,Fushan: 0.16 (39),NA,NA
