SiteID,MAPwclim, MATwclim,Beta_0,Beta_2,R2,nspp,SiteID_R2_nspp
BCI,2551,27.1,-1.52,-2.4,0.09,101,"BCI (R2 =0.08775, spp=101)"
Fushan,4271,18.2,-1.23,-3.71,0.16,39,"Fushan (R2 =0.163, spp=39)"
HHK,1476,23.5,-0.4,-1.4,0.12,42,"HHK (R2 =0.118, spp=42)"
Ituri,1682,24.3,-2.4,-2.34,0.05,101,"Ituri (R2 =0.0525, spp=101)"
Khao Chong,2611,27.1,-1.4,-2.07,0.07,104,"Khao Chong (R2 =0.074, spp=104)"
Lambir,2664,26.6,-2.42,-2.22,0.04,367,"Lambir (R2 =0.0445, spp=367)"
Luquillo,3548,22.8,-0.09,-1.87,0.13,32,"Luquillo (R2 =0.133, spp=32)"
Palanan,3380,26.1,-1.87,-0.84,0.03,58,"Palanan (R2 =0.033, spp=58)"
Pasoh,1788,27.9,-2.37,-1.22,0.03,315,"Pasoh (R2 =0.033, spp=315)"
Sinharaja,5016,22.5,-2.8,-2.27,0.05,85,"Sinharaja (R2 =0.047, spp=85)"
