tree,n_missing_total,n_missing_1980_on,n_outliers_total
KNC01A_raw,81,17,2
KNC01B_raw,31,11,8
KNC02A_raw,191,11,0
KNC02B_raw,82,11,3
KNC03A_raw,220,11,1
KNC03B_raw,157,11,1
KNC05A_raw,152,11,6
KNC05B_raw,156,11,7
KNC06A_raw,243,11,0
KNC06B_raw,197,11,2
KNC07A_raw,107,11,8
KNC07B_raw,100,11,7
KNC08A_raw,289,11,1
KNC08B_raw,198,11,1
KNC09A_raw,72,45,0
KNC09B_raw,116,11,1
KNC10A_raw,197,11,2
KNC10B_raw,234,11,2
KNC11A_raw,21,11,3
KNC11B_raw,11,11,12
KNC12A_raw,83,34,6
KNC12B_raw,81,11,2
KNC13A_raw,293,11,1
KNC13B_raw,275,12,0
KNC14A_raw,242,11,0
KNC14B_raw,209,11,4
KNC15A_raw,233,11,4
KNC15B_raw,170,11,4
KNC16A_raw,178,11,4
KNC16B_raw,167,17,6
KNC17A_raw,269,12,0
KNC17B_raw,265,17,2
KNC18A_raw,267,26,1
KNC18B_raw,227,21,3
KNC19A_raw,52,11,4
KNC19B_raw,203,12,1
KNC20B_raw,45,11,3
KNC21A_raw,127,11,2
KNC21B_raw,169,11,3
KNC22A_raw,107,11,8
KNC22B_raw,128,12,0
KNC22C_raw,187,11,3
KNC23A_raw,216,11,0
KNC23B_raw,248,11,0
