id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,7.2,1432,224,126,252,5.9,6.8,9.5,9.5,13.4,18.1,24.4,24,18.7,11.2,6.2,1.9,-1.8,-1,0.6,-0.2,2.4,5.8,8,7.8,5.1,1.1,-0.6,-5.2,2.1,2.9,5,4.7,7.9,12,16.2,15.9,11.9,6.1,2.8,-1.7,234,164,180,145,214,139,5,6,77,197,337,196
AG05,2,46.7473436,-121.8043788,940,5.9,1192,200,112,444,4.5,5.4,7.9,7.9,11.7,16.4,23,22.6,17.4,9.9,4.8,0.6,-3,-2.1,-0.6,-1.4,1.2,4.8,7.4,7.4,4.6,0.3,-1.7,-6.6,0.8,1.7,3.7,3.2,6.4,10.6,15.2,15,11,5.1,1.5,-3,275,191,202,163,221,139,6,7,89,224,386,227
AV06,3,46.77629794,-121.7842335,1069,5.2,1039,188,106,707,3.9,4.7,7.1,7,10.5,14.9,21.8,21.2,16,8.9,4.1,0.1,-3.7,-2.6,-1.2,-1.9,0.6,4.2,7.1,7.1,4.5,-0.1,-2.3,-7.3,0.1,1,2.9,2.5,5.6,9.6,14.4,14.1,10.2,4.4,0.9,-3.6,369,250,271,215,258,148,6,8,103,272,485,308
AM16,4,46.7686046,-121.757518,1206,4.5,923,175,100,882,3.4,4,6.3,6.1,9.5,13.8,20.8,20.1,14.9,8,3.4,-0.4,-4.2,-3.1,-1.9,-2.7,0,3.6,6.7,6.8,4.2,-0.6,-2.8,-7.9,-0.4,0.4,2.2,1.7,4.8,8.7,13.8,13.5,9.6,3.7,0.3,-4.2,382,258,283,224,263,147,7,8,108,281,500,320
AE10,5,46.76820597,-121.7432644,1455,3.5,760,157,91,1188,2.5,3,5.3,4.9,8.2,12.4,19.5,18.8,13.6,6.7,2.4,-1.3,-5.1,-4,-2.9,-3.7,-0.8,2.6,6,6.2,3.7,-1.4,-3.7,-8.7,-1.3,-0.5,1.2,0.6,3.7,7.5,12.8,12.5,8.7,2.7,-0.7,-5,405,272,304,238,270,147,7,8,110,290,526,344
PARA,6,46.77645454,-121.7323181,1620,2.9,664,146,85,1435,1.9,2.3,4.6,4.1,7.3,11.5,18.7,18,12.8,5.9,1.7,-2,-5.6,-4.6,-3.6,-4.3,-1.4,2,5.5,5.7,3.4,-1.9,-4.3,-9.2,-1.8,-1.1,0.5,-0.1,3,6.8,12.1,11.8,8.1,2,-1.3,-5.6,427,283,326,251,278,149,7,9,113,295,554,366
TA01,7,46.74125599,-121.5580695,709,6.3,1309,200,111,452,4.6,5.6,8.4,8.4,12.4,17.4,25.1,24.4,18.5,10.2,4.8,0.8,-3.1,-1.9,-0.5,-1.2,1.3,4.9,7.5,7.4,4.5,0.1,-1.7,-6.9,0.7,1.8,4,3.6,6.9,11.1,16.3,15.9,11.5,5.1,1.5,-3.1,260,196,194,146,162,104,6,6,78,205,404,262
AO03,8,46.82679491,-121.5481655,906,5.1,1091,178,95,493,3.3,4.3,7,7.1,10.9,16,23.4,23.1,16.8,8.8,3.6,-0.4,-4.1,-2.9,-1.6,-2.3,0.2,4,6.9,6.9,3.7,-0.7,-2.6,-8.1,-0.4,0.7,2.7,2.4,5.6,10,15.1,15,10.2,4.1,0.5,-4.2,213,150,181,121,126,89,5,6,61,157,339,211
AB08,9,46.92012097,-121.5372401,1061,4.3,942,165,89,550,2.4,3.3,6.1,6.3,9.9,14.8,21.9,21.6,15.6,7.9,2.7,-1.5,-4.7,-3.5,-2.3,-2.8,-0.3,3.3,6.4,6.3,3.2,-1.3,-3.3,-8.7,-1.2,-0.1,1.9,1.8,4.8,9.1,14.1,14,9.4,3.3,-0.3,-5.1,205,138,181,113,120,86,5,7,55,139,319,191
SUNR,10,46.92860325,-121.6550646,1817,2,575,130,76,1039,0.7,1.2,3.8,3.5,6.5,10.9,18,17.4,12.5,5.1,0.5,-3.3,-6.5,-5.4,-4.7,-5.1,-2.2,1.1,4.7,4.9,2.8,-2.8,-5.2,-10.1,-2.9,-2.1,-0.5,-0.8,2.1,6,11.3,11.1,7.7,1.1,-2.4,-6.7,263,180,208,139,165,105,6,9,70,159,348,231
