id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,9.1,1950,262,156,84,6.3,9.5,12.8,12.9,20.4,23,23,25.4,19.1,14.2,6.9,2.2,-0.6,1,1.4,2.5,5.1,8.8,9.7,9.3,5.3,4.1,-0.3,-3.7,2.9,5.2,7.1,7.7,12.8,15.9,16.4,17.4,12.2,9.1,3.3,-0.8,242,145,49,179,31,61,49,28,138,97,258,193
AG05,2,46.7473436,-121.8043788,940,7.9,1669,240,140,158,4.9,8.1,11.3,11.3,18.8,21.4,21.6,23.9,17.8,13,5.5,0.8,-1.8,-0.1,0.2,1.4,4,7.8,9.1,8.9,4.8,3.4,-1.4,-5,1.6,4,5.8,6.4,11.4,14.6,15.4,16.4,11.3,8.2,2,-2.1,279,166,54,200,33,61,54,29,160,108,296,224
AV06,3,46.77629794,-121.7842335,1069,7.2,1488,229,134,262,4.3,7.4,10.5,10.5,17.6,19.9,20.3,22.5,16.5,12,4.8,0.4,-2.5,-0.7,-0.3,0.8,3.5,7.3,8.8,8.6,4.7,3,-1.9,-5.7,0.9,3.4,5.1,5.7,10.6,13.6,14.6,15.6,10.6,7.5,1.4,-2.6,373,216,73,264,38,66,60,33,185,131,374,300
AM16,4,46.7686046,-121.757518,1206,6.5,1318,217,126,343,3.8,6.7,9.7,9.6,16.6,18.9,19.3,21.4,15.4,11.1,4.1,-0.2,-3,-1.2,-1,0.1,2.9,6.7,8.3,8.3,4.5,2.6,-2.5,-6.3,0.4,2.8,4.3,4.8,9.8,12.8,13.8,14.8,9.9,6.8,0.8,-3.2,384,223,75,275,39,66,61,33,192,134,384,314
AE10,5,46.76820597,-121.7432644,1455,5.5,1119,199,116,497,2.9,5.7,8.7,8.4,15.3,17.5,18,20.1,14.1,9.9,3.1,-1.1,-3.8,-2,-2,-0.9,2.1,5.7,7.6,7.7,4,1.8,-3.4,-7.1,-0.4,1.9,3.3,3.8,8.7,11.6,12.8,13.9,9.1,5.9,-0.1,-4.1,406,235,81,291,41,66,63,34,195,138,403,339
PARA,6,46.77645454,-121.7323181,1620,4.8,985,188,108,653,2.3,5,7.9,7.6,14.4,16.6,17.2,19.2,13.3,9.1,2.4,-1.8,-4.3,-2.6,-2.7,-1.5,1.5,5.1,7.1,7.2,3.7,1.3,-4,-7.6,-1,1.2,2.6,3,8,10.9,12.1,13.2,8.5,5.2,-0.8,-4.7,429,245,87,306,42,67,65,35,200,141,424,362
TA01,7,46.74125599,-121.5580695,709,8.4,1813,243,142,150,5,8.3,11.9,11.9,19.7,22.8,23.5,25.7,19,13.6,5.5,1,-1.6,0.1,0.5,1.6,4.3,8.2,9.1,8.9,4.9,3.4,-1.3,-5.1,1.7,4.2,6.2,6.8,12,15.5,16.3,17.3,11.9,8.5,2.1,-2,266,178,54,176,24,53,45,21,122,102,288,291
AO03,8,46.82679491,-121.5481655,906,7.2,1541,222,125,188,3.7,6.8,10.4,10.5,18.1,21.4,21.9,24.3,17.2,12,4.3,0,-2.7,-1,-0.5,0.5,3.3,7.3,8.5,8.3,4,2.6,-2.2,-6.2,0.5,2.9,5,5.5,10.7,14.3,15.2,16.3,10.6,7.3,1,-3.1,217,133,53,145,19,47,42,18,94,79,248,227
AB08,9,46.92012097,-121.5372401,1061,6.3,1339,209,117,233,2.7,5.8,9.4,9.7,16.9,20.1,20.4,22.8,16,11,3.4,-1.1,-3.3,-1.7,-1.2,-0.1,2.7,6.5,7.9,7.7,3.6,2,-2.7,-6.8,-0.3,2,4.1,4.8,9.8,13.3,14.1,15.2,9.8,6.5,0.3,-4,210,120,55,136,19,46,43,17,84,71,240,200
SUNR,10,46.92860325,-121.6550646,1817,4,845,170,97,530,1,3.7,7,6.9,13.4,16,16.5,18.6,12.8,8.2,1.2,-2.9,-5.2,-3.6,-3.7,-2.4,0.7,4.2,6.3,6.3,3.1,0.4,-4.7,-8.4,-2.1,0.1,1.6,2.2,7,10.1,11.4,12.5,8,4.3,-1.8,-5.7,268,152,62,169,26,52,61,23,116,81,270,226
