id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,8.3,1786,242,172,132,6.9,4.4,10.8,13,17.5,19.3,25.8,23.6,22.6,13.1,4,3.7,0.3,-3,0.2,2.5,4.7,6,9.7,8.8,8.1,2,-2.8,-2.6,3.6,0.7,5.5,7.8,11.1,12.7,17.8,16.2,15.4,7.6,0.6,0.6,184,245,150,105,97,109,24,13,76,272,310,279
AG05,2,46.7473436,-121.8043788,940,7.1,1527,220,159,242,5.6,3,9.2,11.5,15.9,17.7,24.5,22.2,21.4,11.8,2.6,2.3,-0.9,-4.1,-0.9,1.3,3.6,5,9.2,8.3,7.7,1.3,-4,-4,2.3,-0.5,4.1,6.4,9.8,11.3,16.9,15.2,14.5,6.6,-0.7,-0.9,216,286,167,119,104,111,26,12,87,316,359,316
AV06,3,46.77629794,-121.7842335,1069,6.4,1355,209,152,394,5,2.3,8.4,10.6,14.7,16.2,23.3,20.8,20,10.8,1.9,1.9,-1.5,-4.7,-1.5,0.7,3,4.5,8.9,8,7.6,0.9,-4.5,-4.6,1.8,-1.2,3.5,5.6,8.8,10.3,16.1,14.4,13.8,5.9,-1.3,-1.3,287,373,225,161,121,118,30,14,100,384,453,423
AM16,4,46.7686046,-121.757518,1206,5.7,1220,198,146,498,4.5,1.6,7.6,9.8,13.8,15.1,22.3,19.7,19,9.9,1.2,1.3,-2.1,-5.3,-2.2,0,2.4,3.9,8.5,7.7,7.4,0.5,-5.1,-5.2,1.2,-1.8,2.7,4.9,8.1,9.5,15.4,13.7,13.2,5.2,-1.9,-2,298,385,234,168,125,118,31,13,103,400,468,438
AE10,5,46.76820597,-121.7432644,1455,4.7,1035,181,136,694,3.6,0.6,6.6,8.6,12.4,13.7,21,18.4,17.7,8.6,0.2,0.4,-2.9,-6.1,-3.2,-1,1.6,2.9,7.8,7.1,6.9,-0.2,-6,-6,0.4,-2.8,1.7,3.8,7,8.3,14.4,12.8,12.3,4.2,-2.9,-2.8,317,406,251,178,129,118,32,14,104,416,492,470
PARA,6,46.77645454,-121.7323181,1620,4,929,169,129,865,3,-0.1,5.8,7.8,11.6,12.8,20.2,17.6,16.9,7.8,-0.5,-0.3,-3.4,-6.7,-3.9,-1.6,1,2.3,7.3,6.6,6.6,-0.8,-6.6,-6.5,-0.2,-3.4,0.9,3.1,6.3,7.6,13.8,12.1,11.8,3.5,-3.5,-3.4,333,422,268,189,134,119,33,14,107,427,516,500
TA01,7,46.74125599,-121.5580695,709,7.6,1682,224,162,229,6,3.4,9.8,12.3,16.8,18.9,26.7,24,22.8,12.2,2.8,2.6,-0.7,-4.2,-0.8,1.6,3.9,5.3,9.4,8.2,7.9,1.4,-3.9,-3.9,2.6,-0.4,4.5,7,10.3,12.1,18,16.1,15.4,6.8,-0.6,-0.6,212,291,146,112,89,82,24,8,63,340,354,364
AO03,8,46.82679491,-121.5481655,906,6.4,1432,204,146,270,4.7,2,8.3,10.8,15.3,17.4,25,22.7,21,10.8,1.6,1.5,-1.7,-5.3,-1.9,0.5,2.8,4.3,8.8,7.7,7,0.7,-4.7,-5,1.5,-1.6,3.2,5.7,9.1,10.8,16.9,15.2,14,5.8,-1.6,-1.8,167,220,139,96,67,69,23,7,49,261,302,286
AB08,9,46.92012097,-121.5372401,1061,5.6,1256,192,138,320,3.8,1,7.4,10,14.2,16.2,23.5,21.3,19.8,9.8,0.8,0.5,-2.3,-5.9,-2.6,-0.1,2.2,3.6,8.1,7.1,6.5,0.2,-5.3,-5.5,0.8,-2.5,2.4,5,8.2,9.9,15.8,14.2,13.2,5,-2.2,-2.5,155,199,140,93,62,66,25,7,43,230,288,254
SUNR,10,46.92860325,-121.6550646,1817,3.2,809,153,119,661,1.9,-1.2,4.9,7,10.7,12.2,19.5,17.2,16.5,7,-1.5,-1.4,-4.2,-7.7,-5,-2.4,0.2,1.4,6.4,5.7,6,-1.5,-7.3,-7.2,-1.2,-4.4,0,2.3,5.4,6.8,12.9,11.4,11.2,2.8,-4.4,-4.3,195,258,170,113,79,82,34,9,61,243,321,303
