id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,8,1645,241,157,101,5.6,6.2,9.3,10.4,18.1,17.9,22.2,24.4,21.4,12.6,8.3,3.5,-1.2,-3.2,-0.3,0.2,3.9,5.7,8.4,10.1,7.2,2.6,1.5,-2,2.2,1.5,4.5,5.3,11,11.8,15.3,17.2,14.3,7.6,4.9,0.8,99,100,134,150,97,141,37,46,30,196,321,304
AG05,2,46.7473436,-121.8043788,940,6.9,1408,218,143,195,4.3,4.8,7.8,8.9,16.6,16.3,20.9,23.1,20.3,11.4,7,2.1,-2.4,-4.3,-1.4,-1,2.7,4.7,7.9,9.7,6.8,1.9,0.5,-3.3,0.9,0.2,3.2,4,9.7,10.5,14.4,16.4,13.6,6.7,3.8,-0.6,115,118,151,167,102,144,38,46,34,227,360,348
AV06,3,46.77629794,-121.7842335,1069,6.2,1235,206,139,333,3.7,4.1,7,8.1,15.4,14.8,19.7,21.7,18.9,10.4,6.3,1.7,-3.1,-4.9,-2,-1.6,2.2,4.1,7.5,9.4,6.8,1.5,-0.1,-4,0.3,-0.4,2.5,3.2,8.8,9.4,13.6,15.6,12.8,6,3.1,-1.1,155,154,206,223,119,154,42,52,40,278,452,464
AM16,4,46.7686046,-121.757518,1206,5.5,1101,195,133,433,3.2,3.4,6.2,7.2,14.4,13.7,18.7,20.6,18,9.5,5.6,1.1,-3.6,-5.4,-2.7,-2.3,1.6,3.5,7.1,9.1,6.6,1.1,-0.6,-4.5,-0.2,-1,1.8,2.5,8,8.6,12.9,14.9,12.3,5.3,2.5,-1.7,160,160,216,232,122,154,42,51,41,288,462,483
AE10,5,46.76820597,-121.7432644,1455,4.5,923,176,124,623,2.3,2.4,5.2,6,13.1,12.3,17.4,19.4,16.7,8.3,4.6,0.2,-4.4,-6.3,-3.7,-3.3,0.7,2.5,6.4,8.5,6.1,0.3,-1.5,-5.3,-1.1,-2,0.8,1.4,6.9,7.4,11.9,13.9,11.4,4.3,1.5,-2.5,170,169,232,245,125,154,43,52,41,298,484,519
PARA,6,46.77645454,-121.7323181,1620,3.8,816,165,119,783,1.7,1.7,4.4,5.2,12.2,11.4,16.6,18.5,15.9,7.5,3.9,-0.5,-5,-6.9,-4.4,-3.9,0.2,1.9,5.9,8,5.8,-0.2,-2.1,-5.8,-1.6,-2.6,0,0.7,6.2,6.7,11.2,13.2,10.8,3.6,0.9,-3.1,179,176,250,258,129,155,43,55,42,305,509,552
TA01,7,46.74125599,-121.5580695,709,7.4,1568,222,148,180,4.3,5.1,8.4,9.7,17.5,17.4,23.1,25.3,22,12,7.1,2.3,-2.3,-4.3,-1.2,-0.8,3.1,4.9,8,9.7,7.1,2,0.5,-3,1,0.4,3.6,4.4,10.3,11.1,15.6,17.5,14.6,7,3.8,-0.4,115,126,147,142,74,103,25,33,25,219,356,414
AO03,8,46.82679491,-121.5481655,906,6.2,1309,200,132,233,3.1,3.7,6.9,8.2,15.9,16,21.5,23.9,20.1,10.4,5.9,1.3,-3.5,-5.4,-2.3,-1.8,1.9,3.9,7.4,9.1,6.3,1.1,-0.4,-4.1,-0.2,-0.9,2.3,3.2,8.9,9.9,14.4,16.5,13.2,5.8,2.8,-1.4,94,96,142,120,58,88,22,27,20,172,300,320
AB08,9,46.92012097,-121.5372401,1061,5.3,1132,187,125,289,2.1,2.6,5.9,7.4,14.7,14.7,20,22.3,18.8,9.4,5,0.3,-4.1,-6,-3.1,-2.4,1.3,3.2,6.8,8.5,5.8,0.5,-1,-4.6,-1,-1.7,1.4,2.5,8,8.9,13.4,15.4,12.3,5,2,-2.1,90,87,147,115,55,84,23,26,18,155,283,279
SUNR,10,46.92860325,-121.6550646,1817,2.9,706,148,108,604,0.5,0.5,3.5,4.4,11.2,10.6,16,17.9,15.3,6.6,2.7,-1.5,-5.9,-7.9,-5.5,-4.7,-0.7,1,5.1,7,5.2,-1.1,-3,-6.4,-2.7,-3.7,-1,-0.1,5.2,5.8,10.6,12.4,10.2,2.8,-0.1,-4,113,111,170,146,76,107,36,34,25,175,316,328
AR07,11,46.77625738,-121.7479238,1483,4.3,891,173,123,682,2.1,2.2,4.9,5.8,12.8,12,17.2,19,16.4,8.1,4.4,0,-4.6,-6.5,-3.9,-3.4,0.6,2.3,6.2,8.3,6,0.2,-1.7,-5.4,-1.2,-2.1,0.5,1.2,6.7,7.2,11.7,13.7,11.2,4.1,1.4,-2.7,176,174,244,253,128,156,43,54,42,304,501,540
AX15,12,46.75028896,-121.8246074,1105,6.3,1285,208,139,260,3.8,4.2,7.2,8.2,15.8,15.5,20.2,22.4,19.6,10.8,6.4,1.7,-2.8,-4.8,-2,-1.6,2.3,4.1,7.4,9.3,6.6,1.5,0,-3.7,0.5,-0.3,2.6,3.3,9.1,9.8,13.8,15.8,13.1,6.2,3.2,-1,126,126,166,179,104,144,39,48,35,235,384,378
TB13,13,46.74041198,-121.8480313,856,7.4,1518,227,148,149,4.8,5.3,8.4,9.5,17.4,17.2,21.7,23.9,21.1,12.1,7.5,2.7,-1.9,-3.9,-1,-0.5,3.2,5.1,8.1,9.8,6.9,2.2,0.9,-2.8,1.4,0.7,3.7,4.5,10.3,11.1,14.9,16.9,14,7.2,4.2,0,107,108,142,155,97,141,37,47,32,209,340,326
