id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,9.2,1978,260,181,83,5.8,6.3,10.9,13,20,23.8,23.8,25.6,21.5,14.9,6.1,5.9,-1.8,-0.3,1,2.4,4.9,7.2,9.2,8.9,8.6,5.4,-1.5,-1.2,2,3,6,7.7,12.4,15.5,16.5,17.2,15.1,10.2,2.3,2.4,102,361,196,197,118,80,80,53,112,185,197,138
AG05,2,46.7473436,-121.8043788,940,8,1716,238,166,171,4.4,4.8,9.5,11.4,18.5,22.2,22.5,24.2,20.3,13.8,4.7,4.6,-3,-1.5,-0.1,1.3,3.8,6.3,8.6,8.4,8.3,4.8,-2.6,-2.5,0.7,1.6,4.7,6.4,11.2,14.2,15.6,16.3,14.3,9.3,1,1,119,422,219,224,125,83,84,57,129,209,228,156
AV06,3,46.77629794,-121.7842335,1069,7.3,1523,227,160,296,3.8,4.1,8.7,10.6,17.3,20.7,21.3,22.8,18.9,12.7,4,4.2,-3.7,-2.1,-0.7,0.7,3.3,5.7,8.3,8.1,8.2,4.3,-3.1,-3.2,0,1,4,5.6,10.3,13.2,14.8,15.4,13.5,8.5,0.4,0.5,159,550,295,298,146,90,91,64,149,255,287,210
AM16,4,46.7686046,-121.757518,1206,6.6,1371,216,153,400,3.2,3.5,7.9,9.7,16.3,19.7,20.3,21.7,17.9,11.9,3.3,3.6,-4.2,-2.6,-1.4,0,2.7,5.1,7.9,7.8,8,3.9,-3.7,-3.7,-0.5,0.4,3.2,4.8,9.5,12.4,14.1,14.8,12.9,7.9,-0.2,-0.1,164,570,308,312,150,90,92,64,154,262,297,218
AE10,5,46.76820597,-121.7432644,1455,5.6,1174,198,141,607,2.3,2.5,6.9,8.5,15,18.3,19,20.4,16.6,10.6,2.3,2.7,-5.1,-3.5,-2.4,-1,1.8,4.2,7.2,7.2,7.5,3.1,-4.6,-4.5,-1.4,-0.5,2.2,3.8,8.4,11.2,13.1,13.8,12.1,6.8,-1.1,-0.9,176,602,331,331,155,90,94,66,157,270,312,235
PARA,6,46.77645454,-121.7323181,1620,5,1056,188,135,813,1.6,1.7,6.1,7.7,14.2,17.4,18.2,19.6,15.8,9.8,1.6,2,-5.6,-4.1,-3.1,-1.6,1.3,3.6,6.7,6.7,7.2,2.6,-5.2,-5,-2,-1.2,1.5,3,7.8,10.5,12.4,13.2,11.5,6.2,-1.8,-1.5,188,628,353,349,160,90,96,69,161,277,329,252
TA01,7,46.74125599,-121.5580695,709,8.5,1867,240,169,173,4.1,5.1,10.1,12,19.4,23.4,24.6,26.1,21.7,14.2,4.6,4.8,-3.1,-1.6,0.1,1.5,4.2,6.8,8.8,8.3,8.5,4.7,-2.7,-2.4,0.5,1.7,5.1,6.8,11.8,15.1,16.7,17.2,15.1,9.4,0.9,1.2,145,468,201,205,100,56,59,42,103,204,234,211
AO03,8,46.82679491,-121.5481655,906,7.3,1598,220,153,223,2.9,3.8,8.6,10.6,17.8,21.9,23,24.7,20,12.7,3.5,3.7,-4.1,-2.7,-1.1,0.4,3.1,5.8,8.1,7.7,7.6,3.9,-3.6,-3.6,-0.6,0.5,3.8,5.5,10.5,13.8,15.6,16.2,13.8,8.3,-0.1,0.1,116,349,188,169,76,49,54,33,80,160,200,166
AB08,9,46.92012097,-121.5372401,1061,6.4,1393,208,145,274,2,2.9,7.7,9.8,16.7,20.6,21.5,23.1,18.8,11.8,2.6,2.7,-4.7,-3.3,-1.8,-0.2,2.5,4.9,7.4,7.1,7.1,3.3,-4.2,-4.1,-1.4,-0.2,3,4.8,9.6,12.8,14.4,15.1,12.9,7.6,-0.8,-0.7,110,311,187,158,70,47,54,30,70,145,192,147
SUNR,10,46.92860325,-121.6550646,1817,4.1,913,170,124,666,0.4,0.8,5.3,7,13.2,16.6,17.5,18.9,15.5,8.9,0.5,0.9,-6.5,-5.1,-4.2,-2.5,0.5,2.6,5.7,5.7,6.6,1.7,-6.1,-5.7,-3,-2.1,0.5,2.2,6.8,9.6,11.6,12.3,11.1,5.3,-2.8,-2.4,126,389,222,193,93,62,80,40,94,162,209,165
