id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,7.7,1624,214,130,228,4,8.1,5.6,11.9,17.5,20.9,24,24.1,23.3,13.3,6.6,5.7,-3.5,-2,-2.9,-0.9,2.3,6.5,8.1,7.7,7,2,-2.5,-1.6,0.2,3,1.3,5.5,9.9,13.7,16,15.9,15.2,7.7,2,2,337,84,215,78,46,84,35,28,56,103,106,162
AG05,2,46.7473436,-121.8043788,940,6.6,1390,192,118,407,2.7,6.7,4.1,10.3,15.8,19.3,22.6,22.6,22.2,12.2,5.4,4.5,-4.7,-3.1,-4.2,-2.1,1.1,5.5,7.5,7.2,6.7,1.4,-3.5,-2.8,-1,1.8,-0.1,4.1,8.5,12.4,15.1,14.9,14.4,6.8,1,0.9,399,92,244,87,50,87,38,31,61,113,121,184
AV06,3,46.77629794,-121.7842335,1069,5.8,1238,182,113,657,2.1,6.1,3.3,9.5,14.6,17.8,21.4,21.2,20.9,11.2,4.7,4,-5.4,-3.7,-4.8,-2.7,0.6,5,7.2,6.9,6.6,0.9,-4.1,-3.5,-1.7,1.2,-0.8,3.4,7.6,11.4,14.3,14.1,13.8,6,0.3,0.2,534,120,330,115,58,93,42,35,70,138,152,247
AM16,4,46.7686046,-121.757518,1206,5.2,1107,172,108,801,1.6,5.4,2.5,8.6,13.7,16.7,20.4,20.1,19.9,10.4,4.1,3.5,-5.9,-4.2,-5.5,-3.4,0,4.3,6.8,6.6,6.4,0.5,-4.6,-4,-2.2,0.6,-1.5,2.6,6.8,10.5,13.6,13.4,13.1,5.4,-0.2,-0.2,554,121,346,120,60,93,43,36,71,140,156,256
AE10,5,46.76820597,-121.7432644,1455,4.2,930,157,99,1048,0.7,4.4,1.5,7.4,12.3,15.3,19.1,18.7,18.6,9.1,3.1,2.6,-6.7,-5.1,-6.5,-4.4,-0.9,3.4,6.1,6,5.9,-0.3,-5.5,-4.8,-3,-0.3,-2.5,1.5,5.7,9.3,12.6,12.3,12.2,4.4,-1.2,-1.1,589,126,373,127,63,93,44,37,72,143,164,275
PARA,6,46.77645454,-121.7323181,1620,3.5,834,148,94,1260,0.1,3.7,0.8,6.6,11.5,14.4,18.3,17.9,17.8,8.3,2.4,1.9,-7.3,-5.7,-7.2,-5,-1.4,2.8,5.6,5.5,5.6,-0.8,-6.1,-5.3,-3.6,-1,-3.2,0.8,5,8.6,11.9,11.7,11.7,3.8,-1.8,-1.7,622,132,398,133,65,95,45,39,74,147,173,292
TA01,7,46.74125599,-121.5580695,709,7.1,1540,196,123,367,2.9,7,4.8,10.9,16.7,20.3,24.7,24.3,23.8,12.8,5.6,4.4,-4.7,-3.2,-4,-1.8,1.6,5.8,7.7,7.1,6.9,1.3,-3.4,-2.6,-0.9,1.9,0.4,4.6,9.2,13.1,16.2,15.7,15.4,7.1,1.1,0.9,404,83,229,69,46,64,30,24,45,100,128,215
AO03,8,46.82679491,-121.5481655,906,5.9,1306,177,108,441,1.7,5.7,3.3,9.6,15.2,18.8,23,23,22,11.4,4.4,3.3,-5.7,-4.2,-5.1,-2.9,0.5,4.9,7.1,6.6,6,0.5,-4.3,-3.7,-2,0.8,-0.9,3.3,7.8,11.9,15.1,14.8,14,6,0.1,-0.2,326,65,216,57,35,55,28,21,37,80,108,169
AB08,9,46.92012097,-121.5372401,1061,5,1133,165,100,515,0.7,4.6,2.4,8.8,14.1,17.5,21.5,21.4,20.6,10.4,3.4,2.2,-6.3,-4.8,-5.7,-3.5,-0.2,4.1,6.5,6,5.5,-0.1,-4.8,-4.2,-2.8,-0.1,-1.7,2.7,7,10.8,14,13.7,13.1,5.2,-0.7,-1,311,62,219,54,32,52,28,20,35,75,102,151
SUNR,10,46.92860325,-121.6550646,1817,2.6,723,134,87,919,-1.1,2.6,0,5.9,10.6,13.6,17.5,17.3,17.2,7.5,1.2,0.5,-8.1,-6.6,-8.1,-5.9,-2.2,1.8,4.8,4.6,5,-1.7,-6.9,-5.9,-4.6,-2,-4,0,4.2,7.7,11.2,10.9,11.1,2.9,-2.9,-2.7,385,85,256,71,40,66,41,26,48,88,110,181
