id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,7.7,1565,247,154,212,1.4,5.5,6.5,13.2,15.5,17.2,23.1,21.4,19.6,15.9,7.9,6.2,-6.6,-1.3,-0.5,2,3.7,5.9,8.7,7.2,6.4,3,1.1,0.6,-2.6,2.1,3,7.6,9.6,11.6,15.9,14.3,13,9.4,4.5,3.4,241,221,144,111,42,102,19,52,92,39,289,354
AG05,2,46.7473436,-121.8043788,940,6.4,1305,224,138,377,0,4,4.9,11.6,13.8,15.6,21.8,19.9,18.4,14.7,6.5,4.9,-7.9,-2.5,-1.8,0.9,2.6,4.9,8.1,6.7,6,2.3,0.1,-0.6,-4,0.8,1.6,6.2,8.2,10.2,14.9,13.3,12.2,8.5,3.3,2.2,290,262,162,120,44,107,19,56,106,43,328,413
AV06,3,46.77629794,-121.7842335,1069,5.7,1142,212,131,603,-0.6,3.4,4.1,10.8,12.6,14.1,20.5,18.5,17.1,13.6,5.8,4.4,-8.6,-3.1,-2.4,0.3,2,4.3,7.8,6.4,5.9,1.9,-0.5,-1.3,-4.6,0.1,0.8,5.6,7.3,9.2,14.2,12.4,11.5,7.8,2.6,1.6,387,345,220,160,52,115,21,64,123,53,415,553
AM16,4,46.7686046,-121.757518,1206,5,997,199,124,731,-1.2,2.7,3.2,9.9,11.7,13,19.5,17.4,16,12.8,5.1,3.9,-9.1,-3.6,-3.1,-0.4,1.4,3.7,7.3,6,5.7,1.5,-1,-1.8,-5.1,-0.4,0.1,4.8,6.6,8.3,13.4,11.7,10.8,7.2,2,1,405,358,230,164,53,116,21,65,127,54,425,580
AE10,5,46.76820597,-121.7432644,1455,4,815,180,114,974,-2.1,1.7,2.2,8.7,10.3,11.6,18.2,16.1,14.7,11.5,4.1,3,-10,-4.5,-4.1,-1.4,0.6,2.7,6.6,5.4,5.2,0.7,-1.9,-2.6,-6,-1.4,-0.9,3.6,5.4,7.2,12.4,10.8,9.9,6.1,1.1,0.2,433,379,247,173,55,117,22,67,130,55,445,625
PARA,6,46.77645454,-121.7323181,1620,3.4,711,168,106,1174,-2.7,0.9,1.5,7.9,9.5,10.7,17.4,15.3,13.9,10.7,3.4,2.3,-10.5,-5.1,-4.8,-2,0,2.1,6.1,4.9,4.9,0.2,-2.5,-3.1,-6.6,-2.1,-1.6,3,4.8,6.4,11.8,10.1,9.4,5.4,0.4,-0.4,458,397,264,183,57,119,22,70,133,57,468,666
TA01,7,46.74125599,-121.5580695,709,6.8,1438,226,142,395,-0.1,4,5.4,12.3,14.7,16.7,23.8,21.7,19.7,15,6.5,5.1,-8,-2.6,-1.7,1.1,2.9,5,8,6.4,6.1,2.3,0.2,-0.5,-4,0.7,1.9,6.7,8.8,10.8,15.9,14.1,12.9,8.7,3.4,2.3,322,291,145,102,39,95,13,44,82,43,314,525
AO03,8,46.82679491,-121.5481655,906,5.7,1190,203,124,439,-1.4,2.7,4,10.9,13.2,15.3,22.2,20.4,18,13.5,5.3,4,-9.1,-3.7,-2.8,0,1.8,4.1,7.4,5.9,5.3,1.5,-0.8,-1.7,-5.2,-0.5,0.6,5.4,7.5,9.7,14.8,13.1,11.7,7.5,2.2,1.1,252,224,140,87,31,80,13,37,67,34,273,406
AB08,9,46.92012097,-121.5372401,1061,4.9,1024,190,115,492,-2.2,1.8,3.2,10.2,12.2,14.1,20.8,18.9,16.8,12.6,4.5,3,-9.7,-4.3,-3.5,-0.6,1.2,3.4,6.7,5.3,4.8,0.9,-1.4,-2.3,-5.9,-1.2,-0.1,4.8,6.7,8.8,13.8,12.1,10.8,6.8,1.6,0.4,233,207,146,83,31,75,14,35,63,31,268,353
SUNR,10,46.92860325,-121.6550646,1817,2.5,604,149,96,874,-3.9,-0.1,0.8,7.3,8.7,10.1,16.8,14.8,13.5,9.8,2.3,1.1,-11.4,-6.1,-5.8,-2.9,-0.7,1.3,5.2,4,4.3,-0.7,-3.4,-4,-7.7,-3.1,-2.5,2.2,4,5.7,11,9.4,8.9,4.6,-0.6,-1.4,277,259,176,106,40,86,21,45,85,35,303,403
AR07,11,46.77625738,-121.7479238,1483,3.8,782,176,111,1056,-2.3,1.4,2,8.5,10.1,11.3,18,15.8,14.5,11.3,3.9,2.8,-10.1,-4.7,-4.3,-1.6,0.4,2.5,6.4,5.2,5.1,0.6,-2.1,-2.8,-6.2,-1.7,-1.1,3.5,5.2,6.9,12.2,10.5,9.8,6,0.9,0,448,390,260,179,56,118,22,69,133,56,462,649
AX15,12,46.75028896,-121.8246074,1105,5.9,1195,213,132,473,-0.5,3.5,4.3,10.9,13.1,14.8,21.1,19.2,17.7,14.1,5.9,4.4,-8.3,-3,-2.4,0.3,2.1,4.3,7.7,6.3,5.8,1.9,-0.4,-1.1,-4.4,0.2,0.9,5.6,7.6,9.6,14.4,12.8,11.8,8,2.8,1.7,312,280,177,130,45,106,20,58,108,45,349,447
TB13,13,46.74041198,-121.8480313,856,7,1432,233,144,302,0.5,4.6,5.6,12.2,14.6,16.5,22.6,20.8,19.2,15.4,7.1,5.3,-7.4,-2.1,-1.3,1.3,3.1,5.3,8.3,6.9,6.1,2.6,0.5,-0.2,-3.5,1.2,2.1,6.8,8.8,10.9,15.5,13.9,12.6,9,3.8,2.5,266,240,152,114,42,103,19,54,97,40,307,383
