id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,8.5,1809,251,148,312,5.1,3.6,5.5,13.8,17,20.9,24.4,26,22.6,15.5,10.5,5.2,-0.9,-2.8,-1.9,1.8,3.1,5.6,8.6,8.2,6.2,4,3.1,-0.6,2.1,0.4,1.8,7.8,10.1,13.2,16.5,17.1,14.4,9.8,6.8,2.3,213,427,293,109,55,84,40,20,17,102,272,212
AG05,2,46.7473436,-121.8043788,940,7.4,1552,228,130,569,3.9,2.3,4,12.3,15.5,19.3,23.1,24.6,21.4,14.3,9.3,3.9,-2,-3.9,-3.2,0.7,1.9,4.6,8,7.8,5.8,3.3,2.1,-1.8,0.9,-0.8,0.4,6.5,8.7,11.9,15.6,16.2,13.6,8.8,5.7,1,248,513,337,122,59,87,41,22,20,117,304,240
AV06,3,46.77629794,-121.7842335,1069,6.6,1373,216,123,905,3.3,1.6,3.2,11.4,14.3,17.8,21.9,23.2,20.1,13.3,8.6,3.4,-2.7,-4.5,-3.8,0.1,1.4,4.1,7.7,7.5,5.7,2.8,1.5,-2.5,0.3,-1.4,-0.3,5.8,7.9,10.9,14.8,15.3,12.9,8.1,5,0.4,331,671,456,164,69,94,45,25,24,144,385,321
AM16,4,46.7686046,-121.757518,1206,6,1235,203,115,1110,2.7,1,2.4,10.6,13.3,16.8,20.9,22.1,19.1,12.5,8,2.9,-3.2,-5.1,-4.5,-0.6,0.8,3.4,7.3,7.2,5.5,2.4,1,-3,-0.2,-2,-1,5,7.1,10.1,14.1,14.7,12.3,7.4,4.5,-0.1,341,702,481,170,72,94,45,25,25,148,391,333
AE10,5,46.76820597,-121.7432644,1455,5,1045,184,103,1451,1.9,0,1.4,9.4,12,15.4,19.6,20.8,17.8,11.2,7,2,-4,-5.9,-5.5,-1.6,-0.1,2.5,6.6,6.6,5,1.6,0.1,-3.8,-1,-3,-2,3.9,6,8.9,13.1,13.7,11.4,6.4,3.5,-0.9,362,742,519,180,74,94,46,26,25,154,409,357
PARA,6,46.77645454,-121.7323181,1620,4.3,931,172,97,1731,1.3,-0.7,0.6,8.6,11.2,14.5,18.8,20,17,10.4,6.3,1.3,-4.6,-6.5,-6.3,-2.3,-0.6,1.9,6.1,6.1,4.7,1.1,-0.5,-4.3,-1.6,-3.6,-2.9,3.1,5.3,8.2,12.4,13.1,10.8,5.8,2.9,-1.5,382,774,557,190,76,95,47,28,26,157,430,380
TA01,7,46.74125599,-121.5580695,709,7.9,1701,230,133,557,4.2,2.8,4.6,13,16.4,20.5,25.1,26.6,22.9,14.8,9.6,4.2,-1.9,-4.1,-3.2,0.9,2.2,4.8,8.2,7.8,6,3.2,2.1,-1.7,1.2,-0.6,0.7,7,9.3,12.7,16.6,17.2,14.4,9,5.8,1.2,238,562,340,106,46,64,30,18,18,114,273,280
AO03,8,46.82679491,-121.5481655,906,6.7,1443,208,114,658,2.9,1.4,3.2,11.5,14.8,19,23.5,25.1,21,13.3,8.4,3.2,-3.1,-5.2,-4.3,-0.2,1.1,3.9,7.5,7.2,5.1,2.4,1.2,-2.8,-0.1,-1.9,-0.5,5.7,8,11.4,15.5,16.2,13.1,7.9,4.8,0.2,193,423,320,91,36,55,27,15,14,90,242,221
AB08,9,46.92012097,-121.5372401,1061,5.8,1244,193,104,761,1.9,0.3,2.3,10.6,13.7,17.7,22,23.5,19.7,12.4,7.5,2.1,-3.9,-5.9,-5.1,-0.8,0.4,3.1,6.9,6.6,4.6,1.8,0.5,-3.4,-1,-2.8,-1.4,4.9,7,10.4,14.4,15.1,12.1,7.1,4,-0.6,185,379,323,88,33,52,28,14,13,82,242,198
SUNR,10,46.92860325,-121.6550646,1817,3.4,798,152,85,1272,0.1,-1.8,-0.2,7.7,10.2,13.7,18.1,19.3,16.4,9.5,5.2,0.2,-5.7,-7.6,-7.4,-3.1,-1.5,0.9,5.2,5.1,4.1,0.2,-1.5,-5.1,-2.8,-4.7,-3.8,2.3,4.3,7.3,11.7,12.2,10.2,4.8,1.9,-2.4,235,476,365,111,45,66,42,17,17,92,281,235
AR07,11,46.77625738,-121.7479238,1483,4.8,1007,181,102,1557,1.7,-0.2,1.1,9.2,11.8,15.1,19.4,20.5,17.5,11,6.8,1.8,-4.2,-6.1,-5.7,-1.8,-0.2,2.3,6.4,6.4,4.9,1.5,-0.1,-3.9,-1.2,-3.1,-2.3,3.7,5.8,8.7,12.9,13.4,11.2,6.2,3.4,-1,376,762,543,186,76,95,46,27,26,157,425,372
AX15,12,46.75028896,-121.8246074,1105,6.8,1425,217,123,722,3.4,1.7,3.4,11.6,14.7,18.6,22.4,23.9,20.8,13.7,8.7,3.4,-2.4,-4.4,-3.8,0.1,1.5,4.1,7.6,7.4,5.5,2.8,1.6,-2.2,0.5,-1.4,-0.2,5.8,8.1,11.4,15,15.6,13.2,8.2,5.1,0.6,270,546,367,131,60,87,42,23,20,121,325,262
TB13,13,46.74041198,-121.8480313,856,7.9,1674,237,137,450,4.4,2.8,4.6,12.9,16.3,20.3,23.9,25.5,22.3,15,9.8,4.3,-1.5,-3.5,-2.7,1.2,2.4,5,8.2,7.9,5.9,3.6,2.4,-1.3,1.5,-0.4,0.9,7,9.3,12.7,16,16.7,14.1,9.3,6.1,1.5,231,466,314,113,56,84,40,21,18,108,287,226
