id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,8.1,1763,233,149,134,4.1,5.3,8.7,13.3,15.1,18.7,25.1,25.9,22.7,16,6,4.7,-4.4,-3.1,-1.8,1.6,3.8,6.2,9.9,9.9,6.3,3.6,-0.7,-1.2,-0.2,1.1,3.4,7.4,9.4,12.4,17.5,17.9,14.5,9.8,2.6,1.8,96,146,94,89,119,149,65,23,11,172,439,266
AG05,2,46.7473436,-121.8043788,940,7,1524,212,134,251,2.6,3.8,7.1,11.8,13.4,17.1,23.8,24.5,21.6,14.8,4.6,3.4,-5.6,-4.3,-3.1,0.5,2.6,5.3,9.3,9.4,5.9,2.9,-1.7,-2.6,-1.5,-0.2,2,6.2,8,11.2,16.6,17,13.8,8.8,1.4,0.4,108,173,104,99,128,151,66,24,14,197,516,310
AV06,3,46.77629794,-121.7842335,1069,6.2,1360,201,127,414,2.1,3.1,6.3,11,12.3,15.6,22.6,23.2,20.3,13.8,3.9,2.9,-6.3,-4.9,-3.7,-0.1,2,4.7,9,9.1,5.8,2.5,-2.3,-3.2,-2.1,-0.9,1.3,5.4,7.2,10.2,15.8,16.1,13.1,8.2,0.8,-0.2,143,226,142,132,150,162,71,27,17,239,649,416
AM16,4,46.7686046,-121.757518,1206,5.6,1222,190,120,528,1.5,2.5,5.5,10.1,11.3,14.5,21.6,22.1,19.3,13,3.2,2.4,-6.8,-5.4,-4.4,-0.8,1.4,4.1,8.5,8.8,5.6,2.1,-2.8,-3.8,-2.6,-1.5,0.5,4.6,6.4,9.3,15.1,15.5,12.4,7.6,0.2,-0.7,146,235,148,137,155,162,71,27,17,247,676,436
AE10,5,46.76820597,-121.7432644,1455,4.6,1042,174,110,733,0.6,1.5,4.5,8.9,10,13.1,20.3,20.8,18,11.7,2.2,1.5,-7.6,-6.3,-5.4,-1.8,0.6,3.1,7.8,8.2,5.1,1.3,-3.7,-4.6,-3.5,-2.4,-0.5,3.6,5.3,8.1,14.1,14.5,11.6,6.5,-0.8,-1.5,155,248,158,145,161,161,73,27,18,255,714,470
PARA,6,46.77645454,-121.7323181,1620,3.9,937,163,103,914,-0.1,0.8,3.8,8.1,9.1,12.2,19.5,20,17.2,10.9,1.5,0.8,-8.2,-6.9,-6.1,-2.4,0,2.5,7.3,7.7,4.8,0.8,-4.3,-5.1,-4.1,-3.1,-1.1,2.8,4.6,7.3,13.4,13.8,11,5.9,-1.4,-2.1,164,260,169,152,167,162,74,29,18,261,752,502
TA01,7,46.74125599,-121.5580695,709,7.4,1668,213,136,243,2.3,4.2,7.7,12.6,14.3,18.2,26,26.5,23.2,15.4,4.5,3.7,-5.8,-4.3,-3,0.7,2.8,5.4,9.2,9.3,6,2.9,-1.6,-2.6,-1.8,0,2.4,6.6,8.6,11.8,17.6,17.9,14.6,9.2,1.4,0.6,114,196,87,79,112,104,40,17,12,184,569,396
AO03,8,46.82679491,-121.5481655,906,6.2,1424,194,119,291,1.1,2.9,6.3,11.2,12.9,16.7,24.4,25.2,21.4,13.9,3.4,2.6,-6.8,-5.4,-4.1,-0.4,1.7,4.5,8.6,8.8,5.2,2.1,-2.6,-3.7,-2.8,-1.3,1.1,5.4,7.3,10.6,16.5,17,13.3,8,0.4,-0.6,90,147,87,67,86,89,37,14,9,143,476,307
AB08,9,46.92012097,-121.5372401,1061,5.4,1251,182,110,340,0.3,1.9,5.4,10.4,11.8,15.5,22.9,23.8,20.2,12.9,2.5,1.6,-7.3,-5.9,-4.7,-0.9,1.1,3.8,8,8.2,4.7,1.5,-3.2,-4.3,-3.5,-2,0.4,4.8,6.4,9.7,15.4,16,12.4,7.2,-0.4,-1.3,85,132,92,65,80,85,37,13,9,128,445,269
SUNR,10,46.92860325,-121.6550646,1817,3.1,837,148,92,689,-1.2,-0.2,3,7.4,8.3,11.5,18.8,19.5,16.8,10.1,0.4,-0.3,-9.1,-7.8,-7.1,-3.2,-0.8,1.6,6.4,6.8,4.2,-0.1,-5.2,-5.9,-5.1,-4,-2,2.1,3.8,6.6,12.6,13.2,10.5,5,-2.4,-3.1,103,163,114,85,102,111,59,17,12,145,470,307
