id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,8.4,1762,259,170,197,5.2,5.8,6.3,11.8,15.5,16.8,23.2,25.2,22.7,14.3,8.4,3.4,-1.6,-0.9,-0.8,2.3,4,6.4,9.8,10.7,7.7,4.5,2,-1.1,1.8,2.4,2.8,7.1,9.8,11.6,16.5,18,15.2,9.4,5.2,1.1,275,241,304,153,134,145,31,7,5,273,268,313
AG05,2,46.7473436,-121.8043788,940,7.3,1513,238,155,378,3.9,4.4,4.8,10.3,13.8,15.2,21.9,23.8,21.6,13.1,7.1,2.1,-2.6,-2,-2,1.2,2.9,5.4,9.3,10.3,7.5,4,1.1,-2.4,0.6,1.2,1.4,5.8,8.3,10.3,15.6,17,14.6,8.6,4.1,-0.1,324,290,342,167,138,149,32,8,5,311,303,358
AV06,3,46.77629794,-121.7842335,1069,6.6,1337,226,149,629,3.3,3.7,4,9.5,12.6,13.7,20.6,22.5,20.2,12,6.4,1.7,-3.3,-2.6,-2.6,0.7,2.4,4.9,9,10,7.4,3.6,0.6,-3.1,0,0.6,0.7,5.1,7.5,9.3,14.8,16.2,13.8,7.8,3.5,-0.7,433,382,458,221,161,161,35,9,7,378,382,480
AM16,4,46.7686046,-121.757518,1206,5.9,1198,214,142,811,2.7,3,3.2,8.6,11.7,12.6,19.7,21.4,19.2,11.1,5.8,1.1,-3.8,-3.1,-3.2,0,1.8,4.2,8.6,9.7,7.2,3.1,0,-3.6,-0.5,-0.1,0,4.3,6.8,8.4,14.1,15.5,13.2,7.1,2.9,-1.2,449,398,480,228,164,160,35,9,7,389,392,498
AE10,5,46.76820597,-121.7432644,1455,4.9,1022,196,130,1129,1.9,2,2.2,7.4,10.3,11.2,18.4,20.1,17.9,9.9,4.8,0.2,-4.6,-4,-4.2,-1,0.9,3.3,7.9,9.1,6.8,2.4,-0.8,-4.4,-1.3,-1,-1,3.2,5.6,7.2,13.1,14.6,12.3,6.2,2,-2.1,477,421,516,241,169,160,36,9,7,403,411,535
PARA,6,46.77645454,-121.7323181,1620,4.2,923,184,124,1406,1.3,1.3,1.5,6.6,9.5,10.3,17.6,19.2,17.1,9.1,4.1,-0.5,-5.2,-4.6,-5,-1.7,0.4,2.7,7.4,8.6,6.5,1.9,-1.4,-4.9,-2,-1.6,-1.8,2.4,5,6.5,12.5,13.9,11.8,5.5,1.3,-2.7,503,439,552,253,173,163,37,10,7,413,431,571
TA01,7,46.74125599,-121.5580695,709,7.8,1657,241,159,329,4.2,4.8,5.5,11,14.7,16.3,24.2,25.8,22.9,13.4,7.2,2.6,-2.6,-2.1,-1.7,1.5,3.2,5.6,9.4,10.2,7.8,4,1.3,-2.2,0.8,1.3,1.9,6.2,8.9,10.9,16.8,18,15.3,8.7,4.2,0.2,330,311,331,139,98,112,26,8,5,313,294,434
AO03,8,46.82679491,-121.5481655,906,6.6,1402,219,141,433,2.8,3.4,4,9.6,13.2,14.9,22.4,24.4,21.1,11.9,6,1.5,-3.7,-3.2,-2.9,0.4,2.1,4.7,8.8,9.6,6.9,3.2,0.3,-3.3,-0.5,0.1,0.6,5,7.6,9.8,15.6,17,14,7.6,3.1,-0.9,263,240,306,117,76,97,24,6,4,242,250,342
AB08,9,46.92012097,-121.5372401,1061,5.7,1214,206,133,527,1.9,2.4,3.1,8.7,12.1,13.6,20.8,22.8,19.8,10.9,5,0.5,-4.3,-3.7,-3.6,-0.2,1.5,3.9,8.2,9,6.4,2.6,-0.4,-3.8,-1.2,-0.7,-0.2,4.2,6.8,8.8,14.5,15.9,13.1,6.8,2.3,-1.6,247,222,302,112,72,94,26,5,5,216,239,304
SUNR,10,46.92860325,-121.6550646,1817,3.3,801,166,112,1053,0.1,0.3,0.6,5.8,8.6,9.6,16.7,18.7,16.5,8.1,2.8,-1.5,-6.1,-5.6,-6.1,-2.6,-0.4,1.7,6.5,7.6,5.8,0.9,-2.4,-5.6,-3,-2.6,-2.8,1.6,4.1,5.6,11.6,13.1,11.2,4.5,0.2,-3.5,306,280,348,143,102,118,36,6,7,237,269,355
