id1,id2,lat,long,elev,MAT,DD5,NFFD,FFP,PAS,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12
TO04,1,46.7404328,-121.8883492,681,7.1,1559,222,138,304,0.4,4.4,8.7,10.7,15.2,22.2,22.5,24.1,21.7,14.6,6.8,1.6,-6.4,-1.3,-1,0.2,2.5,6.1,7.1,6.7,6.4,3.4,0.5,-6.2,-3,1.6,3.8,5.4,8.8,14.1,14.8,15.4,14.1,9,3.6,-2.3,336,273,95,65,78,30,49,14,82,125,486,125
AG05,2,46.7473436,-121.8043788,940,6,1336,202,125,510,-1,3,7.2,9.1,13.6,20.6,21.2,22.7,20.5,13.5,5.4,0.3,-7.6,-2.4,-2.2,-0.9,1.4,5.1,6.5,6.2,6.1,2.7,-0.5,-7.6,-4.3,0.3,2.5,4.1,7.5,12.9,13.8,14.4,13.3,8.1,2.5,-3.6,404,321,108,74,78,30,50,15,98,140,555,143
AV06,3,46.77629794,-121.7842335,1069,5.2,1185,191,119,797,-1.6,2.3,6.4,8.3,12.4,19.1,20,21.3,19.2,12.5,4.8,-0.1,-8.3,-3,-2.8,-1.5,0.8,4.6,6.1,5.9,6,2.3,-1.1,-8.3,-5,-0.4,1.8,3.4,6.6,11.9,13.1,13.6,12.6,7.4,1.8,-4.2,540,421,146,98,90,32,54,17,116,170,703,196
AM16,4,46.7686046,-121.757518,1206,4.5,1047,180,112,951,-2.1,1.7,5.6,7.4,11.5,18,19,20.3,18.2,11.6,4.1,-0.6,-8.9,-3.6,-3.5,-2.2,0.2,3.9,5.7,5.6,5.8,1.9,-1.6,-8.9,-5.5,-1,1,2.6,5.8,10.9,12.3,12.9,12,6.8,1.2,-4.8,564,436,154,102,91,32,55,17,121,174,722,202
AE10,5,46.76820597,-121.7432644,1455,3.6,874,163,101,1209,-3,0.7,4.6,6.2,10.1,16.7,17.7,19,16.9,10.4,3.1,-1.5,-9.7,-4.4,-4.5,-3.2,-0.7,3,5,5,5.3,1.1,-2.5,-9.7,-6.3,-1.9,0,1.5,4.7,9.8,11.3,12,11.1,5.8,0.3,-5.6,601,460,166,108,93,32,56,18,124,180,759,218
PARA,6,46.77645454,-121.7323181,1620,2.9,772,152,96,1416,-3.6,0,3.9,5.4,9.3,15.8,16.9,18.1,16.1,9.6,2.4,-2.2,-10.3,-5,-5.2,-3.9,-1.2,2.3,4.5,4.5,5,0.6,-3.1,-10.2,-7,-2.5,-0.7,0.8,4.1,9.1,10.7,11.3,10.6,5.1,-0.4,-6.2,635,478,177,114,95,32,57,19,128,184,800,235
TA01,7,46.74125599,-121.5580695,709,6.4,1480,203,127,509,-1,3.5,7.9,9.8,14.6,21.8,23.3,24.7,22,14,5.7,0.5,-7.8,-2.5,-2.1,-0.8,1.6,5.4,6.5,6.1,6.3,2.7,-0.4,-7.7,-4.4,0.5,2.9,4.5,8.1,13.6,14.9,15.4,14.2,8.3,2.6,-3.6,425,327,105,64,52,24,37,12,82,132,562,186
AO03,8,46.82679491,-121.5481655,906,5.2,1250,183,110,539,-2.3,2.2,6.4,8.4,13.1,20.3,21.7,23.3,20.3,12.5,4.6,-0.5,-9,-3.7,-3.2,-1.9,0.5,4.4,5.8,5.5,5.4,1.9,-1.4,-8.8,-5.7,-0.8,1.6,3.2,6.8,12.4,13.8,14.4,12.9,7.2,1.6,-4.7,338,250,99,53,40,20,32,10,68,103,488,154
AB08,9,46.92012097,-121.5372401,1061,4.4,1071,170,102,580,-3.2,1.3,5.5,7.5,12,18.9,20.2,21.7,19,11.5,3.7,-1.6,-9.6,-4.3,-3.9,-2.5,-0.1,3.6,5.2,4.9,4.9,1.2,-2,-9.3,-6.4,-1.5,0.8,2.5,6,11.2,12.7,13.3,11.9,6.3,0.9,-5.4,317,230,99,50,38,20,32,9,65,93,478,145
SUNR,10,46.92860325,-121.6550646,1817,2,655,134,87,983,-4.8,-0.9,3,4.6,8.5,14.9,16.2,17.5,15.7,8.6,1.3,-3.4,-11.3,-6.1,-6.3,-4.8,-2,1.4,3.6,3.5,4.4,-0.4,-4,-10.8,-8.1,-3.5,-1.6,-0.1,3.2,8.2,9.9,10.5,10.1,4.1,-1.4,-7.1,384,299,114,63,56,23,46,12,86,106,523,164
