tree,n_missing_total,n_missing_1980_on,n_outliers_total
FBU01A_raw,70,0,3
FBU01B_raw,87,0,2
FBU02A_raw,151,0,0
FBU03B_raw,64,0,1
FBU04A_raw,104,0,2
FBU04B_raw,64,0,3
FBU05A_raw,76,0,1
FBU05B_raw,78,0,2
FBU06A_raw,96,0,1
FBU06B_raw,68,0,1
FBU07A_raw,11,0,1
FBU08A_raw,55,0,3
FBU09A_raw,84,0,1
FBU09B_raw,88,0,3
FBU10B_raw,32,0,0
FBU12A_raw,151,0,0
FBU12B_raw,139,0,0
FBU13A_raw,10,0,2
FBU13B_raw,36,0,1
FBU14A_raw,87,0,1
FBU14B_raw,148,0,2
FBU15A_raw,20,0,2
FBU15B_raw,44,0,2
FBU16B_raw,89,0,2
FBU17A_raw,0,0,3
FBU17B_raw,75,0,2
FBU19A_raw,39,0,0
FBU19B_raw,12,0,3
FBU20A_raw,19,0,2
FBU20B_raw,56,0,4
FBU22A_raw,11,0,2
FBU22B_raw,25,0,1
