age_CE,FMLM01A_raw,FMLM02A_raw,FMLM03A_raw,FMLM04A_raw,FMLM05A_raw,FMLM06A_raw,FMLM07A_raw,FMLM08A_raw,FMLM09A_raw,FMLM10A_raw,FMLM11A_raw,FMLM12A_raw,FMLM13A_raw,FMLM14A_raw,FMLM16A_raw,FMLM17A_raw,FMLM19A_raw,FMLM20A_raw,FMLM01A_raw_outlier_flag,FMLM02A_raw_outlier_flag,FMLM03A_raw_outlier_flag,FMLM04A_raw_outlier_flag,FMLM05A_raw_outlier_flag,FMLM06A_raw_outlier_flag,FMLM07A_raw_outlier_flag,FMLM08A_raw_outlier_flag,FMLM09A_raw_outlier_flag,FMLM10A_raw_outlier_flag,FMLM11A_raw_outlier_flag,FMLM12A_raw_outlier_flag,FMLM13A_raw_outlier_flag,FMLM14A_raw_outlier_flag,FMLM16A_raw_outlier_flag,FMLM17A_raw_outlier_flag,FMLM19A_raw_outlier_flag,FMLM20A_raw_outlier_flag
1863,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,1.72,NA,NA,NA,1.41,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1868,2.03,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1869,2.56,NA,NA,NA,2.33,NA,NA,NA,NA,NA,NA,1.61,NA,NA,NA,NA,NA,1.69,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1870,1.88,NA,NA,2.35,1.64,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,1.81,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1871,2.24,NA,NA,2.07,1.95,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,1.57,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1872,2.53,NA,NA,1.37,1.94,NA,NA,NA,NA,NA,NA,1.09,NA,NA,NA,NA,NA,1.87,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1873,2.75,NA,NA,1.81,1.14,NA,NA,NA,NA,1.52,NA,0.9,NA,NA,NA,NA,NA,2.45,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1874,1.86,NA,NA,2.57,1.71,NA,1.67,NA,NA,1.73,NA,1.77,NA,NA,NA,NA,NA,2.24,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
1875,1.67,NA,NA,2.07,1.52,NA,1.66,1.65,NA,1.68,NA,1.02,NA,NA,2.1,1.46,1.8,2.43,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1876,1.44,NA,NA,1.85,1.12,NA,1.59,1.11,NA,1.7,NA,0.97,NA,NA,1.58,1.08,1.42,2.73,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1877,2.42,NA,NA,2.59,2.21,NA,2.01,1.86,NA,2.63,NA,1.39,NA,NA,3.22,2.37,2.49,2.81,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,TRUE,TRUE,FALSE,FALSE
