age_CE,96B201a_raw,96B201b_raw,96B202a_raw,96B202b_raw,96B203b_raw,96B204a_raw,96B204b_raw,96B205a_raw,96B205b_raw,96B206a_raw,96B206b_raw,96B207a_raw,96B211a_raw,96B211b_raw,96B212b_raw,96B213b_raw,96B214b_raw,96B215a_raw,96B215b_raw,96B216a_raw,96B218a_raw,96B218b_raw,96B219a_raw,96B219b_raw,96B201a_raw_outlier_flag,96B201b_raw_outlier_flag,96B202a_raw_outlier_flag,96B202b_raw_outlier_flag,96B203b_raw_outlier_flag,96B204a_raw_outlier_flag,96B204b_raw_outlier_flag,96B205a_raw_outlier_flag,96B205b_raw_outlier_flag,96B206a_raw_outlier_flag,96B206b_raw_outlier_flag,96B207a_raw_outlier_flag,96B211a_raw_outlier_flag,96B211b_raw_outlier_flag,96B212b_raw_outlier_flag,96B213b_raw_outlier_flag,96B214b_raw_outlier_flag,96B215a_raw_outlier_flag,96B215b_raw_outlier_flag,96B216a_raw_outlier_flag,96B218a_raw_outlier_flag,96B218b_raw_outlier_flag,96B219a_raw_outlier_flag,96B219b_raw_outlier_flag
1699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1702,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1703,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1704,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1705,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1706,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,1.49,NA,NA,NA,0.65,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1707,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,0.96,NA,NA,NA,0.89,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
1708,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,0.8,NA,NA,NA,0.84,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE
