tree,n_missing_total,n_missing_1980_on,n_outliers_total
BLU01A_raw,269,44,10
BLU01X_raw,481,45,4
BLU01Y_raw,393,45,5
BLU01Z_raw,551,45,1
BLU02A_raw,312,44,2
BLU02B_raw,276,44,5
BLU02X_raw,572,45,1
BLU02Y_raw,465,45,1
BLU03A_raw,456,45,2
BLU03B_raw,432,45,1
BLU03X_raw,549,45,1
BLU03Y_raw,548,45,1
BLU04A_raw,445,44,2
BLU04B_raw,368,44,6
BLU05A_raw,562,44,0
BLU05B_raw,567,44,1
BLU05C_raw,579,44,1
BLU06A_raw,158,45,3
BLU06B_raw,353,45,0
BLU07A_raw,543,44,1
BLU07B_raw,540,44,2
BLU08A_raw,311,44,5
BLU08B_raw,309,44,9
BLU10A_raw,570,45,3
BLU10B_raw,485,44,0
BLU10C_raw,436,44,2
BLU11A_raw,336,44,1
BLU11B_raw,325,44,3
BLU12A_raw,373,44,4
BLU12B_raw,379,44,5
BLU13A_raw,276,45,14
BLU13B_raw,260,45,9
BLU14A_raw,402,45,3
BLU14B_raw,401,45,2
BLU15A_raw,515,45,1
BLU15B_raw,546,44,2
BLU16A_raw,449,45,6
BLU16B_raw,449,45,5
BLU17A_raw,580,44,1
BLU18A_raw,498,45,2
BLU18B_raw,171,45,7
BLU18Y_raw,510,45,1
BLU19A_raw,486,44,4
BLU19B_raw,491,45,1
BLU20A_raw,241,45,10
BLU20B_raw,249,45,4
BLU20X_raw,567,45,0
BLU21A_raw,192,44,9
BLU21B_raw,324,44,3
BLU22A_raw,310,45,11
BLU22B_raw,559,45,0
BLU23A_raw,256,44,5
BLU23B_raw,303,44,3
BLU23C_raw,315,44,1
BLU23D_raw,159,44,4
BLU23E_raw,234,44,4
BLU24A_raw,452,44,2
BLU24B_raw,448,44,2
BLU25A_raw,352,44,3
BLU25B_raw,333,44,6
BLU26A_raw,434,45,4
BLU26B_raw,298,45,8
BLU26Y_raw,589,44,0
BLU27B_raw,402,44,0
BLU28A_raw,153,44,14
BLU28B_raw,142,44,3
BLU29A_raw,565,44,0
BLU29B_raw,565,44,1
BLU30A_raw,593,44,1
BLU30B_raw,593,44,0
BLU30C_raw,596,44,0
BLU30D_raw,596,44,0
