age_CE,KLT02A_raw,KLT02B_raw,KLT03A_raw,KLT03B_raw,KLT04A_raw,KLT04B_raw,KLT06A_raw,KLT06B_raw,KLT02A_raw_outlier_flag,KLT02B_raw_outlier_flag,KLT03A_raw_outlier_flag,KLT03B_raw_outlier_flag,KLT04A_raw_outlier_flag,KLT04B_raw_outlier_flag,KLT06A_raw_outlier_flag,KLT06B_raw_outlier_flag
1482,NA,NA,NA,NA,NA,NA,2.51,2.62,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1483,NA,NA,NA,NA,NA,NA,2.1,2.56,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1484,NA,NA,NA,NA,NA,NA,2.22,2.11,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1485,NA,NA,NA,NA,NA,NA,2.34,2.13,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1486,NA,NA,NA,NA,NA,NA,1.06,0.84,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1487,NA,NA,NA,NA,NA,NA,1.57,1.3,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1488,NA,NA,NA,NA,NA,NA,1.94,1.78,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1489,NA,NA,NA,NA,NA,NA,1.87,2,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1490,NA,NA,NA,NA,NA,NA,1.67,1.59,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1491,NA,NA,NA,NA,NA,NA,1.55,1.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1492,NA,NA,NA,NA,NA,NA,1.68,1.76,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1493,NA,NA,NA,NA,NA,NA,1.79,1.84,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1494,NA,NA,NA,NA,NA,NA,1.96,1.79,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1495,NA,NA,NA,NA,NA,NA,1.96,1.94,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1496,NA,NA,NA,NA,NA,NA,2.58,2.74,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1497,NA,NA,NA,NA,NA,NA,2.47,2.45,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1498,NA,NA,NA,NA,NA,NA,2.15,2.17,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1499,NA,NA,NA,NA,NA,NA,2.36,2.19,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1500,NA,NA,NA,NA,NA,NA,2.56,2.63,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1501,NA,NA,NA,NA,NA,NA,2.08,2.3,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1502,NA,NA,NA,NA,NA,NA,2.61,2.62,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1503,NA,NA,NA,NA,NA,NA,3.7,3.74,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1504,NA,NA,NA,NA,NA,NA,2.53,2.99,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1505,NA,NA,NA,NA,NA,NA,2.59,2.85,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1506,NA,NA,NA,NA,NA,NA,2.25,2.54,NA,NA,NA,NA,NA,NA,FALSE,FALSE
