age_CE,01C407a_raw,01C409a_raw,01C409b_raw,01C411a_raw,01C411b_raw,01C414a_raw,01C414b_raw,01C415a_raw,01C415b_raw,01C417b_raw,01C419b_raw,01C420b_raw,01C421a_raw,01C421b_raw,01C422a_raw,01C422b_raw,01C424a_raw,01C424b_raw,01C426a_raw,01C427b_raw,01C407a_raw_outlier_flag,01C409a_raw_outlier_flag,01C409b_raw_outlier_flag,01C411a_raw_outlier_flag,01C411b_raw_outlier_flag,01C414a_raw_outlier_flag,01C414b_raw_outlier_flag,01C415a_raw_outlier_flag,01C415b_raw_outlier_flag,01C417b_raw_outlier_flag,01C419b_raw_outlier_flag,01C420b_raw_outlier_flag,01C421a_raw_outlier_flag,01C421b_raw_outlier_flag,01C422a_raw_outlier_flag,01C422b_raw_outlier_flag,01C424a_raw_outlier_flag,01C424b_raw_outlier_flag,01C426a_raw_outlier_flag,01C427b_raw_outlier_flag
1735,NA,NA,NA,NA,NA,NA,NA,0.51,0.67,0.82,NA,NA,NA,NA,NA,NA,0.85,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1736,NA,NA,NA,NA,NA,NA,NA,0.67,0.63,0.96,NA,NA,NA,NA,NA,NA,1.06,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA
1737,NA,NA,NA,NA,NA,NA,NA,0.5,0.57,1.24,NA,NA,NA,NA,NA,NA,1.13,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1738,NA,NA,NA,NA,NA,NA,NA,0.59,0.57,1.01,NA,NA,NA,NA,NA,NA,1.05,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA
1739,NA,NA,NA,NA,NA,NA,NA,0.52,0.6,1.04,NA,NA,NA,NA,NA,NA,0.76,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1740,NA,NA,NA,NA,NA,NA,NA,0.57,0.63,1.04,NA,NA,NA,NA,NA,NA,0.76,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1741,NA,NA,NA,NA,NA,NA,NA,0.6,0.67,1.01,NA,NA,NA,NA,NA,NA,0.81,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1742,NA,NA,NA,NA,NA,NA,NA,0.54,0.57,0.72,NA,NA,NA,NA,NA,NA,0.77,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1743,NA,NA,NA,NA,NA,NA,NA,0.51,0.7,0.91,NA,NA,NA,1.04,NA,NA,0.79,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1744,NA,NA,NA,NA,NA,NA,NA,0.53,0.63,0.37,NA,NA,NA,0.57,NA,NA,0.6,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1745,NA,NA,NA,NA,NA,NA,NA,0.55,0.63,2.13,NA,NA,NA,0.76,NA,NA,0.73,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1746,NA,NA,NA,NA,NA,NA,NA,0.41,0.48,1.37,NA,NA,NA,1,NA,NA,0.6,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1747,NA,NA,NA,0.56,NA,NA,NA,0.57,0.6,1.34,NA,NA,NA,1.47,NA,NA,0.94,0.91,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,TRUE,FALSE,NA,NA
