age_CE,CA2012_raw,CA2021_raw,CA2052_raw,CA2071_raw,CA2121_raw,CA2161_raw,CA2171_raw,CA2012_raw_outlier_flag,CA2021_raw_outlier_flag,CA2052_raw_outlier_flag,CA2071_raw_outlier_flag,CA2121_raw_outlier_flag,CA2161_raw_outlier_flag,CA2171_raw_outlier_flag
1754,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,FALSE,NA
1755,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,FALSE,NA
1756,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,FALSE,NA
1757,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,FALSE,NA
1758,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,FALSE,NA
1759,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,FALSE,NA
1760,NA,NA,0.77,NA,NA,0.75,NA,NA,NA,FALSE,NA,NA,FALSE,NA
1761,NA,NA,0.78,NA,NA,0.72,NA,NA,NA,FALSE,NA,NA,FALSE,NA
1762,NA,NA,0.64,NA,0.65,0.63,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA
1763,NA,NA,0.75,NA,0.55,0.62,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA
1764,NA,NA,0.67,NA,0.68,0.66,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA
1765,NA,NA,0.78,NA,0.65,0.77,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA
1766,NA,NA,0.81,NA,0.61,0.63,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA
1767,NA,NA,0.73,NA,0.67,0.65,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA
1768,NA,NA,0.82,NA,0.64,0.53,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA
1769,NA,NA,0.68,NA,0.66,0.6,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA
1770,NA,0.63,0.72,0.7,0.69,0.72,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1771,NA,0.64,0.74,0.72,0.74,0.56,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1772,0.77,0.67,0.73,0.7,0.75,0.61,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1773,0.67,0.63,0.75,0.73,0.7,0.62,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1774,0.71,0.6,0.82,0.71,0.75,0.58,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1775,0.64,0.72,0.84,0.74,0.75,0.62,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
