tree,n_missing_total,n_missing_1980_on,n_outliers_total
712011_raw,154,41,2
712012_raw,113,41,3
712021_raw,167,41,4
712022_raw,181,41,3
712031_raw,107,41,1
712032_raw,171,41,0
712041_raw,65,41,5
712042_raw,116,41,2
712051_raw,104,41,5
712052_raw,167,45,2
712061_raw,140,41,2
712062_raw,120,41,3
712071_raw,226,41,1
712072_raw,232,41,4
712081_raw,204,41,2
712082_raw,207,41,0
712091_raw,153,41,2
712092_raw,58,41,2
712101_raw,45,41,3
712102_raw,49,41,5
712111_raw,91,41,3
712121_raw,73,41,5
712122_raw,41,41,4
