age_CE,WPT01A_raw,WPT01C_raw,WPT01B_raw,WPT01A_raw_outlier_flag,WPT01C_raw_outlier_flag,WPT01B_raw_outlier_flag
809,2.56,2.45,NA,FALSE,FALSE,NA
810,1.51,2.01,NA,FALSE,FALSE,NA
811,1.11,1.39,NA,FALSE,FALSE,NA
812,1.41,1.45,NA,FALSE,FALSE,NA
813,1.16,1.1,NA,FALSE,FALSE,NA
814,2.11,1.65,NA,FALSE,FALSE,NA
815,3.42,3.06,NA,FALSE,FALSE,NA
816,2.62,2.39,NA,FALSE,FALSE,NA
817,3.54,3.39,NA,FALSE,FALSE,NA
818,6.39,2.67,NA,FALSE,FALSE,NA
819,7.8,1.58,NA,TRUE,FALSE,NA
820,7.12,1.05,NA,TRUE,FALSE,NA
821,5.66,2.21,NA,FALSE,FALSE,NA
822,4.24,1.5,NA,FALSE,FALSE,NA
823,5.26,3.27,NA,FALSE,FALSE,NA
824,2.25,1.76,NA,FALSE,FALSE,NA
825,3.94,1.91,NA,FALSE,FALSE,NA
826,3.62,2.37,NA,FALSE,FALSE,NA
827,3.85,3.04,NA,FALSE,FALSE,NA
828,2.42,1.83,NA,FALSE,FALSE,NA
829,2.94,2.29,2.71,FALSE,FALSE,FALSE
830,1.26,2.06,2.21,FALSE,FALSE,FALSE
831,2.34,3.25,4.16,FALSE,FALSE,FALSE
832,1.19,1.8,2.96,FALSE,FALSE,FALSE
833,1.79,1.78,3.22,FALSE,FALSE,FALSE
834,2.02,1.92,2.89,FALSE,FALSE,FALSE
835,1.92,1.7,3.26,FALSE,FALSE,FALSE
836,2.94,2.17,4.37,FALSE,FALSE,FALSE
837,2.18,1.48,2.58,FALSE,FALSE,FALSE
838,3.41,2.45,3.68,FALSE,FALSE,FALSE
839,2.82,2.01,2.97,FALSE,FALSE,FALSE
840,3.72,2.72,3.6,FALSE,FALSE,FALSE
841,3.84,3.07,4.29,FALSE,FALSE,FALSE
842,3.49,2.16,3.18,FALSE,FALSE,FALSE
843,3.94,2.46,4.36,FALSE,FALSE,FALSE
844,3.99,2.71,4.16,FALSE,FALSE,FALSE
845,4.23,3.59,4.61,FALSE,FALSE,FALSE
846,4.06,2.39,4.09,FALSE,FALSE,FALSE
847,5.06,3.42,5.58,FALSE,FALSE,FALSE
848,5.05,2.88,4.93,FALSE,FALSE,FALSE
849,4.44,2.86,4.77,FALSE,FALSE,FALSE
850,3.82,2.69,3.93,FALSE,FALSE,FALSE
851,4.45,2.95,4.64,FALSE,FALSE,FALSE
852,3.56,1.68,3.28,FALSE,FALSE,FALSE
853,3.74,1.77,3.68,FALSE,FALSE,FALSE
854,2.25,1.65,2.48,FALSE,FALSE,FALSE
855,3.66,2.59,3.64,FALSE,FALSE,FALSE
856,2.08,1.74,2.02,FALSE,FALSE,FALSE
857,3.25,2.64,2.66,FALSE,FALSE,FALSE
858,3.54,2.91,2.82,FALSE,FALSE,FALSE
859,2.51,1.92,2.18,FALSE,FALSE,FALSE
860,3.14,2.29,2.55,FALSE,FALSE,FALSE
861,2.8,1.64,2.57,FALSE,FALSE,FALSE
862,4.3,2.62,3.37,FALSE,FALSE,FALSE
863,2.31,2.23,1.69,FALSE,FALSE,FALSE
864,4.06,2.98,2.73,FALSE,FALSE,FALSE
865,2.61,2.38,1.62,FALSE,FALSE,FALSE
866,3.36,3.24,2.79,FALSE,FALSE,FALSE
867,3.68,3.73,3.43,FALSE,FALSE,FALSE
