age_CE,HLL069_raw,HLL026_raw,HLL450_raw,HLL397_raw,HLL523_raw,HLL142_raw,HLL979_raw,HLL668_raw,HLL069_raw_outlier_flag,HLL026_raw_outlier_flag,HLL450_raw_outlier_flag,HLL397_raw_outlier_flag,HLL523_raw_outlier_flag,HLL142_raw_outlier_flag,HLL979_raw_outlier_flag,HLL668_raw_outlier_flag
-804,NA,NA,NA,4.95,2.58,2.71,2.67,1.66,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-803,NA,NA,NA,5.72,3.24,2.73,2.8,1.51,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-802,NA,NA,NA,5.81,2.85,2.55,2.73,2.23,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-801,NA,NA,NA,4.49,2.67,2.69,2.74,2.05,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-800,NA,NA,NA,4.92,2.56,3.03,3.02,2.05,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-799,NA,NA,NA,5.01,2.46,2.41,2.42,2.87,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-798,NA,NA,NA,4.48,2.14,2.31,2.15,2.3,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-797,NA,NA,NA,5.49,2.33,2.59,2.42,2.1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-796,NA,NA,NA,4.31,2.1,2.44,2.14,1.34,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-795,NA,NA,NA,4.86,2.61,3.36,2.41,1.62,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-794,NA,NA,NA,4.36,2.22,2.95,2.35,2.65,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-793,NA,NA,NA,5.11,2.35,3.21,3.25,2.56,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-792,NA,NA,NA,4.37,2.32,3.37,3.16,2.52,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-791,NA,NA,NA,3.21,1.99,2.48,2.14,1.52,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-790,NA,NA,NA,4.21,2.35,2.67,2.94,1.92,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-789,NA,NA,NA,3.82,2.55,2.67,2.89,2.13,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-788,NA,NA,NA,2.76,1.48,1.51,1.66,1.87,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
-787,NA,NA,2.45,4.67,2.9,3.36,3.09,2.18,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-786,NA,NA,3.91,3.99,2.21,2.82,2.78,2.4,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-785,NA,NA,2.8,3.99,1.86,1.88,2.01,2.14,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-784,NA,NA,2.8,4.34,2.32,2.8,2.72,2.64,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-783,NA,NA,3.72,4.77,3.02,3.72,3.14,2.77,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-782,NA,NA,3.32,3.44,2.16,3.15,2.33,1.38,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-781,NA,NA,3.89,3.77,2.9,3.64,3.07,1.78,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-780,NA,NA,4.25,4.55,3.58,4.31,3.75,1.99,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-779,3.04,NA,3.93,4.34,3.05,4.09,3.48,2.41,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-778,2.05,NA,3.48,3.41,3.02,3.89,3.25,1.89,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-777,2.7,2.87,3.99,3.36,3.01,4.45,3.34,1.94,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-776,1.78,1.55,1.97,1.69,1.78,2.57,1.89,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-775,2.21,2.29,4.33,3.67,2.45,3.53,2.65,1.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-774,2.64,1.94,3.89,4.16,2.85,3.13,3.11,1.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-773,3.01,1.6,3.5,3.56,2.49,3.22,2.93,1.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
