age_CE,SC-002_raw,SC-003_raw,SC-004_raw,SC-005_raw,SC-006_raw,SC-007_raw,SC-008_raw,SC-009_raw,SC-002_raw_outlier_flag,SC-003_raw_outlier_flag,SC-004_raw_outlier_flag,SC-005_raw_outlier_flag,SC-006_raw_outlier_flag,SC-007_raw_outlier_flag,SC-008_raw_outlier_flag,SC-009_raw_outlier_flag
1850,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1851,NA,1.44,0.58,NA,1.12,1.3,1.14,1.75,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1852,NA,1.57,0.52,NA,0.85,1.04,0.87,1.51,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1853,NA,1.86,0.52,NA,1.07,1,0.63,1.34,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1854,NA,1.29,0.63,NA,0.88,1.06,0.57,1.38,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1855,NA,1.64,0.79,NA,0.88,1.26,0.68,1.35,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1856,NA,1,0.4,NA,0.48,0.83,0.44,0.64,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1857,NA,1.4,0.46,NA,0.48,0.87,0.61,0.84,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1858,NA,1.29,0.48,NA,0.49,0.98,0.66,1.05,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1859,NA,1.3,0.46,NA,0.45,0.87,0.51,0.94,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1860,NA,1.34,0.48,NA,0.44,0.68,0.42,0.84,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1861,NA,1.07,0.49,NA,0.38,0.42,0.78,0.78,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1862,NA,1.46,0.48,NA,0.64,0.79,1.38,0.74,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1863,NA,1.24,0.49,NA,0.51,0.94,1,0.98,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1864,NA,1.13,0.27,NA,0.32,0.61,0.43,0.67,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1865,NA,1.2,0.26,NA,0.45,0.81,0.51,0.6,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1866,NA,2.28,0.7,NA,1.02,2.09,0.62,0.76,NA,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE
1867,NA,1.67,0.73,NA,0.99,1.66,0.68,1.05,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1868,NA,1.75,0.68,NA,1.02,1.29,0.61,1.27,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1869,NA,1.3,0.64,NA,0.97,1.25,0.36,1.22,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1870,NA,1.13,0.93,NA,1.2,1.52,0.66,1.44,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1871,NA,0.93,1.07,NA,1.03,1.3,0.53,1.08,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1872,NA,1.19,1.06,NA,0.48,1.09,0.85,1.48,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1873,NA,1.28,1.07,NA,0.7,1.19,0.97,1.24,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1874,NA,1.34,1.23,NA,0.74,0.96,1.42,1.22,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1875,NA,1.23,0.83,NA,0.62,0.86,1.57,1.09,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1876,NA,0.98,0.7,NA,0.6,0.5,1.67,1.02,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1877,NA,1.32,0.87,NA,0.54,0.86,2.5,1.48,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1878,NA,1.3,1.11,NA,0.42,0.9,2.41,1.18,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1879,NA,0.76,0.52,NA,0.49,0.85,1.31,0.94,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1880,NA,0.82,0.44,NA,0.39,0.53,1.48,0.77,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1881,0.51,1.13,0.39,NA,0.55,0.85,1.65,1.12,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1882,1.08,1.11,0.41,NA,0.57,0.33,1.14,1.01,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
