Year,28PienD6,28Unkn7,28Unkn8,28Unkn10,28Unkn11,34PienD2,34Unkn1,34Unkn4,34Unkn5,28Unkn9,28Pip3SF,28Pip1NF,28Pip2SF,34Pip1,34Pip2,34Pip3,34Pip4,34Pip5,34Pip6,34Psm1SF,34Psm2SF,34Psm3SF,28Pie1,28Pie2,28Pie3,34Pie1NF,34Pie1SF,34Pie2NF,34Pie2SF,34Pie3NF,34Pie3SF
2013,33.21,28.123,30.967,29.443,27.05,30.389,29.138,28.983,30.444,29.04,33.362,29.742,30.99,31.842,30.174,34.104,NA,31.396,33.377,31.13,29.495,29.556,31.308,31.811,34.037,30.085,28.022,28.793,30.452,27.72,32.736
2012,34.537,29.849,32.944,30.629,29.92,31.343,30.843,28.621,30.311,30.54,34.73,29.258,31.942,33.19,32.195,33.592,29.868,30.367,32.497,31.014,30.006,31.343,33.669,32.001,36.929,30.267,28.433,28.787,30.346,27.886,34.452
2011,33.389,29.156,32.324,29.029,28.725,29.066,30.744,28.94,30.187,27.88,31.334,28.814,30.558,31.802,31.41,33.554,29.838,30.766,30.933,30.335,29.914,29.894,33.234,31.078,32.897,29.697,27.291,27.118,28.821,28.49,32.418
2010,33.15,NA,33.459,29.465,27.452,29.726,29.212,30.667,31.749,27.235,33.354,28.697,30.403,31.686,32.029,33.658,29.614,31.357,30.826,28.755,29.387,29.909,31.369,30.005,32.599,29.5,28.187,26.565,29.222,27.004,30.835
2009,32.431,29.352,31.607,29.573,28.365,30.132,29.056,28.367,32.238,30.117,31.959,27.741,30.002,31.714,32.445,32.877,29.69,29.893,31.51,28.98,29.181,29.49,32.963,30.167,31.89,28.787,29.393,28.191,30.111,28.06,32.373
2008,32.464,28.084,35.04,29.355,27.888,31.034,28.959,27.867,32.452,27.863,30.323,28.202,30.318,30.199,33.491,33.093,29.959,31.436,30.618,28.801,28.702,29.083,29.828,30.024,31.683,29.549,29.033,27.976,29.528,27.45,30.894
2007,32.284,28.673,32.599,28.431,29.695,30.792,29.067,28.519,33.05,29.054,33.554,27.436,30.729,31.168,32.341,35.638,30.139,30.995,32.238,28.68,30.625,29.856,31.612,30.427,32.644,30.572,30.094,29.381,31.179,27.261,32.963
2006,33.82,30.36,36.607,32.675,31.083,30.622,30.304,28.926,32.644,29.174,NA,30.375,33.395,33.643,33.27,34.192,31.218,31.065,32.752,29.988,30.622,31.475,31.561,32.298,35.64,30.941,32.033,29.373,31.03,28.122,34.881
2005,32.909,30.703,33.893,NA,30.678,32.481,30.43,29.863,31.844,29.913,32.871,29.506,32.883,33.516,32.922,32.78,30.471,30.21,32.289,30.199,32.102,32.111,31.454,31.018,34.243,30.917,30.862,30.096,30.869,27.039,32.384
