age_CE,HLCLW01B_raw,HLCLW02B_raw,HLCLW03A_raw,HLCLW04B_raw,HLCLW05A_raw,HLCLW06A_raw,HLCLW07B_raw,HLCLW08A_raw,HLCLW09A_raw,HLCLW10B_raw,HLCLW11A_raw,HLCLW12A_raw,HLCLW13A_raw,HLCLW14B_raw,HLCLW15B_raw,HLCLW16A_raw,HLCLW17A_raw,HLCLW18A_raw,HLCLW19B_raw,HLCLW20A_raw,HLCLW01B_raw_outlier_flag,HLCLW02B_raw_outlier_flag,HLCLW03A_raw_outlier_flag,HLCLW04B_raw_outlier_flag,HLCLW05A_raw_outlier_flag,HLCLW06A_raw_outlier_flag,HLCLW07B_raw_outlier_flag,HLCLW08A_raw_outlier_flag,HLCLW09A_raw_outlier_flag,HLCLW10B_raw_outlier_flag,HLCLW11A_raw_outlier_flag,HLCLW12A_raw_outlier_flag,HLCLW13A_raw_outlier_flag,HLCLW14B_raw_outlier_flag,HLCLW15B_raw_outlier_flag,HLCLW16A_raw_outlier_flag,HLCLW17A_raw_outlier_flag,HLCLW18A_raw_outlier_flag,HLCLW19B_raw_outlier_flag,HLCLW20A_raw_outlier_flag
1597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
1604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
