Series,Site,Tree,Year,RW,dch_mm,Tree.Size,Basal.Area,next.Basal.Area,BAI,x,y,bio01,bio12,bio01.norm,bio12.norm,p.jj_tmax,p.as_tmax,p.on_tmax,djf_tmax,ma_tmax,mj_tmax,ja_tmax,so_tmax,p.jj_ppt,p.as_ppt,p.on_ppt,djf_ppt,ma_ppt,mj_ppt,ja_ppt,so_ppt
a3r1_10,a3r1,10,1896,0.34,609,377.48,111912.2878,112315.853,403.5652224,-120.80971,47.81861,6.262500407,1245.758046,6.97524894,1071.365436,NA,NA,NA,NA,8.31739974,16.43005037,30.31685066,16.52395058,NA,NA,NA,NA,123.8000107,63.5290041,8.881000519,82.17200851
a3r1_10,a3r1,10,1897,0.62,609,378.16,112315.853,113053.636,737.7829285,-120.80971,47.81861,5.853333548,1185.475074,6.97524894,1071.365436,25.37525082,24.41270065,6.621600151,0.129666686,7.899600148,19.53679943,26.26515007,17.42545033,14.23700047,26.60700226,335.4430161,580.0470123,119.227005,64.39800072,24.98700094,73.45100403
a3r1_10,a3r1,10,1898,0.84,609,379.4,113053.636,114057.0657,1003.42972,-120.80971,47.81861,6.998333654,872.1740289,6.97524894,1071.365436,20.80054951,25.3220005,8.422149897,0.7518333,10.56760025,20.46535015,28.73705006,18.06040001,55.7480011,24.20300055,314.3890228,672.4040451,81.42900467,71.43600082,14.44800043,117.0470047
a3r1_10,a3r1,10,1899,0.69,609,381.08,114057.0657,114884.6281,827.5624209,-120.80971,47.81861,6.845000337,1260.485055,6.97524894,1071.365436,25.02699947,26.62330055,8.153799891,0.013799975,9.070149899,18.73359966,26.40550041,18.43419981,46.75400019,50.30200195,231.7660065,591.536026,125.2360039,83.29300213,51.58800316,107.1830025
a3r1_10,a3r1,10,1900,0.72,609,382.46,114884.6281,115751.3609,866.7327406,-120.80971,47.81861,7.724167143,1028.078044,6.97524894,1071.365436,25.67525005,23.85099983,10.15395021,2.68840003,13.24250031,21.88115025,26.07839966,16.04284954,22.68800068,65.46600342,339.5490189,456.8020172,142.0190086,89.10500717,19.58000088,151.9330025
a3r1_10,a3r1,10,1901,0.88,609,383.9,115751.3609,116815.1242,1063.763379,-120.80971,47.81861,6.972500443,947.3000488,6.97524894,1071.365436,26.30984974,22.27559948,7.51884985,1.855833282,10.19559979,19.06890011,28.19709969,18.52624989,41.49600315,49.14800072,231.3510056,540.4280243,129.3460045,63.1890049,4.538000107,102.7440071
a3r1_10,a3r1,10,1902,0.73,609,385.66,116815.1242,117701.2566,886.1323894,-120.80971,47.81861,6.642416974,1140.996031,6.97524894,1071.365436,22.72060013,24.60874939,12.20165014,1.47026664,9.578350067,19.76259995,26.4300499,19.07565022,25.73500204,48.47100306,260.6110115,470.1960144,133.2620087,52.98200321,36.45800304,75.4390049
a3r1_10,a3r1,10,1903,0.72,609,387.12,117701.2566,118578.53,877.2734122,-120.80971,47.81861,6.431667035,868.7730341,6.97524894,1071.365436,23.61130047,24.86334991,9.99119997,0.244133343,8.539200068,21.74524975,25.90495014,17.02590036,44.14200306,33.91400242,277.6480064,487.8550034,97.73900795,36.05900192,41.43900204,116.5740089
a3r1_10,a3r1,10,1904,0.53,609,388.56,118578.53,119226.382,647.8520114,-120.80971,47.81861,7.498333732,1095.590039,6.97524894,1071.365436,25.45180035,22.84350014,8.71660018,0.670700024,8.939250231,20.68744946,28.39079952,19.85250044,32.2110014,80.05000496,262.71101,566.7020111,160.1740074,27.63300037,14.45800066,58.77600431
a3r1_10,a3r1,10,1905,0.64,609,389.62,119226.382,120011.0463,784.6642874,-120.80971,47.81861,7.015833765,968.9520392,6.97524894,1071.365436,25.13529968,26.97004986,11.74615002,1.108166655,12.81939983,19.58924961,28.25980091,15.93935013,25.52200031,15.30900097,285.4010201,411.0710144,87.53800678,128.6410103,18.5970006,213.1000023
a3r1_10,a3r1,10,1906,0.71,609,390.9,120011.0463,120884.5445,873.4981603,-120.80971,47.81861,7.789167002,1130.333064,6.97524894,1071.365436,25.23340034,24.74015045,7.792700052,1.127966623,11.46139956,18.35254955,29.85579967,18.87335014,88.43300676,67.28300095,267.4170074,502.7390213,33.68400097,83.8820076,7.291000128,189.9190102
a3r1_10,a3r1,10,1907,0.65,609,392.32,120884.5445,121687.0031,802.4585823,-120.80971,47.81861,6.984167049,931.4120445,6.97524894,1071.365436,25.62464905,25.27235031,9.761450052,-0.526466747,9.140599966,20.24349976,25.47494984,20.1439991,35.97500348,44.33900309,467.1570282,518.3020172,95.10600662,56.50800323,33.48800087,72.08600426
a3r1_10,a3r1,10,1908,0.86,609,393.62,121687.0031,122752.7972,1065.794104,-120.80971,47.81861,7.423333824,843.7950385,6.97524894,1071.365436,23.92539978,22.60359955,13.17084956,2.204500039,10.69804978,18.84730005,27.98670006,18.34980011,51.22000313,71.84500504,187.8890018,448.3610229,147.2030106,47.53900337,45.25400066,76.36000562
a3r1_10,a3r1,10,1909,1.01,609,395.34,122752.7972,124010.4191,1257.621951,-120.80971,47.81861,6.226666888,994.6100531,6.97524894,1071.365436,25.3991003,25.30935001,10.33989978,-0.706200026,10.40625,19.75929928,26.26554966,18.53064966,44.01600075,13.1660006,175.5200119,435.480011,75.14400482,29.04800129,19.60000038,100.6690063
a3r1_10,a3r1,10,1910,0.61,609,397.36,124010.4191,124773.0775,762.6583733,-120.80971,47.81861,7.223333617,1050.735041,6.97524894,1071.365436,24.0291996,25.32844925,8.97845006,-1.8828667,13.33944988,21.59684944,26.99650002,17.74860048,31.19200134,52.85100365,426.853035,474.4530106,114.8980026,37.18100166,6.399000108,151.2940083
a3r1_10,a3r1,10,1911,0.57,609,398.58,124773.0775,125487.8385,714.7610234,-120.80971,47.81861,6.432500283,784.4330282,6.97524894,1071.365436,25.20069981,23.17730045,9.251250029,0.278366665,11.6157999,19.11949968,27.71249962,16.72974968,14.76800102,32.52800226,373.7610245,316.9270096,38.27800179,79.51900482,19.43800068,90.60800171
a3r1_10,a3r1,10,1912,0.8,609,399.72,125487.8385,126494.4551,1006.616552,-120.80971,47.81861,6.850750327,1006.791039,6.97524894,1071.365436,25.53359985,22.85279942,9.02764976,0.88683331,10.10275006,21.51515007,24.99120045,15.62125015,24.00000095,88.59400177,254.041008,423.9570084,84.41700363,73.82200241,62.71300411,106.3390064
a3r1_10,a3r1,10,1913,0.73,609,401.32,126494.4551,127416.5015,922.0464483,-120.80971,47.81861,6.344166942,717.1490299,6.97524894,1071.365436,25.0064497,22.11780071,8.084399939,-0.420700034,9.409699917,19.46150017,27.42800045,16.94229984,42.34200191,66.34900475,250.6680069,474.2280197,68.13700294,82.21500397,6.401000142,102.7360077
