age_CE,CLC01B_raw,CLC02A_raw,CLC02B_raw,CLC03A_raw,CLC03B_raw,CLC04B_raw,CLC05A_raw,CLC05B_raw,CLC06A_raw,CLC06B_raw,CLC06C_raw,CLC07A_raw,CLC07B_raw,CLC08A_raw,CLC08B_raw,CLC09A_raw,CLC09B_raw,CLC10A_raw,CLC10B_raw,CLC11A_raw,CLC11B_raw,CLC12A_raw,CLC12B_raw,CLC01B_raw_outlier_flag,CLC02A_raw_outlier_flag,CLC02B_raw_outlier_flag,CLC03A_raw_outlier_flag,CLC03B_raw_outlier_flag,CLC04B_raw_outlier_flag,CLC05A_raw_outlier_flag,CLC05B_raw_outlier_flag,CLC06A_raw_outlier_flag,CLC06B_raw_outlier_flag,CLC06C_raw_outlier_flag,CLC07A_raw_outlier_flag,CLC07B_raw_outlier_flag,CLC08A_raw_outlier_flag,CLC08B_raw_outlier_flag,CLC09A_raw_outlier_flag,CLC09B_raw_outlier_flag,CLC10A_raw_outlier_flag,CLC10B_raw_outlier_flag,CLC11A_raw_outlier_flag,CLC11B_raw_outlier_flag,CLC12A_raw_outlier_flag,CLC12B_raw_outlier_flag
1900,0.448,0.653,0.111,0.332,0.414,0.049,0.107,NA,0.954,0.835,1.55,0.529,0.743,0.726,1.664,0.72,0.436,0.913,0.541,0.514,0.601,0.241,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1901,0.357,0.529,0.542,0.301,0.238,0.125,0.289,NA,0.951,0.741,1.06,0.521,0.386,0.45,1.01,0.801,0.478,0.832,0.38,0.393,0.576,0.236,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1902,0.224,0.424,0.389,0.192,0.191,0.115,0.149,NA,0.778,0.525,1.21,0.439,0.505,0.614,1.11,0.775,0.514,0.936,0.389,0.337,0.509,0.343,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1903,0.264,0.435,0.274,0.234,0.13,0.13,0.181,NA,0.603,0.656,0.975,0.327,0.507,0.773,1.026,0.733,0.519,0.657,0.369,0.223,0.573,0.261,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1904,0.462,0.698,0.34,0.315,0.229,0.108,0.153,NA,0.741,0.552,1.744,0.489,0.702,0.771,1.236,0.759,0.65,0.687,0.393,0.386,0.43,0.307,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1905,0.206,0.478,0.487,0.246,0.242,0.115,0.255,NA,0.715,0.784,0.972,0.408,0.25,0.975,1.585,0.862,0.52,0.881,0.296,0.347,0.571,0.349,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1906,0.411,0.514,0.375,0.233,0.246,0.131,0.174,NA,0.733,0.744,1.381,0.357,0.507,0.95,1.706,0.613,0.489,0.751,0.45,0.245,0.598,0.337,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1907,0.311,0.735,0.347,0.293,0.261,0.199,0.253,NA,0.765,0.441,1.032,0.417,0.54,0.914,1.001,0.489,0.463,0.481,0.455,0.279,0.329,0.316,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1908,0.249,0.626,0.334,0.197,0.209,0.246,0.25,NA,0.435,0.625,1.142,0.418,0.679,0.699,1.339,0.821,0.466,0.933,0.5,0.374,0.59,0.281,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1909,0.307,0.515,0.454,0.301,0.419,0.341,0.345,NA,0.707,0.676,0.763,0.569,0.365,0.738,1.414,0.692,0.531,0.887,0.438,0.492,0.487,0.196,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
