age_CE,BD02A_raw,BD02B_raw,BD01A_raw,BD01B_raw,BD01C_raw,BD01D_raw,BD02A_raw_outlier_flag,BD02B_raw_outlier_flag,BD01A_raw_outlier_flag,BD01B_raw_outlier_flag,BD01C_raw_outlier_flag,BD01D_raw_outlier_flag
1674,NA,NA,2.39,2.31,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1675,NA,NA,2.97,2.82,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1676,NA,NA,3.49,3.48,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1677,NA,NA,3.08,2.99,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1678,NA,NA,3.33,3.17,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1679,NA,NA,3.03,2.89,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1680,NA,NA,2.26,2.59,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1681,NA,NA,3.13,3.96,NA,NA,NA,NA,FALSE,TRUE,NA,NA
1682,NA,NA,4.21,4.27,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1683,NA,NA,2.38,2.91,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1684,NA,NA,1.96,2.25,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1685,NA,NA,2.18,2.24,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1686,NA,NA,2.44,2.43,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1687,NA,NA,3.06,3.37,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1688,NA,NA,2.72,2.79,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1689,NA,NA,2.55,2.25,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1690,NA,NA,2.77,2.77,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1691,NA,NA,2.97,2.77,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1692,NA,NA,3.62,3.39,NA,NA,NA,NA,TRUE,FALSE,NA,NA
1693,NA,NA,2.73,2.61,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1694,NA,NA,3.13,2.99,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1695,NA,NA,2.98,2.97,NA,NA,NA,NA,FALSE,FALSE,NA,NA
