stem,dbh,notes,year,sp,count,to_center,overallx,overally,corelength
1,53.5,,1993,beal,168,NA,96.85,-2.12,300
3,20.7,cored n->s,1993,fagr,151,NA,98.7,-5.84,200
4,30.6,,1993,beal,227,NA,98.77,-6.48,150
5,28.9,,1993,tsca,182,0,104.36,-1.94,275
7,52.5,rotten center,1993,acsa,159,NA,99.02,-7.64,200
23,29.8,,1993,fagr,140,NA,105.2,-16.96,280
26,47.2,,1993,fagr,164,NA,102.12,-19.69,360
49,50.8,,1993,beal,177,0,88.7,-10,305
57,22.4,,1993,tsca,123,0,91.14,-0.29,230
60,26.1,,1993,tsca,122,0,91.99,0.66,260
72,34.2,"cored n->s, rotten center",1993,fagr,133,NA,78.16,-7.78,130
75,34.2,,1993,fagr,128,0,85.2,-4.44,310
81,33.4,,1993,fagr,147,NA,82.98,-13.4,320
87,23.9,,1993,tsca,91,0,81.17,-19.98,220
88,26.3,,1993,fagr,105,0,78.52,-16.11,280
103,60.3,loose bark,1993,beal,190,NA,66.33,-14.65,NA
104,34.4,rot in center,1993,acru,77,NA,72.19,-11.58,340
110,25.2,,1993,fagr,138,0,70.82,-7.56,255
155,48.1,rot in center,1993,tsca,182,NA,61.48,-11.1,320
169,36,core angled,1993,acru,100,0,53.26,-19.95,320
179,20.5,,1993,fagr,75,0,47.31,-7.25,220
182,50.5,,1993,beal,118,NA,52.3,-5.5,NA
184,47.1,center rot,1993,fagr,111,NA,50.2,-0.61,320
187,20.6,,1993,fagr,93,NA,53.7,-2.01,210
190,29.8,,1993,acsa,215,0,41.06,-3.45,270
212,42.9,"cored from w, rotten",1993,acru,83,NA,36.3,-13.1,NA
226,20.5,center rot,1993,fagr,108,0,33,-7.4,240
228,41.2,,1993,acsa,272,NA,30.82,-2.73,330
232,19.5,,1993,fagr,53,NA,33.76,-1.68,190
234,47.1,center rot,1993,acsa,142,NA,16.71,-1.35,180
243,39.2,unreadable,1993,acsa,179,NA,24.09,-5.09,150
253,20.4,,1993,tsca,96,0,22.35,-14.69,200
274,26.2,,1993,fagr,77,NA,8.45,-8.79,200
1267,12,,1995,fagr,114,0.4,102.3,35.59,NA
1268,19,half lost,1995,acsa,123,NA,102.74,36,NA
1270,19.7,,1995,fagr,156,0,100.48,30.44,NA
1271,18,,1995,tsca,81,1.5,103.6,30.13,NA
1272,26.2,,1995,acsa,155,0.3,106.29,26.17,NA
1273,21.8,,1995,fagr,163,0.3,100.98,27.3,NA
1276,15.2,,1995,fagr,146,0.2,103.19,22.35,NA
1277,49.1,rotten,1995,acsa,160,NA,100.54,24.94,NA
1281,38.8,,1995,acsa,146,NA,98.3,20.61,NA
1283,14.4,,1995,fagr,93,NA,92.27,20.96,NA
1284,60.9,,1995,fagr,168,1.8,94.47,26.56,NA
1288,26.3,,1995,acsa,227,0.2,88.5,24.93,NA
1292,20.1,,1995,fagr,164,0,88.64,32.64,NA
1293,34.2,,1995,acsa,226,0,90.73,32.48,NA
1299,16.6,,1995,fagr,95,NA,93.56,34.06,NA
1301,35,cored from E,1995,acsa,208,2,92.12,38.97,NA
1303,37.1,rotten,1995,acru,91,NA,94.68,37.63,NA
1307,63.4,,1995,acru,172,NA,82.41,38.41,NA
1309,28.4,"cored from E, hollow",1995,beal,74,NA,82.79,35.64,NA
1311,33.4,,1995,acsa,154,1.1,85.36,35.88,NA
1313,43.3,,1995,tsca,124,0.6,79.68,31.23,NA
1315,11.9,,1995,fagr,78,0.3,82.27,25.97,NA
1321,58.8,,1995,fagr,175,1,79.95,23.68,NA
1324,12,,1995,fagr,71,0.5,76.95,22.53,NA
1327,52.4,,1995,acsa,32,NA,70.62,21.89,NA
1332,60,,1995,fagr,158,NA,66.49,21.17,NA
1335,32.3,some rot,1995,fagr,150,1.3,70.25,27.92,NA
1340,60.9,,1995,fagr,174,0,73.09,33.57,NA
1345,33,hollow,1995,fagr,107,0,56.42,37.1,NA
1346,28.2,,1995,fagr,153,0.5,57.62,34.93,NA
1347,53.3,rotten cored from w,1995,acsa,98,NA,58.68,33.82,NA
1350,18.7,,1995,fagr,176,0.2,63.88,36.83,NA
