age_CE,CB01A_raw,CB01B_raw,CB03A_raw,CB03B_raw,CB04A_raw,CB04B_raw,CB05A_raw,CB05B_raw,CB06A_raw,CB06B_raw,CB07A_raw,CB07B_raw,CB09A_raw,CB09B_raw,CB01A_raw_outlier_flag,CB01B_raw_outlier_flag,CB03A_raw_outlier_flag,CB03B_raw_outlier_flag,CB04A_raw_outlier_flag,CB04B_raw_outlier_flag,CB05A_raw_outlier_flag,CB05B_raw_outlier_flag,CB06A_raw_outlier_flag,CB06B_raw_outlier_flag,CB07A_raw_outlier_flag,CB07B_raw_outlier_flag,CB09A_raw_outlier_flag,CB09B_raw_outlier_flag
1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA
1557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA
1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
